response_id	cause	cause_no	cause_sep	maximum_response_one_cause	type	group_cause	code_cause	mistake	mistake_no	mistake_sep	maximum_response_one_type	group_type	code_type
R_2ay4ISLXNFlfXiA	Carelessness, I suppose.	1	Carelessness, I suppose.	yes	recurring	carelessness	carelessness	Making an error when entering data.	1	Making an error when entering data.	yes	data input error	data entry error
R_2b2hwMGWs1zscoE	workload	1	workload	yes	recurring	time management issue	time pressure	Misnaming data Misnaming files	1	Misnaming data Misnaming files	yes	ambiguous naming/defining of data	incorrect naming of variables
R_2B8trxy4O95LIjg	Lack of coordination	1	Lack of coordination	yes	recurring	project management issue	lack of coordination	Using the wrong version of the code	1	Using the wrong version of the code	yes	version control error	using the wrong version of code
R_2B8trxy4O95LIjg	Lack of coordination	1	Lack of coordination	yes	serious	project management issue	lack of coordination	Using the wrong version of the code	1	Using the wrong version of the code	yes	version control error	using the wrong version of code
R_2BbuTGCx18uGQHF	Miscommunication among multiple researchers	1	Miscommunication among multiple researchers	yes	recurring	miscommunication	miscommunication	Working on wrong version of dataset	1	Working on wrong version of dataset	yes	version control error	using the wrong version of data
R_2BgSfuqikIO1v0a	Fatigue and a poor processing pipeline.	1	Fatigue	no	recurring	physical and mental constraints	fatigue	Transposition errors in pasting data from different spreadsheets	1	Transposition errors in pasting data from different spreadsheets	yes	data transfer error	copy paste error
R_2BgSfuqikIO1v0a	Several people moving data files between servers manually.	1	Several people moving data files between servers manually.	yes	serious	project management issue	too many team members doing one task	We overwrote new data with old data.	1	We overwrote new data with old data.	yes	version control error	overwriting data
R_2BgSfuqikIO1v0a	Fatigue and a poor processing pipeline.	2	poor processing pipeline.	no	recurring	bad or lack of standards	insufficient standard procedure	Transposition errors in pasting data from different spreadsheets	1	Transposition errors in pasting data from different spreadsheets	yes	data transfer error	copy paste error
R_2bOijjUlRMWYs2t	Not paying attention	1	Not paying attention	yes	recurring	inattention	inattention	Original file overwritten.	1	Original file overwritten.	yes	version control error	overwriting files
R_2bQpSx7HPHcLyoX	'- non-native speaker who wants to increase consistency in text	1	'- non-native speaker who wants to increase consistency in text	yes	recurring	lack of knowledge/experience	lack of knowledge	'- copy and paste material in the article text to keep structure and then forgot to change some ino - saved an excerpt of data/text without relabelling the file and thereby lost valuable data/text	1	'- copy and paste material in the article text to keep structure and then forgot to change some ino - saved an excerpt of data/text without relabelling the file and thereby lost valuable data/text	yes	data transfer error	copy paste error
R_2bQpSx7HPHcLyoX	"different versions of the paper where we experimented with different labels (e.g., ""higher sensitivity"" vs. ""lower threshold"")"	1	"different versions of the paper where we experimented with different labels (e.g., ""higher sensitivity"" vs. ""lower threshold"")"	yes	serious	bad or lack of standards	different versions	"in a publication, for the central finding, we wrote ""higher"" instead of ""lower"""	1	"in a publication, for the central finding, we wrote ""higher"" instead of ""lower"""	yes	wrong reporting	mixing up words in publication
R_2coTxGpiZoEAjV9	The big amount of parameters to handle, in recurring simulations	1	The big amount of parameters to handle, in recurring simulations	yes	recurring	too high complexity	too complex task	Errors in the configuration of parameters in simulations where different parameter values are evaluated.	1	Errors in the configuration of parameters in simulations where different parameter values are evaluated.	yes	wrong data processing/analysis	error in parameter configuration in simulation
R_2cu4Vcaq8fXrGGw	Carelessness, lack of experience in the student, plus assumptions that it would be in the hypothesized direction	1	Carelessness,	no	serious	carelessness	carelessness	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	1	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	yes	wrong data processing/analysis	not noticing negative sign
R_2cu4Vcaq8fXrGGw	Carelessness, lack of experience in the student, plus assumptions that it would be in the hypothesized direction	2	lack of experience in the student,	no	serious	lack of knowledge/experience	inexperience	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	1	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	yes	wrong data processing/analysis	not noticing negative sign
R_2cu4Vcaq8fXrGGw	Carelessness, lack of experience in the student, plus assumptions that it would be in the hypothesized direction	3	plus assumptions that it would be in the hypothesized direction	no	serious	project management issue	lack of foresight	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	1	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	yes	wrong data processing/analysis	not noticing negative sign
R_2czHmrjciqTkBt0	Images were not properly stored	1	Images were not properly stored	yes	serious	technical issue	error in storing	Loss of raw MRI images	1	Loss of raw MRI images	yes	loss of materials/documentation/data	data loss
R_2dlHcPXBYfhftFW	Relying on different individuals to do as the find fit. The solution would be that one brain supervises all activities.	1	Relying on different individuals to do as the find fit. The solution would be that one brain supervises all activities.	yes	recurring	project management issue	lack of supervision	Poor variable names, poor metadata management, differences in test administration between experimenters	1	Poor variable names, poor metadata management, differences in test administration between experimenters	yes	ambiguous naming/defining of data	ambiguous variable naming
R_2dlHcPXBYfhftFW	Disobedience/stupidity?	1	Disobedience/	no	serious	project management issue	disobedience	One experimenter failed to measure a variable twice, as was his instructions.	1	One experimenter failed to measure a variable twice, as was his instructions.	yes	deviation from the protocol	not following data collection protocol
R_2dLSHG3yGKzKecQ	Lack of communication and attention to detail.	1	Lack of communication	no	recurring	miscommunication	lack of communication	When video-taping team interactions, a video camera malfunctioned and only a subset of the sample was recored.	1	When video-taping team interactions, a video camera malfunctioned and only a subset of the sample was recored.	yes	technical/infrastructural problem	technical failure
R_2dLSHG3yGKzKecQ	Lack of communication and attention to detail.	2	Lack of attention to detail.	no	recurring	inattention	lack of attention	When video-taping team interactions, a video camera malfunctioned and only a subset of the sample was recored.	1	When video-taping team interactions, a video camera malfunctioned and only a subset of the sample was recored.	yes	technical/infrastructural problem	technical failure
R_2dSg2D5VTNB7RVY	No standard present across fields	1	No standard present across fields	yes	recurring	bad or lack of standards	lack of field wise standard	poor identifier management	1	poor identifier management	yes	bad or poor documentation	lack or poor documentation
R_2duJO8zk4AgeXgg	sometimes lack of knowledge, sometimes we are inattentive or tired	1	sometimes lack of knowledge	no	recurring	lack of knowledge/experience	inexperience	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	1	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	yes	wrong data processing/analysis	wrong analysis
R_2duJO8zk4AgeXgg	inattentiveness	1	inattentiveness	yes	serious	inattention	inattentiveness	There was a mediation analysis in which we had an error, it did not influence the main message of the paper, just the model we set up was not ok. The other was the omega, that I mentioned earlier. In this case as we used multiple measures of reliability, it was not that bad.	1	There was a mediation analysis in which we had an error, it did not influence the main message of the paper, just the model we set up was not ok.	no	wrong data processing/analysis	wrong analysis
R_2duJO8zk4AgeXgg	inattentiveness	1	inattentiveness	yes	serious	inattention	inattentiveness	There was a mediation analysis in which we had an error, it did not influence the main message of the paper, just the model we set up was not ok. The other was the omega, that I mentioned earlier. In this case as we used multiple measures of reliability, it was not that bad.	2	The other was the omega, that I mentioned earlier. In this case as we used multiple measures of reliability, it was not that bad.	no	wrong data processing/analysis	wrong analysis
R_2duJO8zk4AgeXgg	sometimes lack of knowledge, sometimes we are inattentive or tired	2	sometimes we are inattentive	no	recurring	inattention	inattention	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	1	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	yes	wrong data processing/analysis	wrong analysis
R_2duJO8zk4AgeXgg	sometimes lack of knowledge, sometimes we are inattentive or tired	3	sometimes we are tired	no	recurring	physical and mental constraints	tiredness	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	1	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	yes	wrong data processing/analysis	wrong analysis
R_2dvcIJA7IFmsu14	Complexity of the experimental set-up and insufficient checks prior to running.	1	Complexity of the experimental set-up and	no	serious	lack of knowledge/experience	inexperience	I don't know if it counts as a data-related mistake, but we've had to re-run entire studies due to errors in experimental randomisation, e.g. not randomising something we thought we were randomising, or making a mistake in a complex randomisation.	1	I don't know if it counts as a data-related mistake, but we've had to re-run entire studies due to errors in experimental randomisation, e.g. not randomising something we thought we were randomising, or making a mistake in a complex randomisation.	yes	participant allocation error	experimental randomization error
R_2E6UbxqHIZGHdcc	Malfunctions	1	Malfunctions	yes	recurring	technical issue	malfunction	Software error	1	Software error	yes	technical/infrastructural problem	software error
R_2E6UbxqHIZGHdcc	Technical causes	1	Technical causes	yes	serious	technical issue	technical problem	Computer malfunctions	1	Computer malfunctions	yes	technical/infrastructural problem	technical failure
R_2EggCQnejEtHW3a	Graduate researchers not realizing the impact of these uninformative names when initially programming studies.	1	Graduate researchers not realizing the impact of these uninformative names when initially programming studies.	yes	recurring	lack of knowledge/experience	inexperience	Uninformative variable names making it difficult to re-acclimate with the data after significant passage of time.	1	Uninformative variable names making it difficult to re-acclimate with the data after significant passage of time.	yes	ambiguous naming/defining of data	ambiguous variable naming
R_2EggCQnejEtHW3a	Insufficient mentoring on my part.	1	Insufficient mentoring on my part.	yes	serious	bad skill management	insufficient training	My graduate student and I wrote a paper based on his analysis of a data set.  I wanted to do a more sensitive analysis but when I went back to the data, I could not replicate what he had done.  We met and I realized he used the pre-coded version of an important variable.  This negated the ability to submit the paper for publication consideration.  It was my fault as I should have double checked all analyses before beginning work on a manuscript that we wouldn't be able to publish anyway.	1	My graduate student and I wrote a paper based on his analysis of a data set.  I wanted to do a more sensitive analysis but when I went back to the data, I could not replicate what he had done.  We met and I realized he used the pre-coded version of an important variable.  This negated the ability to submit the paper for publication consideration.  It was my fault as I should have double checked all analyses before beginning work on a manuscript that we wouldn't be able to publish anyway.	yes	data coding error	value coding error
R_2EGYmDTj3LV7rUU	Complexity of experimental designs, with e.g. variable timings and/or spatial locations depending on the experimental conditions.	1	Complexity of experimental designs, with e.g. variable timings and/or spatial locations depending on the experimental conditions.	yes	recurring	too high complexity	too complex task	Some mistake in stimulus presentation through specialized software (e.g., Psychtoolbox) leads us to discard data from several participants before we realize the mistake	1	Some mistake in stimulus presentation through specialized software (e.g., Psychtoolbox) leads us to discard data from several participants before we realize the mistake	yes	programming error	program coding error
R_2Ejl6F6HzHMaous	Simply not paying attention to details and being in a rush.	1	Simply not paying attention to details	no	recurring	inattention	inattention	We forgot to include several important questions and had to start the project over!	1	We forgot to include several important questions and had to start the project over!	yes	oversight in study design or measurement	not including items in survey
R_2Ejl6F6HzHMaous	Simply not paying attention to details and being in a rush.	2	being in a rush.	no	recurring	time management issue	being in a rush	We forgot to include several important questions and had to start the project over!	1	We forgot to include several important questions and had to start the project over!	yes	oversight in study design or measurement	not including items in survey
R_2eQCIvKgmCxnQis	Human error and carelessness	2	carelessness	no	serious	carelessness	carelessness	Erroneously omit a page of questionnaire in data collection	1	Erroneously omit a page of questionnaire in data collection	yes	oversight in study design or measurement	omitting part of a questionnaire at collection
R_2EzS06GIwQj0lQn	Not anticipating needs for data analysis	1	Not anticipating needs for data analysis	yes	recurring	bad or lack of planning	error in planning	not including a code to allow for tracking of data from one data point to the next	1	not including a code to allow for tracking of data from one data point to the next	yes	bad connection of data points	not including a code to allow for tracking data
R_2f9fC66h2IIZs1w	This could be attributed to a miscommunication or lack of communication between the student and promoter: the promoter did not emphasize enough the importance or failed to provide a sufficient test of this program before data collection, and/or the student failed to implement this and was unaware of his/her fault or did not warn about it in time	1	This could be attributed to a miscommunication or lack of communication between the student and promoter: the promoter did not emphasize enough the importance or failed to provide a sufficient test of this program before data collection,	no	recurring	miscommunication	miscommunication	The most common mistake would be programming errors resulting in a faulty randomization or incomplete data registration	1	The most common mistake would be programming errors resulting in a faulty randomization or incomplete data registration	yes	programming error	program coding error
R_2fg0p9dQFeyFqr6	Carelessness on the part of graduathe student	1	Carelessness on the part of graduathe student	yes	serious	carelessness	carelessness	Privacy breach	1	Privacy breach	yes	violation in ethics	privacy breach
R_2fiypF20DbX0IU0	Lack of communication between data managers and me (PI) in that I failed to make clear that we need to be able to go back into the data in 1 or 5 years and still be able know what's what in the dataset.	1	Lack of communication between data managers and me (PI) in that I failed to make clear that we need to be able to go back into the data in 1 or 5 years and still be able know what's what in the dataset.	yes	recurring	miscommunication	miscommunication	Variable names not being descriptive enough and failing to include value labels for all variables.	1	Variable names not being descriptive enough and failing to include value labels for all variables.	yes	ambiguous naming/defining of data	ambiguous variable naming
R_2fiypF20DbX0IU0	Not having been thorough enough in the variable specifications.	1	Not having been thorough enough in the variable specifications.	yes	serious	carelessness	not being thorough enough	Not accounting for missing data values. That messed things up quite a bit and it took some sleuthing to figure out the wonky patterns.	1	Not accounting for missing data values. That messed things up quite a bit and it took some sleuthing to figure out the wonky patterns.	yes	wrong data processing/analysis	Not accounting for missing data values.
R_2OGsptCGC66lVpU	File naming conventions and co-existence of several versions of the same type of data file	1	File naming conventions and co-existence of several versions of the same type of data file	yes	recurring	bad or lack of standards	error in version control	Difficult to identify older data files due to uninformative file naming conventions.	1	Difficult to identify older data files due to uninformative file naming conventions.	yes	ambiguous naming/defining of data	uninformative file naming
R_2OGsptCGC66lVpU	Experimental software error	1	Experimental software error	yes	serious	technical issue	software failure	Failure to record behavioral responses	1	Failure to record behavioral responses	yes	data input error	Failure to record responses
R_2ONZImZtC8mhCrA	no centralized read-only database; copying and pasting errors	2	copying and pasting errors	no	recurring	inattention	copy paste error	data being incorrectly copied from one database to another	1	data being incorrectly copied from one database to another	yes	data transfer error	data being incorrectly copied
R_2OTKjDgl6AvVwvh	Different versions of the dataset were saved in different folders	1	Different versions of the dataset were saved in different folders	yes	recurring	bad or lack of standards	error in version control	Run analyses on old version of a dataset, but corrected it for the paper	1	Run analyses on old version of a dataset, but corrected it for the paper	yes	version control error	using the wrong version of data
R_2pLz7xMojRnoxaR	Different people running different parts of the project with little communication between them.	1	Different people running different parts of the project with little communication between them.	yes	recurring	miscommunication	miscommunication	"Every project is extremely unique and has it's own problems. I can't tell you what the ""most frequent"" was. How about: using inconsistent identifiers when create data for different aspects of a large project."	1	"Every project is extremely unique and has it's own problems. I can't tell you what the ""most frequent"" was. How about: using inconsistent identifiers when create data for different aspects of a large project."	yes	ambiguous naming/defining of data	inconsistent identifier
R_2PnFe0m2znDlqh0	Laziness, not keeping adequate notes, being too busy or distracted.	1	Laziness	no	recurring	carelessness	laziness	Variable names or labels are too vague requiring the researcher to reconstruct then from the raw data.	1	Variable names or labels are too vague requiring the researcher to reconstruct then from the raw data.	yes	ambiguous naming/defining of data	ambiguous variable naming
R_2PnFe0m2znDlqh0	Technology failure	1	Technology failure	yes	serious	technical issue	technology failure	Raw data (audio records) were corrupted before entry and the data were lost.	1	Raw data (audio records) were corrupted before entry and the data were lost.	yes	loss of materials/documentation/data	data loss
R_2PnFe0m2znDlqh0	Laziness, not keeping adequate notes, being too busy or distracted.	3	being too busy or distracted.	no	recurring	time management issue	workload	Variable names or labels are too vague requiring the researcher to reconstruct then from the raw data.	1	Variable names or labels are too vague requiring the researcher to reconstruct then from the raw data.	yes	ambiguous naming/defining of data	ambiguous variable naming
R_2q9Ql7h5CKuPKN0	lack of consistent file naming/location by people	1	lack of consistent file naming/location by people	yes	recurring	bad or lack of standards	inconsistent file naming	creation of multiple versions of dataset, and one person updates version 1 while another person updates something else in version 2.	1	creation of multiple versions of dataset, and one person updates version 1 while another person updates something else in version 2.	yes	version control error	using the wrong version of data
R_2QJpoM0DXM2EnBw	Human error, insufficient protocol in place.	2	insufficient protocol in place.	no	serious	bad or lack of standards	insufficient protocol	Data did not get recorded that should have been recorded.	1	Data did not get recorded that should have been recorded.	yes	data input error	Failure to record responses
R_2QopNHjyyr0Mqmt	Failure to conduct a full analysis of pilot data, plus lack of technical skill in individuals (often students) who are responsible for study.	1	Failure to conduct a full analysis of pilot data, plus lack of technical skill in individuals (often students) who are responsible for study.	yes	recurring	lack of knowledge/experience	inexperience	When running computer controlled experiments, there are errors in stimulus timing, the stimulus sequences, or the data stored.	1	When running computer controlled experiments, there are errors in stimulus timing, the stimulus sequences, or the data stored.	yes	programming error	program coding error
R_2QopNHjyyr0Mqmt	(a) miscommunication between experiemnter and person writng experimental software. (b) failure to analyse pilot data (c) leaving responsiblity for checking experiment up to student.	1	(a) miscommunication between experiemnter and person writng experimental software.	no	serious	miscommunication	miscommunication	Experimental software did not store all experimental condition labels when exporting results.	1	Experimental software did not store all experimental condition labels when exporting results.	yes	technical/infrastructural problem	failure of data collection software
R_2QopNHjyyr0Mqmt	(a) miscommunication between experiemnter and person writng experimental software. (b) failure to analyse pilot data (c) leaving responsiblity for checking experiment up to student.	2	(b) failure to analyse pilot data	no	serious	carelessness	failure to execute a task	Experimental software did not store all experimental condition labels when exporting results.	1	Experimental software did not store all experimental condition labels when exporting results.	yes	technical/infrastructural problem	failure of data collection software
R_2QopNHjyyr0Mqmt	(a) miscommunication between experiemnter and person writng experimental software. (b) failure to analyse pilot data (c) leaving responsiblity for checking experiment up to student.	3	(c) leaving responsiblity for checking experiment up to student.	no	serious	carelessness	irresponsibility	Experimental software did not store all experimental condition labels when exporting results.	1	Experimental software did not store all experimental condition labels when exporting results.	yes	technical/infrastructural problem	failure of data collection software
R_2QVQCBFhAeeJNZP	Inexperienced researchers.	1	Inexperienced researchers.	yes	recurring	lack of knowledge/experience	inexperience	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted - failure to match stimulus list to data output files.	1	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted.	no	wrong software or hardware settings	failure to calibrate data collector equipment
R_2QVQCBFhAeeJNZP	Inexperienced researchers.	1	Inexperienced researchers.	yes	recurring	lack of knowledge/experience	inexperience	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted - failure to match stimulus list to data output files.	2	Mistakes at the recording stage - failure to match stimulus list to data output files.	no	bad connection of data points	failure to connect stimulus to data
R_2Qy5UUJfVHXoWZV	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	1	The lack of proper consideration	no	serious	bad or lack of planning	insufficient planning	We have combined a large dataset but erroneously deleted a number of  important variables	1	We have combined a large dataset but erroneously deleted a number of  important variables	yes	version control error	using the wrong version of data
R_2Qy5UUJfVHXoWZV	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	2	reluctance to manage large datasets	no	serious	carelessness	reluctance	We have combined a large dataset but erroneously deleted a number of  important variables	1	We have combined a large dataset but erroneously deleted a number of  important variables	yes	version control error	using the wrong version of data
R_2Qy5UUJfVHXoWZV	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	3	some difficulty with combining SPSS files	no	serious	too high complexity	difficult task	We have combined a large dataset but erroneously deleted a number of  important variables	1	We have combined a large dataset but erroneously deleted a number of  important variables	yes	version control error	using the wrong version of data
R_2rBzqM7U57tGlVk	I guess each co-author trusted to much the others to have carefully re-read the instructions.	1	I guess each co-author trusted to much the others to have carefully re-read the instructions.	yes	serious	overconfidence	overreliance	Forgot to mention something really important in the experimental instructions	1	Forgot to mention something really important in the experimental instructions	yes	oversight in study design or measurement	incomplete experimental instructions
R_2RQVxhHSV8Q7y24	Haste - trying to get papers written up and submitted quickly	1	Haste - trying to get papers written up and submitted quickly	yes	recurring	time management issue	haste	Copy-and-paste errors where the values should have been replaced but weren't.	1	Copy-and-paste errors where the values should have been replaced but weren't.	yes	data transfer error	copy paste error
R_2RQVxhHSV8Q7y24	Messy data, trying to combine data from incomplete files (e.g. participants who completed one task but not the other). This is a task that has to be done manually, which leads to mistakes.	1	Messy data, trying to combine data from incomplete files (e.g. participants who completed one task but not the other). This is a task that has to be done manually, which leads to mistakes.	yes	serious	risking human error	manually doing a task	Skipped a line when copying data from two files into one new one, so data from two experimental tasks was mismatched (i.e. assigned data from participant A to participant B by mistake)	1	Skipped a line when copying data from two files into one new one, so data from two experimental tasks was mismatched (i.e. assigned data from participant A to participant B by mistake)	yes	data transfer error	copy paste error
R_2RVBEeR4DZhBco5	One time it was due to carelessness, and another time, it was due to the scale using an anchor that goes from positive value to negative value, which is not what I am used to	1	One time it was due to carelessness	no	recurring	carelessness	carelessness	I recoded the items wrong	1	I recoded the items wrong	yes	data coding error	value coding error
R_2RVBEeR4DZhBco5	Carelessness	1	Carelessness	yes	serious	carelessness	carelessness	I recoded the items for my variable wrong, leading to the opposite direction of the relationship	1	I recoded the items for my variable wrong, leading to the opposite direction of the relationship	yes	data coding error	value coding error
R_2RVBEeR4DZhBco5	One time it was due to carelessness, and another time, it was due to the scale using an anchor that goes from positive value to negative value, which is not what I am used to	2	it was due to the scale using an anchor that goes from positive value to negative value, which is not what I am used to	no	recurring	technical issue	wrong experimental program setting	I recoded the items wrong	1	I recoded the items wrong	yes	data coding error	value coding error
R_2S2MjnRg4NsWUiX	technical-programming requirements	1	technical-programming requirements	yes	recurring	bad skill management	lack of training	badly executed merging of data	1	badly executed merging of data	yes	data selection/merging error	wrong data merging
R_2S2MjnRg4NsWUiX	insufficient programming knowledge, insufficient understand of data nature	1	insufficient programming knowledge,	no	serious	lack of knowledge/experience	inexperience	programming difficulties in data merging	1	programming difficulties in data merging	yes	data selection/merging error	wrong data merging
R_2S2MjnRg4NsWUiX	insufficient programming knowledge, insufficient understand of data nature	2	insufficient understand of data nature	no	serious	lack of knowledge/experience	insufficient experience	programming difficulties in data merging	1	programming difficulties in data merging	yes	data selection/merging error	wrong data merging
R_2SBjtXj9EjzI7Sn	"They never really ""got"" the coding manual, and we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3."	1	"They never really ""got"" the coding manual, and"	no	serious	lack of knowledge/experience	inexperience	Had to drop some coders' codings.	1	Had to drop some coders' codings.	yes	data coding error	value coding error
R_2SBjtXj9EjzI7Sn	"They never really ""got"" the coding manual, and we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3."	2	we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3.	no	serious	bad skill management	insufficient training	Had to drop some coders' codings.	1	Had to drop some coders' codings.	yes	data coding error	value coding error
R_2SeF9B5dnR5QZ1N	Students not realizing that there are automated ways to transfer data between applications	1	Students not realizing that there are automated ways to transfer data between applications	yes	recurring	lack of knowledge/experience	inexperience	Miscopying of data from a spreadsheet to a statistical package	1	Miscopying of data from a spreadsheet to a statistical package	yes	data transfer error	copy paste error
R_2SeF9B5dnR5QZ1N	Not enough coordination among experimenters	1	Not enough coordination among experimenters	yes	serious	project management issue	not enough coordination	Using the same participant number for more than one individual	1	Using the same participant number for more than one individual	yes	ambiguous naming/defining of data	ambiguous participant identifier
R_2tiiMYZYEfHjyYN	Either research assistant inattentiveness/laziness or miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	1	research assistant inattentiveness	no	recurring	inattention	inattention	Research assistant canceled or failed to show up for a scheduled session, resulting in data loss for researchers and wasted time for participants.	1	Research assistant canceled or failed to show up for a scheduled session, resulting in data loss for researchers and wasted time for participants.	yes	project management error	not showing up for data collection
R_2tiiMYZYEfHjyYN	Personal forgetfulness/inattentiveness.	1	Personal forgetfulness/.	no	serious	physical and mental constraints	forgetfulness	Overwrote a file containing raw data from a time-consuming study.	1	Overwrote a file containing raw data from a time-consuming study.	yes	version control error	overwriting data
R_2tiiMYZYEfHjyYN	Either research assistant inattentiveness/laziness or miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	2	laziness	no	recurring	carelessness	laziness	Research assistant canceled or failed to show up for a scheduled session, resulting in data loss for researchers and wasted time for participants.	1	Research assistant canceled or failed to show up for a scheduled session, resulting in data loss for researchers and wasted time for participants.	yes	project management error	not showing up for data collection
R_2tiiMYZYEfHjyYN	Personal forgetfulness/inattentiveness.	2	inattentiveness	no	serious	inattention	inattentiveness	Overwrote a file containing raw data from a time-consuming study.	1	Overwrote a file containing raw data from a time-consuming study.	yes	version control error	overwriting data
R_2tiiMYZYEfHjyYN	Either research assistant inattentiveness/laziness or miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	3	miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	no	recurring	miscommunication	miscommunication	Research assistant canceled or failed to show up for a scheduled session, resulting in data loss for researchers and wasted time for participants.	1	Research assistant canceled or failed to show up for a scheduled session, resulting in data loss for researchers and wasted time for participants.	yes	project management error	not showing up for data collection
R_2tLFnGE5wJ0UxSs	Not sufficiently clear procedures for dataset cleanup and management.	1	Not sufficiently clear procedures for dataset cleanup and management.	yes	recurring	bad or lack of standards	lack of standard procedures	In large datasets, with hundreds of variables: Analyzing earlier version of e.g., sum score that includes errors rectified in later version of variable.	1	In large datasets, with hundreds of variables: Analyzing earlier version of e.g., sum score that includes errors rectified in later version of variable.	yes	version control error	using the wrong version of data
R_2TRUjQ7kYqmtIno	bad organization! no standard workflow or procedure! we are working on changing that now.	1	bad organization! no standard workflow or procedure! we are working on changing that now.	yes	recurring	bad or lack of standards	not standard workflow	multiple versions of data files leading to using incorrect variables naming and transformations without documentation	1	multiple versions of data files leading to using incorrect variables naming and transformations without documentation	yes	bad or poor documentation	lack or poor documentation
R_2TRUjQ7kYqmtIno	lack of standard protocols for scale scoring	1	lack of standard protocols for scale scoring	yes	serious	bad or lack of standards	lack of standard procedures	A variable was reverse-coded when it was not supposed to be	1	A variable was reverse-coded when it was not supposed to be	yes	data coding error	reverse coding variable by mistake
R_2U4pgn1GCmJuGaU	Lack of my attention to the details of my students' research	1	Lack of my attention to the details of my students' research	yes	recurring	project management issue	lack of supervision	uninformative data labeling	1	uninformative data labeling	yes	ambiguous naming/defining of data	ambiguous variable naming
R_2U4pgn1GCmJuGaU	insufficient attention by myself	1	insufficient attention by myself	yes	serious	inattention	inattention	mislabeled data	1	mislabeled data	yes	ambiguous naming/defining of data	mislabeling
R_2U5GjHtbKZYkmMX	Lack of time / attention	1	Lack of time	no	recurring	time management issue	time pressure	Forgetting to anonymize the data.	1	Forgetting to anonymize the data.	yes	violation in ethics	not anonymizing data
R_2U5GjHtbKZYkmMX	Data from one set was not ordered in the same way as in the other data set	1	Data from one set was not ordered in the same way as in the other data set	yes	serious	bad or lack of standards	lack of standard procedures	Not aligning the participant numbers well between two data-sets from one study.	1	Not aligning the participant numbers well between two data-sets from one study.	yes	ambiguous naming/defining of data	ambiguous participant identifier
R_2U5GjHtbKZYkmMX	Lack of time / attention	2	Lack of attention	no	recurring	inattention	lack of attention	Forgetting to anonymize the data.	1	Forgetting to anonymize the data.	yes	violation in ethics	not anonymizing data
R_2U9jvXCLvYdgF4v	Multiple people in different locations working on files at the same time.	1	Multiple people in different locations working on files at the same time.	yes	recurring	project management issue	too many team members working on one task	Not necessarily working on the most recent dataset.	1	Not necessarily working on the most recent dataset.	yes	version control error	using the wrong version of data
R_2uHSLuGwWn8PInP	Failure in software/technical equipment.	1	Failure in software.	no	recurring	technical issue	software error	Data loss to to glitch in programme or related technical failure.	1	Data loss to to glitch in programme or related technical failure.	yes	technical/infrastructural problem	technical failure
R_2uHSLuGwWn8PInP	Failure in software/technical equipment.	2	Failure in technical equipment.	no	recurring	technical issue	technical failure	Data loss to to glitch in programme or related technical failure.	1	Data loss to to glitch in programme or related technical failure.	yes	technical/infrastructural problem	technical failure
