response_id	type	mistake	question	rating
R_Ugcj0Hs9IX1A3WV	recurring	Not labeling variables or response values in data file	serious	Minor
R_3jZ1VC6ejnLzmYa	recurring	A participant's second response to a question would overwrite their response to the first question.	frequency	Very Low
R_3jZ1VC6ejnLzmYa	recurring	A participant's second response to a question would overwrite their response to the first question.	serious	Moderate
R_yDdfJsIfeCY3yRr	recurring	Mistakes relating to Excel formulas (used to clean, re-code, analyze data) - either having a type/error in the formula and not immediately realizing it, or not pasting it correctly throughout file.  Usually realize it right away when writing the formulas, I'd consider it a mistake if it persists beyond one session.	frequency	High
R_yDdfJsIfeCY3yRr	recurring	Mistakes relating to Excel formulas (used to clean, re-code, analyze data) - either having a type/error in the formula and not immediately realizing it, or not pasting it correctly throughout file.  Usually realize it right away when writing the formulas, I'd consider it a mistake if it persists beyond one session.	serious	Minor
R_3Pp3aZ3NKVDVBPb	recurring	Rearranging spreadsheet data, but realised immediately so only resulted in a loss of about 30 mins.	frequency	Very Low
R_3Pp3aZ3NKVDVBPb	recurring	Rearranging spreadsheet data, but realised immediately so only resulted in a loss of about 30 mins.	serious	Insignificant
R_2dSg2D5VTNB7RVY	recurring	poor identifier management	frequency	High
R_2dSg2D5VTNB7RVY	recurring	poor identifier management	serious	Minor
R_xaBv50AriU5pPt7	recurring	Incorrect coding/re-coding of categorical variables.	frequency	Low
R_xaBv50AriU5pPt7	recurring	Incorrect coding/re-coding of categorical variables.	serious	Minor
R_AmI4PaDaAItn0MF	recurring	improper coding of a raw variable when transforming it into an analytic variable	frequency	Low
R_AmI4PaDaAItn0MF	recurring	improper coding of a raw variable when transforming it into an analytic variable	serious	Minor
R_28FWEYSvglYwL9F	recurring	version control of dataset leading to doing the same work twice	frequency	Low
R_28FWEYSvglYwL9F	recurring	version control of dataset leading to doing the same work twice	serious	Minor
R_2EzS06GIwQj0lQn	recurring	not including a code to allow for tracking of data from one data point to the next	frequency	Very Low
R_2EzS06GIwQj0lQn	recurring	not including a code to allow for tracking of data from one data point to the next	serious	Major
R_1FqSTPQf3FjsXjM	recurring	Data not re-coded	frequency	Very Low
R_1FqSTPQf3FjsXjM	recurring	Data not re-coded	serious	Insignificant
R_T1kUZzmLbVaqMQp	recurring	Recoding negative items	frequency	Very Low
R_T1kUZzmLbVaqMQp	recurring	Recoding negative items	serious	Major
R_AGrmutGJFICE93z	recurring	We have lost data due to computer errors but replaced those data with additional data collection (and didn't analyze the data until the additional data was collected	frequency	Very Low
R_AGrmutGJFICE93z	recurring	We have lost data due to computer errors but replaced those data with additional data collection (and didn't analyze the data until the additional data was collected	serious	Minor
R_3szfXpJiLetcwwr	recurring	Poor archiving and labeling of data.	frequency	Low
R_3szfXpJiLetcwwr	recurring	Poor archiving and labeling of data.	serious	Minor
R_WDKxkIWKqWPUbqV	recurring	transcription errors	frequency	Very Low
R_WDKxkIWKqWPUbqV	recurring	transcription errors	serious	Insignificant
R_1pRrkSmdJGmTwHk	recurring	Data entry typos/human error in data entry.	frequency	Low
R_1pRrkSmdJGmTwHk	recurring	Data entry typos/human error in data entry.	serious	Insignificant
R_31N0JcnckZmHXuH	recurring	Not recording in the master database which subjects were used in which analysis.	frequency	Very High
R_31N0JcnckZmHXuH	recurring	Not recording in the master database which subjects were used in which analysis.	serious	Moderate
R_T5iKcDfWBpqUOaJ	recurring	Running analyses on a wrong version of the data set	frequency	High
R_T5iKcDfWBpqUOaJ	recurring	Running analyses on a wrong version of the data set	serious	Minor
R_2U9jvXCLvYdgF4v	recurring	Not necessarily working on the most recent dataset.	frequency	High
R_2U9jvXCLvYdgF4v	recurring	Not necessarily working on the most recent dataset.	serious	Minor
R_3CWadSWEbwUhhrs	recurring	instruments were not appropriate for the participants (e.g. personality questionnaire applied to the sample which couldn't understand the meaning of the items (and that could be seen on the reliability estimates) low control over the data collection procedure (especially in internet based research)	frequency	Low
R_3CWadSWEbwUhhrs	recurring	instruments were not appropriate for the participants (e.g. personality questionnaire applied to the sample which couldn't understand the meaning of the items (and that could be seen on the reliability estimates) low control over the data collection procedure (especially in internet based research)	serious	Minor
R_1Kp6yZnGSG4gEcP	recurring	corruption of data files	frequency	Very Low
R_1Kp6yZnGSG4gEcP	recurring	corruption of data files	serious	Minor
R_1OkPHcZJmExTE2S	recurring	typo	frequency	Low
R_1OkPHcZJmExTE2S	recurring	typo	serious	Insignificant
R_1mW0ThB9AoMJITt	recurring	I harvest data from a variety of published (typically online) sources, and sometimes the original data get disconnected from the working data sets that I use for modeling.	frequency	Low
R_1mW0ThB9AoMJITt	recurring	I harvest data from a variety of published (typically online) sources, and sometimes the original data get disconnected from the working data sets that I use for modeling.	serious	Minor
R_1jvKqTl2Ij19jke	recurring	inversion of condition labels during processing	frequency	Very Low
R_1jvKqTl2Ij19jke	recurring	inversion of condition labels during processing	serious	Minor
R_3JgdVz92UzIXsDf	recurring	"Programming errors - I can't think of any other mistake that's ever been made (except or for students doing God knows what when working with their data, but that is always something I double check and correct as a matter of course. Letting students make those data working mistakes, to show them how careful you actually need to be is more a life-lesson for them, than a mistake by the ""research team""."	frequency	Low
R_3JgdVz92UzIXsDf	recurring	"Programming errors - I can't think of any other mistake that's ever been made (except or for students doing God knows what when working with their data, but that is always something I double check and correct as a matter of course. Letting students make those data working mistakes, to show them how careful you actually need to be is more a life-lesson for them, than a mistake by the ""research team""."	serious	Minor
R_Ajw5jmJ8M7DobyF	recurring	Earlier version of questionnaire used with a small number of respondents before error identified. Discarded participants from study.	frequency	Very Low
R_Ajw5jmJ8M7DobyF	recurring	Earlier version of questionnaire used with a small number of respondents before error identified. Discarded participants from study.	serious	Minor
R_2zHk3lrt2viQjzY	recurring	Variables were recoded into same variables (without timing note of the recoding)	frequency	Very Low
R_2zHk3lrt2viQjzY	recurring	Variables were recoded into same variables (without timing note of the recoding)	serious	Minor
R_2VQJaAMQ7x7b0Vc	recurring	Failure to exclude error or otherwise invalid trials from statistical analysis.	frequency	Low
R_2VQJaAMQ7x7b0Vc	recurring	Failure to exclude error or otherwise invalid trials from statistical analysis.	serious	Minor
R_3pgaQNfj5tISZ0r	recurring	Entering data wrongly by mistake	frequency	Low
R_3pgaQNfj5tISZ0r	recurring	Entering data wrongly by mistake	serious	Minor
R_1Kx6uWGscVutS3f	recurring	Multiple versions of a data file were kept and it took hours to later identify the final copy with all information.	frequency	Low
R_1Kx6uWGscVutS3f	recurring	Multiple versions of a data file were kept and it took hours to later identify the final copy with all information.	serious	Moderate
R_22EynRiZfQKWOM7	recurring	Lack of recording relevant details (by student interviewers).	frequency	Very Low
R_22EynRiZfQKWOM7	recurring	Lack of recording relevant details (by student interviewers).	serious	Insignificant
R_2cu4Vcaq8fXrGGw	recurring	We were incorrect in what the dummy codes were referring to (more vs less of variable X)	frequency	Low
R_2cu4Vcaq8fXrGGw	recurring	We were incorrect in what the dummy codes were referring to (more vs less of variable X)	serious	Minor
R_OvXfiWtDSp3WRdD	recurring	Created a definition of variable incorrectly	frequency	Low
R_OvXfiWtDSp3WRdD	recurring	Created a definition of variable incorrectly	serious	Moderate
R_vCDw2trrlQggWnD	recurring	(1) Similar data collections, but variables assigned different names (2) Students doing data manipulations (e.g., forming scales from several items) in a spreadsheet, rather than in reproducible, documented code.	frequency	Moderate
R_vCDw2trrlQggWnD	recurring	(1) Similar data collections, but variables assigned different names (2) Students doing data manipulations (e.g., forming scales from several items) in a spreadsheet, rather than in reproducible, documented code.	serious	Moderate
R_1FnQHiAFu95KLEA	recurring	questions were dropped by a standard questionnaire	frequency	Low
R_1FnQHiAFu95KLEA	recurring	questions were dropped by a standard questionnaire	serious	Minor
R_2ay4ISLXNFlfXiA	recurring	Making an error when entering data.	frequency	Very Low
R_2ay4ISLXNFlfXiA	recurring	Making an error when entering data.	serious	Insignificant
R_exlSjtrcVMPpPkl	recurring	FAILURE TO ENTER DATA CORRECTLY	frequency	Low
R_exlSjtrcVMPpPkl	recurring	FAILURE TO ENTER DATA CORRECTLY	serious	Minor
R_3lFbOeEkr2aGW1f	recurring	Errors in code for creating derived variables	frequency	Low
R_3lFbOeEkr2aGW1f	recurring	Errors in code for creating derived variables	serious	Minor
R_2YKRrPH6SwOg1i9	recurring	Not documenting data cleaning and processing steps so you can’t recall how to get from the raw data file to the input used for analysis	frequency	Moderate
R_2YKRrPH6SwOg1i9	recurring	Not documenting data cleaning and processing steps so you can’t recall how to get from the raw data file to the input used for analysis	serious	Minor
R_2aKnSakmSAQuXYg	recurring	Access issues and duplicate work issues	frequency	Very High
R_2aKnSakmSAQuXYg	recurring	Access issues and duplicate work issues	serious	Minor
R_6gLIVQF1l9WfwFH	recurring	Experimental condition incorrectly assigned, but the mistake was detected as part of protocol for data review.	frequency	Very Low
R_6gLIVQF1l9WfwFH	recurring	Experimental condition incorrectly assigned, but the mistake was detected as part of protocol for data review.	serious	Insignificant
R_2WVyCoeuAAHCNin	recurring	Omitting an important scale from a survey	frequency	Very Low
R_2WVyCoeuAAHCNin	recurring	Omitting an important scale from a survey	serious	Moderate
R_AFdMpLX9YukUDqV	recurring	Poorly organized syntax files with occasional mistakes	frequency	Low
R_AFdMpLX9YukUDqV	recurring	Poorly organized syntax files with occasional mistakes	serious	Minor
R_3Pq7FOazfc0hLft	recurring	The coding system for categorical variables was mistakenly interpreted.	frequency	Low
R_3Pq7FOazfc0hLft	recurring	The coding system for categorical variables was mistakenly interpreted.	serious	Insignificant
R_302hgWPu7XX10Ur	recurring	Programming mistakes in the statistical software	frequency	Moderate
R_302hgWPu7XX10Ur	recurring	Programming mistakes in the statistical software	serious	Minor
R_3fAw2UE7epkUpRF	recurring	Human error with data entry	frequency	Low
R_3fAw2UE7epkUpRF	recurring	Human error with data entry	serious	Minor
R_3jeZvxEXWjMiPoU	recurring	Scheduling twl participants in the same slot. Making some errors in programming the experiment (which are usually fixed after 2-3 pilot participants)	frequency	Very Low
R_3jeZvxEXWjMiPoU	recurring	Scheduling twl participants in the same slot. Making some errors in programming the experiment (which are usually fixed after 2-3 pilot participants)	serious	Minor
R_2awtub9gT0lm0Nq	recurring	Wrong data encoding/labelling	frequency	Low
R_2awtub9gT0lm0Nq	recurring	Wrong data encoding/labelling	serious	Minor
R_3s5IM3bGbNtc4XU	recurring	Main problem has been insufficient data archiving of ended projects. Sometimes data is needed later as well.	frequency	Low
R_3s5IM3bGbNtc4XU	recurring	Main problem has been insufficient data archiving of ended projects. Sometimes data is needed later as well.	serious	Moderate
R_73C5WonwTfcN8Wt	recurring	Data loss due to equipment failure during data collection, misplacing data files from individual participants, errors when collating data from different sources for analyses (questionnaires, experimental tasks etc.).	frequency	Moderate
R_73C5WonwTfcN8Wt	recurring	Data loss due to equipment failure during data collection, misplacing data files from individual participants, errors when collating data from different sources for analyses (questionnaires, experimental tasks etc.).	serious	Minor
R_29tEljEKBrsztMe	recurring	Probably issues related to coding of questionnaires items.	frequency	Low
R_29tEljEKBrsztMe	recurring	Probably issues related to coding of questionnaires items.	serious	Minor
R_1C8fB8CBFHe5SbN	recurring	Program unexpectedly deleted cases automatically, but this was detected and corrected.	frequency	Very Low
R_1C8fB8CBFHe5SbN	recurring	Program unexpectedly deleted cases automatically, but this was detected and corrected.	serious	Minor
R_3fHPNDhuPCvBI5t	recurring	labelling of variables sometimes difficult to understand after a given time or when project members have left the lab	frequency	Very Low
R_3fHPNDhuPCvBI5t	recurring	labelling of variables sometimes difficult to understand after a given time or when project members have left the lab	serious	Minor
R_SH3w71pRCZDwotH	recurring	Probably has to do with making long data forms from wide data forms. If not done properly, something is easily excluded or duplicated by mistake. But I think we also do these types of things very carefully now.	frequency	Low
R_SH3w71pRCZDwotH	recurring	Probably has to do with making long data forms from wide data forms. If not done properly, something is easily excluded or duplicated by mistake. But I think we also do these types of things very carefully now.	serious	Minor
R_3fW2vvpojJLV3ZS	recurring	Working on the wrong version of the data.	frequency	Low
R_3fW2vvpojJLV3ZS	recurring	Working on the wrong version of the data.	serious	Minor
R_1NCbBfTdX4Jcm6q	recurring	Transposition errors from copy and paste between sources.	frequency	Low
R_1NCbBfTdX4Jcm6q	recurring	Transposition errors from copy and paste between sources.	serious	Minor
R_1g6hYU8eXreCTSC	recurring	Confusion on details of measurement when different experimenters conducted the experiment	frequency	Low
R_1g6hYU8eXreCTSC	recurring	Confusion on details of measurement when different experimenters conducted the experiment	serious	Moderate
R_ysSpq9fCGv43WI9	recurring	Problems with the labels of variables	frequency	High
R_ysSpq9fCGv43WI9	recurring	Problems with the labels of variables	serious	Minor
R_vTAtDgS8N64qWDn	recurring	Confusing values with formulas in excel leading to wrong numbers when pasted in a different spreadshet	frequency	Low
R_vTAtDgS8N64qWDn	recurring	Confusing values with formulas in excel leading to wrong numbers when pasted in a different spreadshet	serious	Moderate
R_3M0uW4vbFXE4kvx	recurring	1) Uninformative names, lack of documentation, takes time to re-create analyses.  2) Problems accessing data from SQL server, insufficient documentation of variables there	frequency	Low
R_3M0uW4vbFXE4kvx	recurring	1) Uninformative names, lack of documentation, takes time to re-create analyses.  2) Problems accessing data from SQL server, insufficient documentation of variables there	serious	Minor
R_d9XxjKNfZKBlcv7	recurring	Our analysis code has errors in it, invalidating all or part of the analysis.	frequency	Low
R_d9XxjKNfZKBlcv7	recurring	Our analysis code has errors in it, invalidating all or part of the analysis.	serious	Moderate
R_3fAULoP2522oOyB	recurring	Data corruption due to import / export data to / from different format (Excel, csv, sas) especially for variables related times, date, long integer.	frequency	Very Low
R_3fAULoP2522oOyB	recurring	Data corruption due to import / export data to / from different format (Excel, csv, sas) especially for variables related times, date, long integer.	serious	Minor
R_1gpx3ioVAlVTipo	recurring	I see the biggest risk in the first phase when you (often alone, would be better to be two so that one or the other might notice mistakes more easily) prepare the data for analysis; e.g. preparations/calculations of variables with large data sets. I find this a difficult and time consuming task, with potential for human errors. We try to document the steps and use syntaxes, but still, I find it difficult to document in such a way that it would be easy enough to retrace all steps in complex cases. Also, the work load and stress increase the risk for mistakes.	frequency	Low
R_1gpx3ioVAlVTipo	recurring	I see the biggest risk in the first phase when you (often alone, would be better to be two so that one or the other might notice mistakes more easily) prepare the data for analysis; e.g. preparations/calculations of variables with large data sets. I find this a difficult and time consuming task, with potential for human errors. We try to document the steps and use syntaxes, but still, I find it difficult to document in such a way that it would be easy enough to retrace all steps in complex cases. Also, the work load and stress increase the risk for mistakes.	serious	Minor
R_3NDG6QfrooWuJHa	recurring	hardware failure that leads to program crash during the experiment	frequency	Low
R_3NDG6QfrooWuJHa	recurring	hardware failure that leads to program crash during the experiment	serious	Minor
R_0i9ZGQEYBdbMe1r	recurring	the data in o'tree come up in a spread sheet that is neither a long format neither a wide format, therefore to do the analyses I have to restructure the data, however, standard restructure procedure in R and spss are not useful because they go from wide to  long formats or from long to wide formats, therefore I did it by hand, and this created some mistakes in statistical analyses which was immediately diagnosed and corrected but took some extra time.	frequency	Very Low
R_0i9ZGQEYBdbMe1r	recurring	the data in o'tree come up in a spread sheet that is neither a long format neither a wide format, therefore to do the analyses I have to restructure the data, however, standard restructure procedure in R and spss are not useful because they go from wide to  long formats or from long to wide formats, therefore I did it by hand, and this created some mistakes in statistical analyses which was immediately diagnosed and corrected but took some extra time.	serious	Major
R_vktbxXQAdWGQUmJ	recurring	'-Copy and paste error in excel -selecting the wrong variables in data analysis, specially when the names are similar (i.e. WM1 vs. WM2.... etc) -Involving modification of previous script to perform new analysis (i.e. forgot to change variable names)	frequency	Low
R_vktbxXQAdWGQUmJ	recurring	'-Copy and paste error in excel -selecting the wrong variables in data analysis, specially when the names are similar (i.e. WM1 vs. WM2.... etc) -Involving modification of previous script to perform new analysis (i.e. forgot to change variable names)	serious	Major
R_3jfk9WUBB1C9rE0	recurring	Missing observations when transfering data between different formats	frequency	Moderate
R_3jfk9WUBB1C9rE0	recurring	Missing observations when transfering data between different formats	serious	Moderate
R_u7y4awKmx0P9uMx	recurring	When we moved data between spreadsheet we only partially selected the data which led to data loss.	frequency	Low
R_u7y4awKmx0P9uMx	recurring	When we moved data between spreadsheet we only partially selected the data which led to data loss.	serious	Minor
R_1ImjMmhDv5BB0tL	recurring	Programming errors in code (we use MATLAB) for analyzing data.	frequency	Low
R_1ImjMmhDv5BB0tL	recurring	Programming errors in code (we use MATLAB) for analyzing data.	serious	Minor
R_1rwuSrjs7gQ6lcy	recurring	Insufficient data description / labeling	frequency	Moderate
R_1rwuSrjs7gQ6lcy	recurring	Insufficient data description / labeling	serious	Minor
R_ZJlgxWYq9ryKVJ7	recurring	unsuitable variable names that made it difficult to re-analize the data after some time lapsed; errors in recoding variables that lead to loss of information of the raw data	frequency	Low
R_ZJlgxWYq9ryKVJ7	recurring	unsuitable variable names that made it difficult to re-analize the data after some time lapsed; errors in recoding variables that lead to loss of information of the raw data	serious	Minor
R_1OCdfz7knYYZ9MF	recurring	Use of wrong datasets happened last year.	frequency	Moderate
R_1OCdfz7knYYZ9MF	recurring	Use of wrong datasets happened last year.	serious	Minor
R_3Gs4GQj61sS2krY	recurring	Transferring data from one format to another is always tricky.	frequency	Low
R_3Gs4GQj61sS2krY	recurring	Transferring data from one format to another is always tricky.	serious	Minor
R_UW9udpehJoHvjeV	recurring	program related	frequency	Low
R_UW9udpehJoHvjeV	recurring	program related	serious	Moderate
R_W2NaMKUGZou4QDv	recurring	nothing really systematic and only minor, e.g., missing outlier removal or keeping track of concerned conditions, SD vs SE in figure vs. caption, formula error in excel,	frequency	Low
R_W2NaMKUGZou4QDv	recurring	nothing really systematic and only minor, e.g., missing outlier removal or keeping track of concerned conditions, SD vs SE in figure vs. caption, formula error in excel,	serious	Minor
R_3R4baXz3l9QdAPM	recurring	Coding error in syntax	frequency	Moderate
R_3R4baXz3l9QdAPM	recurring	Coding error in syntax	serious	Major
R_2Ve7LLcoPdCtYvA	recurring	Using an outdated version of experiment code.	frequency	Moderate
R_2Ve7LLcoPdCtYvA	recurring	Using an outdated version of experiment code.	serious	Moderate
R_3DjBdzkuQENmiq9	recurring	mix up in participant ID code	frequency	Moderate
R_3DjBdzkuQENmiq9	recurring	mix up in participant ID code	serious	Insignificant
R_Y6sggRDaiYKcxP3	recurring	Overwriting old files. Import old files. Wrong named variables in data analysis scripts.	frequency	Moderate
R_Y6sggRDaiYKcxP3	recurring	Overwriting old files. Import old files. Wrong named variables in data analysis scripts.	serious	Minor
R_3HnSEV00T3RGWzi	recurring	Working on a wrong version of a dataset/manuscript.	frequency	High
R_3HnSEV00T3RGWzi	recurring	Working on a wrong version of a dataset/manuscript.	serious	Minor
R_bCncU5uFNDBQAdr	recurring	It´s difficult to say, but I think that a very common mistake is when the range of response of a questionnaire is not coorect (e.g., 0 to 4, instead of 1 to 5)	frequency	High
R_bCncU5uFNDBQAdr	recurring	It´s difficult to say, but I think that a very common mistake is when the range of response of a questionnaire is not coorect (e.g., 0 to 4, instead of 1 to 5)	serious	Minor
R_XLNMXHwqdiwAG7D	recurring	Poor data labelling and documentation	frequency	Moderate
R_XLNMXHwqdiwAG7D	recurring	Poor data labelling and documentation	serious	Moderate
R_2OGsptCGC66lVpU	recurring	Difficult to identify older data files due to uninformative file naming conventions.	frequency	Low
R_2OGsptCGC66lVpU	recurring	Difficult to identify older data files due to uninformative file naming conventions.	serious	Minor
R_2yfNEamm9FvTD4O	recurring	building data frame wrongly the first time	frequency	Low
R_2yfNEamm9FvTD4O	recurring	building data frame wrongly the first time	serious	Insignificant
R_1myhPq5ghONho9x	recurring	wrong coding of variables	frequency	Low
R_1myhPq5ghONho9x	recurring	wrong coding of variables	serious	Moderate
R_3KK0Lq3IYGIcJXW	recurring	I have had in the past that I did not label a variable properly. It computed two variables but I could not remember what was the correct one.	frequency	Moderate
R_3KK0Lq3IYGIcJXW	recurring	I have had in the past that I did not label a variable properly. It computed two variables but I could not remember what was the correct one.	serious	Minor
R_1f1ptLmJabcd2gt	recurring	incorrect input data, mismatch between subjects and his data because of wrong copy and paste. numbers added as text	frequency	Moderate
R_1f1ptLmJabcd2gt	recurring	incorrect input data, mismatch between subjects and his data because of wrong copy and paste. numbers added as text	serious	Moderate
R_ByOF9nbo28ZJhG9	recurring	erroneous coding of variables in qualtrics surveys	frequency	Low
R_ByOF9nbo28ZJhG9	recurring	erroneous coding of variables in qualtrics surveys	serious	Minor
R_1Lez5WNMDX1hRUJ	recurring	Mistakes in some codes of a dataset	frequency	Very Low
R_1Lez5WNMDX1hRUJ	recurring	Mistakes in some codes of a dataset	serious	Minor
R_DCZvMltMaiLK0zD	recurring	data loss, data wrongly inserted, data not completely inserted, data not correctly saved, variable names errors	frequency	High
R_DCZvMltMaiLK0zD	recurring	data loss, data wrongly inserted, data not completely inserted, data not correctly saved, variable names errors	serious	Minor
R_24OvWIXid68ghSc	recurring	In qualitative analysis, forgetting which codes are used for what, and reinventing or duplicating similar or identical codes.	frequency	Moderate
R_24OvWIXid68ghSc	recurring	In qualitative analysis, forgetting which codes are used for what, and reinventing or duplicating similar or identical codes.	serious	Minor
R_28GI4y8PGiLchXU	recurring	"Having PhD students ""code"" a dataset and then leave without proper instructions on how variables were calculated, what certain variable names mean and what filters (e.g., only completes) they used for their final analyses"	frequency	Moderate
R_28GI4y8PGiLchXU	recurring	"Having PhD students ""code"" a dataset and then leave without proper instructions on how variables were calculated, what certain variable names mean and what filters (e.g., only completes) they used for their final analyses"	serious	Moderate
R_QaFTHFdsxfpvsFb	recurring	Most mistakes I can think of had to do with data analysis or reporting of results. For example, during the data analysis, I might have used a filter and then forgotten to remove it. Or another researcher might have made mistakes in their R code, specifying a wrong subset or a wrong variable. With regards to reporting, I think it happens quite often that people copy-paste text to save time and then forget to change some values. Or that they make rounding and other errors when re-typing values.	frequency	Moderate
R_QaFTHFdsxfpvsFb	recurring	Most mistakes I can think of had to do with data analysis or reporting of results. For example, during the data analysis, I might have used a filter and then forgotten to remove it. Or another researcher might have made mistakes in their R code, specifying a wrong subset or a wrong variable. With regards to reporting, I think it happens quite often that people copy-paste text to save time and then forget to change some values. Or that they make rounding and other errors when re-typing values.	serious	Minor
R_2WCr8uf7CKPkEXG	recurring	mistakes in writing software code for Mplus	frequency	High
R_2WCr8uf7CKPkEXG	recurring	mistakes in writing software code for Mplus	serious	Moderate
R_vGhe9SFx67Tm8md	recurring	My PhD student siad she performed X test that she cannot do, I figured out that she has performed another easier stat test that she could do. The results and p values or F values did not change, and luckily the paper she wrote was rejected at the first journal that I could go over the stats and found out the mistake. I was not sure if she did it because it was easies, or mistakingly. Now I go over everything she does with a double or triple check, and am rather unreluctant to write with her.	frequency	Very Low
R_vGhe9SFx67Tm8md	recurring	My PhD student siad she performed X test that she cannot do, I figured out that she has performed another easier stat test that she could do. The results and p values or F values did not change, and luckily the paper she wrote was rejected at the first journal that I could go over the stats and found out the mistake. I was not sure if she did it because it was easies, or mistakingly. Now I go over everything she does with a double or triple check, and am rather unreluctant to write with her.	serious	Minor
R_1q8MrESM6Soe0YW	recurring	missing documentation in the labeling/handling/recoding of variables	frequency	Moderate
R_1q8MrESM6Soe0YW	recurring	missing documentation in the labeling/handling/recoding of variables	serious	Minor
R_1gwrKmk8l9dBdpR	recurring	Uninformative labels which prevented using old datasets, Reverse scoring items more than one times and difficult to find out the original data	frequency	Low
R_1gwrKmk8l9dBdpR	recurring	Uninformative labels which prevented using old datasets, Reverse scoring items more than one times and difficult to find out the original data	serious	Minor
R_roMs84O8u4uODHb	recurring	Uninformative variable names	frequency	Low
R_roMs84O8u4uODHb	recurring	Uninformative variable names	serious	Minor
R_1163fpcUwH7iUdJ	recurring	sloppy file naming which made very hard to identify the subjects later	frequency	Very High
R_1163fpcUwH7iUdJ	recurring	sloppy file naming which made very hard to identify the subjects later	serious	Moderate
R_1eru08S1SGWl5sm	recurring	reversed the coding of a scale	frequency	Very Low
R_1eru08S1SGWl5sm	recurring	reversed the coding of a scale	serious	Minor
R_2pXHxkLf2ltxzDW	recurring	The wrong scoring key was shown to participants for one questionnaire, so although the data are internally consistent, it makes comparison with previous studies difficult.	frequency	Very Low
R_2pXHxkLf2ltxzDW	recurring	The wrong scoring key was shown to participants for one questionnaire, so although the data are internally consistent, it makes comparison with previous studies difficult.	serious	Moderate
R_27s7Eu21Kt5yIT0	recurring	Data were not properly labeled, which makes them hard to interpret in the future.	frequency	Low
R_27s7Eu21Kt5yIT0	recurring	Data were not properly labeled, which makes them hard to interpret in the future.	serious	Minor
R_2ZKX9MFhEoJ5EsP	recurring	"Scoring issues when transferring data from paper / pencil to digital (different / wrong scales for the same instrument, different scoring of the scales for different time points, differing interpretation of ""categories"" among student assistants who were scoring free text answers as categorical items)"	frequency	High
R_2ZKX9MFhEoJ5EsP	recurring	"Scoring issues when transferring data from paper / pencil to digital (different / wrong scales for the same instrument, different scoring of the scales for different time points, differing interpretation of ""categories"" among student assistants who were scoring free text answers as categorical items)"	serious	Moderate
R_3EKfYkim9TNrorw	recurring	Old saved data was overwritten by the new data	frequency	Low
R_3EKfYkim9TNrorw	recurring	Old saved data was overwritten by the new data	serious	Major
R_bCNgup74QHnWVKp	recurring	analyzing the wrong version of a dataset	frequency	Low
R_bCNgup74QHnWVKp	recurring	analyzing the wrong version of a dataset	serious	Minor
R_3kGGCsyUfakWVUl	recurring	Reverse coding	frequency	Low
R_3kGGCsyUfakWVUl	recurring	Reverse coding	serious	Moderate
R_2RQVxhHSV8Q7y24	recurring	Copy-and-paste errors where the values should have been replaced but weren't.	frequency	Low
R_2RQVxhHSV8Q7y24	recurring	Copy-and-paste errors where the values should have been replaced but weren't.	serious	Minor
R_3PHWLvpIcXFFKwW	recurring	Errors in excel templates (formulas, cut and paste etc.) that have been individuated and corrected	frequency	Low
R_3PHWLvpIcXFFKwW	recurring	Errors in excel templates (formulas, cut and paste etc.) that have been individuated and corrected	serious	Minor
R_OlZPqe0dnO5809z	recurring	inconsistent application of data exclusion and cleaning procedures, leading to slight different final N in the sample.  This problem happens most frequently in studies with many researchers and many parallel data sets from the same participants.	frequency	Low
R_OlZPqe0dnO5809z	recurring	inconsistent application of data exclusion and cleaning procedures, leading to slight different final N in the sample.  This problem happens most frequently in studies with many researchers and many parallel data sets from the same participants.	serious	Minor
R_2YrWWMvbQaoXT8U	recurring	we have lots of data checking protocols and so mistakes are eliminated (I hope/think) before dissemination. Type of errors include miscoding of participants to wrong group.	frequency	Low
R_2YrWWMvbQaoXT8U	recurring	we have lots of data checking protocols and so mistakes are eliminated (I hope/think) before dissemination. Type of errors include miscoding of participants to wrong group.	serious	Minor
R_2v92FujMnTNUKtU	recurring	Using uninformative variable names	frequency	Moderate
R_2v92FujMnTNUKtU	recurring	Using uninformative variable names	serious	Minor
R_cOwnko1L9iV7hWV	recurring	To note: There is a central data management for our key studies which works fully scripted according to standard rules with a single central data and metadata repository with automated back-up and data management solutions and versioning. Almost all data are handled there. That explains the answer. Errors mostly occur outside this pipeline which affect minor add ons.   These erors are : Problematic formattings, data entry errors, observer effects, import errors of data across programs, intransparency regarding data recording, incomplete data transfer, uncertainty about latest version	frequency	Low
R_cOwnko1L9iV7hWV	recurring	To note: There is a central data management for our key studies which works fully scripted according to standard rules with a single central data and metadata repository with automated back-up and data management solutions and versioning. Almost all data are handled there. That explains the answer. Errors mostly occur outside this pipeline which affect minor add ons.   These erors are : Problematic formattings, data entry errors, observer effects, import errors of data across programs, intransparency regarding data recording, incomplete data transfer, uncertainty about latest version	serious	Minor
R_Tn1zCiJl48M49bP	recurring	poor labeling of variables	frequency	Low
R_Tn1zCiJl48M49bP	recurring	poor labeling of variables	serious	Insignificant
R_3lQFyqvkeqxEGrv	recurring	Unclear variable names and unclear recoding of variables, usually in datasets collected by students	frequency	Low
R_3lQFyqvkeqxEGrv	recurring	Unclear variable names and unclear recoding of variables, usually in datasets collected by students	serious	Minor
