response_id	mistake	mistake_no	mistake_sep	maximum_response_one_type	type	group_type	code_type
R_2bQpSx7HPHcLyoX	'- copy and paste material in the article text to keep structure and then forgot to change some ino - saved an excerpt of data/text without relabelling the file and thereby lost valuable data/text	1	'- copy and paste material in the article text to keep structure and then forgot to change some ino - saved an excerpt of data/text without relabelling the file and thereby lost valuable data/text	yes	recurring	data transfer error	copy paste error
R_2bQpSx7HPHcLyoX	"in a publication, for the central finding, we wrote ""higher"" instead of ""lower"""	1	"in a publication, for the central finding, we wrote ""higher"" instead of ""lower"""	yes	serious	wrong reporting	mixing up words in publication
R_2coTxGpiZoEAjV9	Errors in the configuration of parameters in simulations where different parameter values are evaluated.	1	Errors in the configuration of parameters in simulations where different parameter values are evaluated.	yes	recurring	wrong data processing/analysis	error in parameter configuration in simulation
R_2coTxGpiZoEAjV9	We were running a batch of many simulations, using a specified controller, just to discover that some strange outcomes were due to error in parameter configurations.	1	We were running a batch of many simulations, using a specified controller, just to discover that some strange outcomes were due to error in parameter configurations.	yes	serious	wrong data processing/analysis	error in parameter configuration in simulation
R_2cth4XQgNMWuwGv	Incorrect transcription of data from EMR to spreadsheet.	1	Incorrect transcription of data from EMR to spreadsheet.	yes	recurring	data transfer error	transcription error
R_2cth4XQgNMWuwGv	Transmigration of data from one spreadsheet to another producing offset of data so data points were not associated with correct patients. This was identified and corrected.	1	Transmigration of data from one spreadsheet to another producing offset of data so data points were not associated with correct patients. This was identified and corrected.	yes	serious	data transfer error	copy paste error
R_2cu4Vcaq8fXrGGw	We were incorrect in what the dummy codes were referring to (more vs less of variable X)	1	We were incorrect in what the dummy codes were referring to (more vs less of variable X)	yes	recurring	ambiguous naming/defining of data	mixing up value labels
R_2cu4Vcaq8fXrGGw	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	1	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	yes	serious	wrong data processing/analysis	not noticing negative sign
R_2czHmrjciqTkBt0	Loss of participants' responses, overwritten across experiments/sessions	1	Loss of participants' responses	no	recurring	loss of materials/documentation/data	data loss
R_2czHmrjciqTkBt0	Loss of raw MRI images	1	Loss of raw MRI images	yes	serious	loss of materials/documentation/data	data loss
R_2czHmrjciqTkBt0	Loss of participants' responses, overwritten across experiments/sessions	2	overwritten across experiments/sessions	no	recurring	version control error	overwriting data
R_2dlHcPXBYfhftFW	Poor variable names, poor metadata management, differences in test administration between experimenters	1	Poor variable names, poor metadata management, differences in test administration between experimenters	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2dlHcPXBYfhftFW	One experimenter failed to measure a variable twice, as was his instructions.	1	One experimenter failed to measure a variable twice, as was his instructions.	yes	serious	deviation from the protocol	not following data collection protocol
R_2dLSHG3yGKzKecQ	When video-taping team interactions, a video camera malfunctioned and only a subset of the sample was recored.	1	When video-taping team interactions, a video camera malfunctioned and only a subset of the sample was recored.	yes	recurring	technical/infrastructural problem	technical failure
R_2doLrFMsPU9gioB	Over-write one form of the data over another. Have never lost the original (thirty years did, so had to re-type from paper copies).	1	Over-write one form of the data over another. Have never lost the original (thirty years did, so had to re-type from paper copies).	yes	recurring	version control error	overwriting data
R_2doLrFMsPU9gioB	A couple where there is a day loss of coding. Re-writing the coding likely improves it.	1	A couple where there is a day loss of coding. Re-writing the coding likely improves it.	yes	serious	programming error	program coding error
R_2dSg2D5VTNB7RVY	poor identifier management	1	poor identifier management	yes	recurring	bad or poor documentation	lack or poor documentation
R_2dSg2D5VTNB7RVY	Miscoded categorical variables	1	Miscoded categorical variables	yes	serious	data coding error	value coding error
R_2duJO8zk4AgeXgg	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	1	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	yes	recurring	wrong data processing/analysis	wrong analysis
R_2duJO8zk4AgeXgg	There was a mediation analysis in which we had an error, it did not influence the main message of the paper, just the model we set up was not ok. The other was the omega, that I mentioned earlier. In this case as we used multiple measures of reliability, it was not that bad.	1	There was a mediation analysis in which we had an error, it did not influence the main message of the paper, just the model we set up was not ok.	no	serious	wrong data processing/analysis	wrong analysis
R_2duJO8zk4AgeXgg	There was a mediation analysis in which we had an error, it did not influence the main message of the paper, just the model we set up was not ok. The other was the omega, that I mentioned earlier. In this case as we used multiple measures of reliability, it was not that bad.	2	The other was the omega, that I mentioned earlier. In this case as we used multiple measures of reliability, it was not that bad.	no	serious	wrong data processing/analysis	wrong analysis
R_2dvcIJA7IFmsu14	Copy-and-paste errors where statistics are copied across incorrectly from R into whatever the paper is being written in.	1	Copy-and-paste errors where statistics are copied across incorrectly from R into whatever the paper is being written in.	yes	recurring	data transfer error	copy paste error
R_2dvcIJA7IFmsu14	I don't know if it counts as a data-related mistake, but we've had to re-run entire studies due to errors in experimental randomisation, e.g. not randomising something we thought we were randomising, or making a mistake in a complex randomisation.	1	I don't know if it counts as a data-related mistake, but we've had to re-run entire studies due to errors in experimental randomisation, e.g. not randomising something we thought we were randomising, or making a mistake in a complex randomisation.	yes	serious	participant allocation error	experimental randomization error
R_2e295rrs3RwuezQ	Maybe data merging mistake, but I have no concrete examples as we always double check immediately afterwards, so this mistake does not last longer than a minute.	1	Maybe data merging mistake, but I have no concrete examples as we always double check immediately afterwards, so this mistake does not last longer than a minute.	yes	recurring	data selection/merging error	wrong data merging
R_2e295rrs3RwuezQ	1 participant out of 300 was MRI-scanned under a different number, and therefore not correctly linked to questionnaires (it was 2 instead of 1 subject). This kept recurring in multiple analyses as nobody was allowed to change the raw MRI data files.	1	1 participant out of 300 was MRI-scanned under a different number, and therefore not correctly linked to questionnaires (it was 2 instead of 1 subject). This kept recurring in multiple analyses as nobody was allowed to change the raw MRI data files.	yes	serious	bad connection of data points	cannot connect data to participant
R_2E6UbxqHIZGHdcc	Software error	1	Software error	yes	recurring	technical/infrastructural problem	software error
R_2E6UbxqHIZGHdcc	Computer malfunctions	1	Computer malfunctions	yes	serious	technical/infrastructural problem	technical failure
R_2EBoQ5pteGRidTo	It was an incomplete download of responses which led to an error in calculating derived variable scores. But the mistake was discovered through running descriptive statistics and could be corrected.	1	It was an incomplete download of responses which led to an error in calculating derived variable scores. But the mistake was discovered through running descriptive statistics and could be corrected.	yes	recurring	data transfer error	not all data downloaded
R_2EEnIEQa9QlsXtt	out of these mentioned above I believe that the most typical is data mislabelling or several recodes that - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	1	out of these mentioned above I believe that the most typical is data mislabelling  - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	no	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2EEnIEQa9QlsXtt	out of these mentioned above I believe that the most typical is data mislabelling or several recodes that - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	2	out of these mentioned above I believe that the most typical is several recodes that - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	no	recurring	data coding error	value coding error
R_2EggCQnejEtHW3a	Uninformative variable names making it difficult to re-acclimate with the data after significant passage of time.	1	Uninformative variable names making it difficult to re-acclimate with the data after significant passage of time.	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2EggCQnejEtHW3a	My graduate student and I wrote a paper based on his analysis of a data set.  I wanted to do a more sensitive analysis but when I went back to the data, I could not replicate what he had done.  We met and I realized he used the pre-coded version of an important variable.  This negated the ability to submit the paper for publication consideration.  It was my fault as I should have double checked all analyses before beginning work on a manuscript that we wouldn't be able to publish anyway.	1	My graduate student and I wrote a paper based on his analysis of a data set.  I wanted to do a more sensitive analysis but when I went back to the data, I could not replicate what he had done.  We met and I realized he used the pre-coded version of an important variable.  This negated the ability to submit the paper for publication consideration.  It was my fault as I should have double checked all analyses before beginning work on a manuscript that we wouldn't be able to publish anyway.	yes	serious	data coding error	value coding error
R_2EGYmDTj3LV7rUU	Some mistake in stimulus presentation through specialized software (e.g., Psychtoolbox) leads us to discard data from several participants before we realize the mistake	1	Some mistake in stimulus presentation through specialized software (e.g., Psychtoolbox) leads us to discard data from several participants before we realize the mistake	yes	recurring	programming error	program coding error
R_2Ejl6F6HzHMaous	We forgot to include several important questions and had to start the project over!	1	We forgot to include several important questions and had to start the project over!	yes	recurring	oversight in study design or measurement	not including items in survey
R_2Ejl6F6HzHMaous	Data coding errors.	1	Data coding errors.	yes	serious	data coding error	value coding error
R_2eOxrEvCxEutKdg	The corection of the questionnaires (syntaxis) shows errors.	1	The corection of the questionnaires (syntaxis) shows errors.	yes	recurring	programming error	program coding error
R_2eOxrEvCxEutKdg	we lose all the data of a project for an informatical error	1	we lose all the data of a project for an informatical error	yes	serious	technical/infrastructural problem	informatical error
R_2eQCIvKgmCxnQis	Conducted data analysis on an outdated dataset	1	Conducted data analysis on an outdated dataset	yes	recurring	version control error	using the wrong version of data
R_2eQCIvKgmCxnQis	Erroneously omit a page of questionnaire in data collection	1	Erroneously omit a page of questionnaire in data collection	yes	serious	oversight in study design or measurement	omitting part of a questionnaire at collection
R_2EzS06GIwQj0lQn	not including a code to allow for tracking of data from one data point to the next	1	not including a code to allow for tracking of data from one data point to the next	yes	recurring	bad connection of data points	not including a code to allow for tracking data
R_2f9fC66h2IIZs1w	The most common mistake would be programming errors resulting in a faulty randomization or incomplete data registration	1	The most common mistake would be programming errors resulting in a faulty randomization or incomplete data registration	yes	recurring	programming error	program coding error
R_2fg0p9dQFeyFqr6	Database partly overwritten	1	Database partly overwritten	yes	recurring	version control error	overwriting data
R_2fg0p9dQFeyFqr6	Privacy breach	1	Privacy breach	yes	serious	violation in ethics	privacy breach
R_2fiypF20DbX0IU0	Variable names not being descriptive enough and failing to include value labels for all variables.	1	Variable names not being descriptive enough and failing to include value labels for all variables.	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2fiypF20DbX0IU0	Not accounting for missing data values. That messed things up quite a bit and it took some sleuthing to figure out the wonky patterns.	1	Not accounting for missing data values. That messed things up quite a bit and it took some sleuthing to figure out the wonky patterns.	yes	serious	wrong data processing/analysis	Not accounting for missing data values.
R_2OGsptCGC66lVpU	Difficult to identify older data files due to uninformative file naming conventions.	1	Difficult to identify older data files due to uninformative file naming conventions.	yes	recurring	ambiguous naming/defining of data	uninformative file naming
R_2OGsptCGC66lVpU	Failure to record behavioral responses	1	Failure to record behavioral responses	yes	serious	data input error	Failure to record responses
R_2ONZImZtC8mhCrA	data being incorrectly copied from one database to another	1	data being incorrectly copied from one database to another	yes	recurring	data transfer error	data being incorrectly copied
R_2OTKjDgl6AvVwvh	Run analyses on old version of a dataset, but corrected it for the paper	1	Run analyses on old version of a dataset, but corrected it for the paper	yes	recurring	version control error	using the wrong version of data
R_2pLz7xMojRnoxaR	"Every project is extremely unique and has it's own problems. I can't tell you what the ""most frequent"" was. How about: using inconsistent identifiers when create data for different aspects of a large project."	1	"Every project is extremely unique and has it's own problems. I can't tell you what the ""most frequent"" was. How about: using inconsistent identifiers when create data for different aspects of a large project."	yes	recurring	ambiguous naming/defining of data	inconsistent identifier
R_2pLz7xMojRnoxaR	I wrote software to collect data, and an error in the database software wiped the entire database halfway through the project.	1	I wrote software to collect data, and an error in the database software wiped the entire database halfway through the project.	yes	serious	programming error	program coding error
R_2PnFe0m2znDlqh0	Variable names or labels are too vague requiring the researcher to reconstruct then from the raw data.	1	Variable names or labels are too vague requiring the researcher to reconstruct then from the raw data.	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2PnFe0m2znDlqh0	Raw data (audio records) were corrupted before entry and the data were lost.	1	Raw data (audio records) were corrupted before entry and the data were lost.	yes	serious	loss of materials/documentation/data	data loss
R_2pXHxkLf2ltxzDW	The wrong scoring key was shown to participants for one questionnaire, so although the data are internally consistent, it makes comparison with previous studies difficult.	1	The wrong scoring key was shown to participants for one questionnaire, so although the data are internally consistent, it makes comparison with previous studies difficult.	yes	recurring	data coding error	using wrong scoring key
R_2q9Ql7h5CKuPKN0	creation of multiple versions of dataset, and one person updates version 1 while another person updates something else in version 2.	1	creation of multiple versions of dataset, and one person updates version 1 while another person updates something else in version 2.	yes	recurring	version control error	using the wrong version of data
R_2QJpoM0DXM2EnBw	Data was incorrectly entered; cases were duplicated and had to be manually removed.	1	Data was incorrectly entered.	no	recurring	data input error	data entry error
R_2QJpoM0DXM2EnBw	Data did not get recorded that should have been recorded.	1	Data did not get recorded that should have been recorded.	yes	serious	data input error	Failure to record responses
R_2QJpoM0DXM2EnBw	Data was incorrectly entered; cases were duplicated and had to be manually removed.	2	cases were duplicated and had to be manually removed.	no	recurring	data input error	duplication of values
R_2QopNHjyyr0Mqmt	When running computer controlled experiments, there are errors in stimulus timing, the stimulus sequences, or the data stored.	1	When running computer controlled experiments, there are errors in stimulus timing, the stimulus sequences, or the data stored.	yes	recurring	programming error	program coding error
R_2QopNHjyyr0Mqmt	Experimental software did not store all experimental condition labels when exporting results.	1	Experimental software did not store all experimental condition labels when exporting results.	yes	serious	technical/infrastructural problem	failure of data collection software
R_2QVQCBFhAeeJNZP	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted - failure to match stimulus list to data output files.	1	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted.	no	recurring	wrong software or hardware settings	failure to calibrate data collector equipment
R_2QVQCBFhAeeJNZP	Loss of demographic information for participants.	1	Loss of demographic information for participants.	yes	serious	loss of materials/documentation/data	data loss
R_2QVQCBFhAeeJNZP	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted - failure to match stimulus list to data output files.	2	Mistakes at the recording stage - failure to match stimulus list to data output files.	no	recurring	bad connection of data points	failure to connect stimulus to data
R_2Qy5UUJfVHXoWZV	We have used the old dataset or have deleted important data from the database	1	We have used the old dataset.	no	recurring	version control error	using the wrong version of data
R_2Qy5UUJfVHXoWZV	We have combined a large dataset but erroneously deleted a number of  important variables	1	We have combined a large dataset but erroneously deleted a number of  important variables	yes	serious	version control error	using the wrong version of data
R_2Qy5UUJfVHXoWZV	We have used the old dataset or have deleted important data from the database	2	We have deleted important data from the database.	no	recurring	loss of materials/documentation/data	deleting data
R_2rBzqM7U57tGlVk	Non-informative names of variables	1	Non-informative names of variables	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2rBzqM7U57tGlVk	Forgot to mention something really important in the experimental instructions	1	Forgot to mention something really important in the experimental instructions	yes	serious	oversight in study design or measurement	incomplete experimental instructions
R_2RQVxhHSV8Q7y24	Copy-and-paste errors where the values should have been replaced but weren't.	1	Copy-and-paste errors where the values should have been replaced but weren't.	yes	recurring	data transfer error	copy paste error
R_2RQVxhHSV8Q7y24	Skipped a line when copying data from two files into one new one, so data from two experimental tasks was mismatched (i.e. assigned data from participant A to participant B by mistake)	1	Skipped a line when copying data from two files into one new one, so data from two experimental tasks was mismatched (i.e. assigned data from participant A to participant B by mistake)	yes	serious	data transfer error	copy paste error
R_2RVBEeR4DZhBco5	I recoded the items wrong	1	I recoded the items wrong	yes	recurring	data coding error	value coding error
R_2RVBEeR4DZhBco5	I recoded the items for my variable wrong, leading to the opposite direction of the relationship	1	I recoded the items for my variable wrong, leading to the opposite direction of the relationship	yes	serious	data coding error	value coding error
R_2rwGx3tHGSfKZmT	Incorrectly entered questionnaire data into spreadsheets or Misaligned rows in spreadsheets;	1	Incorrectly entered questionnaire data into spreadsheets	no	recurring	data input error	data entry error
R_2rwGx3tHGSfKZmT	Incorrectly entered questionnaire data into spreadsheets or Misaligned rows in spreadsheets;	2	Misaligned rows in spreadsheets	no	recurring	data or file organisation error	misaligned rows in data
R_2rZ2DTpbcWFIEhG	mislabelling, less documentation	1	mislabelling, less documentation	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2S2MjnRg4NsWUiX	badly executed merging of data	1	badly executed merging of data	yes	recurring	data selection/merging error	wrong data merging
R_2S2MjnRg4NsWUiX	programming difficulties in data merging	1	programming difficulties in data merging	yes	serious	data selection/merging error	wrong data merging
R_2SBjtXj9EjzI7Sn	Had to drop some coders' codings.	1	Had to drop some coders' codings.	yes	serious	data coding error	value coding error
R_2SeF9B5dnR5QZ1N	Miscopying of data from a spreadsheet to a statistical package	1	Miscopying of data from a spreadsheet to a statistical package	yes	recurring	data transfer error	copy paste error
R_2SeF9B5dnR5QZ1N	Using the same participant number for more than one individual	1	Using the same participant number for more than one individual	yes	serious	ambiguous naming/defining of data	ambiguous participant identifier
R_2thgLa4jntEMBiq	uninformative variable names, insufficient documentation of data treatment (e.g., what items were collapsed into a scale, what were the alphas or the FA justification), mistakes in combining datasets.	1	uninformative variable names	no	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2thgLa4jntEMBiq	uninformative variable names, insufficient documentation of data treatment (e.g., what items were collapsed into a scale, what were the alphas or the FA justification), mistakes in combining datasets.	2	insufficient documentation of data treatment (e.g., what items were collapsed into a scale, what were the alphas or the FA justification)	no	recurring	bad or poor documentation	lack or poor documentation
R_2thgLa4jntEMBiq	uninformative variable names, insufficient documentation of data treatment (e.g., what items were collapsed into a scale, what were the alphas or the FA justification), mistakes in combining datasets.	3	mistakes in combining datasets.	no	recurring	data selection/merging error	wrong data merging
R_2tiiMYZYEfHjyYN	Research assistant canceled or failed to show up for a scheduled session, resulting in data loss for researchers and wasted time for participants.	1	Research assistant canceled or failed to show up for a scheduled session, resulting in data loss for researchers and wasted time for participants.	yes	recurring	project management error	not showing up for data collection
R_2tiiMYZYEfHjyYN	Overwrote a file containing raw data from a time-consuming study.	1	Overwrote a file containing raw data from a time-consuming study.	yes	serious	version control error	overwriting data
R_2tLFnGE5wJ0UxSs	In large datasets, with hundreds of variables: Analyzing earlier version of e.g., sum score that includes errors rectified in later version of variable.	1	In large datasets, with hundreds of variables: Analyzing earlier version of e.g., sum score that includes errors rectified in later version of variable.	yes	recurring	version control error	using the wrong version of data
R_2TRUjQ7kYqmtIno	multiple versions of data files leading to using incorrect variables naming and transformations without documentation	1	multiple versions of data files leading to using incorrect variables naming and transformations without documentation	yes	recurring	bad or poor documentation	lack or poor documentation
R_2TRUjQ7kYqmtIno	A variable was reverse-coded when it was not supposed to be	1	A variable was reverse-coded when it was not supposed to be	yes	serious	data coding error	reverse coding variable by mistake
R_2U0jyqZlTh8B9Kk	Mixing different version of preprocessed data in further processing.	1	Mixing different version of preprocessed data in further processing.	yes	recurring	version control error	using the wrong version of data
R_2U0jyqZlTh8B9Kk	Using a non-standard script to calculate d'.	1	Using a non-standard script to calculate d'.	yes	serious	deviation from the protocol	using non standard script
R_2U4pgn1GCmJuGaU	uninformative data labeling	1	uninformative data labeling	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2U4pgn1GCmJuGaU	mislabeled data	1	mislabeled data	yes	serious	ambiguous naming/defining of data	mislabeling
R_2U5GjHtbKZYkmMX	Forgetting to anonymize the data.	1	Forgetting to anonymize the data.	yes	recurring	violation in ethics	not anonymizing data
R_2U5GjHtbKZYkmMX	Not aligning the participant numbers well between two data-sets from one study.	1	Not aligning the participant numbers well between two data-sets from one study.	yes	serious	ambiguous naming/defining of data	ambiguous participant identifier
R_2U9jvXCLvYdgF4v	Not necessarily working on the most recent dataset.	1	Not necessarily working on the most recent dataset.	yes	recurring	version control error	using the wrong version of data
R_2U9jvXCLvYdgF4v	Merged wrong dataset into the master version, but did not realize we were working on older/less correct dataset for two months.	1	Merged wrong dataset into the master version, but did not realize we were working on older/less correct dataset for two months.	yes	serious	version control error	using the wrong version of data
R_2uCVsIhbczMricX	The online battery was not an accurate representation of the survey we needed (wrong or misleading variable names, a condition being dropped, etc.)	1	The online battery was not an accurate representation of the survey we needed (wrong or misleading variable names)	no	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2uCVsIhbczMricX	The online battery was not an accurate representation of the survey we needed (wrong or misleading variable names, a condition being dropped, etc.)	2	The online battery was not an accurate representation of the survey we needed (a condition being dropped)	no	recurring	oversight in study design or measurement	missing condition from the survey
R_2uHSLuGwWn8PInP	Data loss to to glitch in programme or related technical failure.	1	Data loss to to glitch in programme or related technical failure.	yes	recurring	technical/infrastructural problem	technical failure
R_2uQIn0onTQYseK1	Not to meet dealines	1	Not to meet dealines	yes	recurring	project management error	error in time management
R_2uQIn0onTQYseK1	Not to meet dealines	1	Not to meet dealines	yes	serious	project management error	error in time management
R_2V85hhvhCukcKS9	Data got lost when changing to new hardware.	1	Data got lost when changing to new hardware.	yes	recurring	technical/infrastructural problem	changing hardware
R_2v92FujMnTNUKtU	Using uninformative variable names	1	Using uninformative variable names	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2v92FujMnTNUKtU	miscoding of a dependent variable	1	miscoding of a dependent variable	yes	serious	data coding error	value coding error
R_2Ve7LLcoPdCtYvA	Using an outdated version of experiment code.	1	Using an outdated version of experiment code.	yes	recurring	version control error	using the wrong version of data
R_2Ve7LLcoPdCtYvA	Mistakes in online analysis code, discovered during the review process. We had to run a new experiment to verify the results. Fortunately, we replicated the initial finding despite the error.	1	Mistakes in online analysis code, discovered during the review process. We had to run a new experiment to verify the results. Fortunately, we replicated the initial finding despite the error.	yes	serious	programming error	program coding error
R_2VmXtXlfGpTVyxw	Misleading cut-paste from one file to another.	1	Misleading cut-paste from one file to another.	yes	recurring	data transfer error	copy paste error
R_2VmXtXlfGpTVyxw	Misleading cut-paste from one file to another.	1	Misleading cut-paste from one file to another.	yes	serious	data transfer error	copy paste error
R_2VpQNBQ0y3Xk4v1	Scale was coded wrongly (e.g. high value meant low score)	1	Scale was coded wrongly (e.g. high value meant low score)	yes	recurring	data coding error	incorrect coding of variable
R_2VpQNBQ0y3Xk4v1	Broken server led to loss of data	1	Broken server led to loss of data	yes	serious	technical/infrastructural problem	technical failure
R_2VQJaAMQ7x7b0Vc	Failure to exclude error or otherwise invalid trials from statistical analysis.	1	Failure to exclude error or otherwise invalid trials from statistical analysis.	yes	recurring	data selection/merging error	failure to exclude trials
R_2VQJaAMQ7x7b0Vc	Error in data recording on a small-N patient-based study, so losing data from even 1 participant was somewhat significant.	1	Error in data recording on a small-N patient-based study, so losing data from even 1 participant was somewhat significant.	yes	serious	data input error	error in recording data
R_2vZVaf4kmem95MD	Data collectors not recording all the information that data forms requested.	1	Data collectors not recording all the information that data forms requested.	yes	recurring	deviation from the protocol	not following data collection protocol
R_2wBKpgElsyjBV0b	incomplete copying from spreadsheet into another application	1	incomplete copying from spreadsheet into another application	yes	recurring	data transfer error	copy paste error
R_2WCr8uf7CKPkEXG	mistakes in writing software code for Mplus	1	mistakes in writing software code for Mplus	yes	recurring	programming error	program coding error
R_2WCr8uf7CKPkEXG	Mistakes in Mplus coding	1	Mistakes in Mplus coding	yes	serious	programming error	program coding error
R_2WGQonc2eGviLKq	Data entry/data copying error	1	Data entry/data copying error	yes	recurring	data input error	data entry error
R_2WGQonc2eGviLKq	Subject data files exported with wrong filter settings for calculating variable	1	Subject data files exported with wrong filter settings for calculating variable	yes	serious	data selection/merging error	data filtering mistake
R_2wMmMiikRn9F6qX	coding errors during data processing/analysis (e.g., not updating variables, wrong loops. etc.)	1	coding errors during data processing/analysis (e.g., not updating variables, wrong loops. etc.)	yes	recurring	programming error	program coding error
R_2wMmMiikRn9F6qX	Subject ID coding inconsistencies, incompleteness, or translation errors	1	Subject ID coding inconsistencies	no	serious	ambiguous naming/defining of data	inconsistent identifier coding
R_2wMmMiikRn9F6qX	Subject ID coding inconsistencies, incompleteness, or translation errors	2	Subject ID coding incompleteness	no	serious	ambiguous naming/defining of data	inconsistent identifier coding
R_2wMmMiikRn9F6qX	Subject ID coding inconsistencies, incompleteness, or translation errors	3	Subject ID coding translation errors	no	serious	ambiguous naming/defining of data	inconsistent identifier coding
R_2wu8pRf0QuCSjtC	using incorrect formulas in Excel to identify instances that meet a particular criteria - often a formula works for 99.9% of data, but might not work on rare special event trials	1	using incorrect formulas in Excel to identify instances that meet a particular criteria - often a formula works for 99.9% of data, but might not work on rare special event trials	yes	recurring	wrong data processing/analysis	using wrong formulas
R_2wu8pRf0QuCSjtC	used excel grand means in a published plot rather than mean of participant means.	1	used excel grand means in a published plot rather than mean of participant means.	yes	serious	wrong reporting	using wrong value on plot
R_2WVyCoeuAAHCNin	Omitting an important scale from a survey	1	Omitting an important scale from a survey	yes	recurring	oversight in study design or measurement	failure to include survey items
R_2WVyCoeuAAHCNin	Omission of scale in survey	1	Omission of scale in survey	yes	serious	oversight in study design or measurement	failure to include survey items
R_2Wxs9NL5pTh2Ko0	Lack of clarity on the meaning of variables makes them hard to interpret later.	1	Lack of clarity on the meaning of variables makes them hard to interpret later.	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2Wxs9NL5pTh2Ko0	We were provided with an incorrect weighting variable by a third party	1	We were provided with an incorrect weighting variable by a third party	yes	serious	wrong data processing/analysis	using incorrect variable in analysis
R_2xEjkBHMLVAdlpz	We have the data in a spreadsheet and when a co-author updated the spreadsheet he failed to copy the formulas for all the data.  Thus more than half the data was undercounted.  Fortunately, it was a replication study and when the results turned out different from the original study, we went through all the data very carefully to check for errors.	1	We have the data in a spreadsheet and when a co-author updated the spreadsheet he failed to copy the formulas for all the data.  Thus more than half the data was undercounted.  Fortunately, it was a replication study and when the results turned out different from the original study, we went through all the data very carefully to check for errors.	yes	recurring	data transfer error	copy paste error
R_2XhPhn1YeASQHAr	"version control and/or frequent changes to surveys leading to messy data sets; combining ""identical"" data sets that aren't actually identical"	1	version control leading to messy data sets	no	recurring	version control error	using the wrong version of data
R_2XhPhn1YeASQHAr	"version control and/or frequent changes to surveys leading to messy data sets; combining ""identical"" data sets that aren't actually identical"	2	frequent changes to surveys leading to messy data sets	no	recurring	version control error	untracked changes
R_2XhPhn1YeASQHAr	"version control and/or frequent changes to surveys leading to messy data sets; combining ""identical"" data sets that aren't actually identical"	3	"combining ""identical"" data sets that aren't actually identical"	no	recurring	data selection/merging error	combining the wrong datasets
R_2XhZupfT3JtBBeo	Inadequate data feeding in preestablished templates	1	Inadequate data feeding in preestablished templates	yes	recurring	data input error	data entry error
R_2xKa98jPFbLuzjs	Risk of losing video data	1	Risk of losing video data	yes	recurring	loss of materials/documentation/data	data loss
R_2xWedLepVORUb2s	Variable names that are not informative.	1	Variable names that are not informative.	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_2xWedLepVORUb2s	Software failure leading to data collection loss.	1	Software failure leading to data collection loss.	yes	serious	technical/infrastructural problem	software failure
R_2xYjxG2sdLotM8Q	Mainly old versions substitute new versions of codes of papers.	1	Mainly old versions substitute new versions of codes of papers.	yes	recurring	version control error	overwriting data
R_2YeLYCNeAEarPbX	Poor data management - no database Poor database skills (no or poor understanding of SQL) High complexity of databases can lead to novice users making mistakes	1	Poor data management - no database Poor database skills (no or poor understanding of SQL) High complexity of databases can lead to novice users making mistakes	yes	recurring	wrong data processing/analysis	database handling mistake
R_2YeLYCNeAEarPbX	Most of them we caught - the danger are the ones that go unnoticed.  One student used a wrong table for sex assignment (which sex a bird is) - but we caught it.	1	Most of them we caught - the danger are the ones that go unnoticed.  One student used a wrong table for sex assignment (which sex a bird is) - but we caught it.	yes	serious	version control error	using wrong dataset
