response_id	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	serious_story	serious_cause	serious_serious	serious_outcome	field	years
R_3Pp3aZ3NKVDVBPb	Very Low	Rearranging spreadsheet data, but realised immediately so only resulted in a loss of about 30 mins.	Carelesslessness and distraction (multitasking at the time)	Very Low	Insignificant	time loss	As above	NA	NA	NA	methodology and statistics	30
R_2dSg2D5VTNB7RVY	Low	poor identifier management	No standard present across fields	High	Minor	time loss	Miscoded categorical variables	Poor documentation	Moderate	erroneous conclusion	social psychology	8
R_2QXVuTKkK53THL2	Low	Sorry, but all the data management mistakes that come to mind occurred over 5 years ago. I cannot think of a recent data management mistake I have made.  The most common mistakes  I used to make were mistyping when inputting data from into the computer by hand.  With MTUrk, this is no longer a problem - subjects put their data into the computer directly. I will answer the questions about this old mistake.	Human error - in attention, tiredness, etc...	Moderate	Minor	time loss	I cannot think of one.  If I made one in the last five years, it has gone undetected.	NA	NA	NA	applied psychology	31
R_xaBv50AriU5pPt7	Low	Incorrect coding/re-coding of categorical variables.	Slight changes in the way questions were asked that were not noticed until relatively late in the cleaning/analysis process.	Low	Minor	time loss	Incorrect coding/labeling of missing values which significantly skewed results.	Not checking how the missing value was imported into new software.	Minor	time loss	other	3
R_2SBjtXj9EjzI7Sn	Very Low	Longer than 5 years ago, but I have data I can no longer recover for use.	As a young man, I didn't document data files very well (variable names and values in SPSS) and relied on my memory of what things meant.  That worked well for a year but is useless after 10 years.  There are now also some data format obstacles since some old data's format isn't always recognized in up to date software.	Low	Insignificant	frustration	Had to drop some coders' codings.	"They never really ""got"" the coding manual, and we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3."	Insignificant	frustration	other	40
R_AmI4PaDaAItn0MF	Low	improper coding of a raw variable when transforming it into an analytic variable	the raw variable has a different format for each year in which it was collected. Failure to account for these different formats leads to the incorrect coding of the analytic variable for some years.	Low	Minor	time loss	I mistakenly dropped 25% of observations from the analysis when, in fact, these 25% were quite informative for the research question.	"Incomplete data documentation on a dataset with which I was not familiar, and lack of a ""second pair of eyes"" on my data cleaning procedure."	Major	declined to revise the manuscript after a successful R&R-- a reviewer comment, fortunately, prompted further investigation and discovery of this data cleaning error	methodology and statistics	15
R_1EKvVZl7B5pr465	Very Low	'=	'=	Very Low	Minor	time loss	Absence of a numerical data in a case of population sample	sampler error (sample from autopsy)	Minor	time loss	other	34
R_28FWEYSvglYwL9F	Low	version control of dataset leading to doing the same work twice	poor coordination of graduate students and file naming protocols	Low	Minor	time loss	NA	NA	NA	NA	applied psychology	10
R_2EzS06GIwQj0lQn	Very Low	not including a code to allow for tracking of data from one data point to the next	Not anticipating needs for data analysis	Very Low	Major	time loss	see above	see above	Major	time loss	clinical psychology	13
R_1FqSTPQf3FjsXjM	Very Low	Data not re-coded	Inconsistent Rating Scales	Very Low	Insignificant	time loss	NA	NA	NA	NA	developmental and educational psychology	20
R_T1kUZzmLbVaqMQp	Very Low	Recoding negative items	Using wrong spss syntax not updated	Very Low	Major	erroneous conclusion	The one described before	No significant effect. Lost time. Wrong interpretation	Moderate	erroneous conclusion	social psychology	20
R_2s1ktoIv8TbR7va	Very Low	No project with data in the last 5 years and more. Worst mistake was loss of some outputs of elaborations on data, no loss of data themselves.	I wish I knew... Most likely computer migration	Very Low	Minor	time loss	The one above, more than five years ago	Same	Minor	time loss	experimental and cognitive psychology	3
R_AGrmutGJFICE93z	Very Low	We have lost data due to computer errors but replaced those data with additional data collection (and didn't analyze the data until the additional data was collected	Programming error	Very Low	Minor	time loss	See above	Programming error. Not checking the code sufficiently well.	Minor	time loss	experimental and cognitive psychology	26
R_3szfXpJiLetcwwr	Low	Poor archiving and labeling of data.	Moving on to next task/study too quickly.	Low	Minor	time loss	Loss of dataset	Computer issue	Major	frustration	neurophysiology and physiological psychology	20
R_WDKxkIWKqWPUbqV	Very Low	transcription errors	sloppiness	Very Low	Insignificant	time loss	transcription error	slopiness	Insignificant	time loss	social psychology	35
R_1pRrkSmdJGmTwHk	Low	Data entry typos/human error in data entry.	Human error.	Low	Insignificant	time loss	Data from old projects lost because old SPSS files will not open. Data was not stored in another format.	Conversion errors/problems with statistical software.	Minor	data loss/unable to share with other researchers years later	developmental and educational psychology	12
R_31N0JcnckZmHXuH	Very High	Not recording in the master database which subjects were used in which analysis.	Performing data analysis manually (in point-and-click menus, or by manually deleting/selecting observations) instead of with script, so that there was no record of filtering.	Very High	Moderate	time loss	Erroneous results reported in a published abstract due to a filtering error.	Student performing the filtering did not understand how the software worked, and no senior staff checked their work.	Moderate	erroneous conclusion	clinical psychology	7
R_T5iKcDfWBpqUOaJ	High	Running analyses on a wrong version of the data set	"Too many data file versions, some stored on separate devices; several datasets open at the same time (forgot to switch); misremembering of the ""target"" file name."	High	Minor	time loss	Lost the master file necessary for data alignment.	"Technical problem (Excel file completely ""disintegrated"" and could not be recovered)"	Moderate	frustration	personality psychology	8
R_2U9jvXCLvYdgF4v	High	Not necessarily working on the most recent dataset.	Multiple people in different locations working on files at the same time.	High	Minor	time loss	Merged wrong dataset into the master version, but did not realize we were working on older/less correct dataset for two months.	Grad student did merge and I didn't check it enough to see that it was not quite completely correct.	Moderate	time loss	other	8
R_3CWadSWEbwUhhrs	Low	instruments were not appropriate for the participants (e.g. personality questionnaire applied to the sample which couldn't understand the meaning of the items (and that could be seen on the reliability estimates) low control over the data collection procedure (especially in internet based research)	NA	Low	Minor	time loss	1. in research about personality and diabetes control we apply personality questionnaire to the sample which could not understand the questions; data were unreliable and we abandoned this study; 2. internet study about bulb-flesh memory included survey which forced participants to answer all of the questions in order to proceed; it turns out that many participants quit before they completed the whole survey	I think that pilot study would help in both cases; thus we could say that the cause was time restriction related to the research	Moderate	time loss	personality psychology	27
R_1Kp6yZnGSG4gEcP	Very Low	corruption of data files	unknown	Very Low	Minor	time loss	corruption of data files	unknown	Minor	time loss	experimental and cognitive psychology	24
R_1ohTkjECbK7PyOm	Moderate	NA	NA	NA	Moderate	frustration	NA	NA	Moderate	time loss	other	15
R_1OkPHcZJmExTE2S	Low	typo	tiredness or carelessness	Low	Insignificant	erroneous conclusion	none	none	Minor	erroneous conclusion	other	18
R_1mW0ThB9AoMJITt	Low	I harvest data from a variety of published (typically online) sources, and sometimes the original data get disconnected from the working data sets that I use for modeling.	My own sloppy record keeping and file organization.	Low	Minor	time loss	No. All are fairly trivial and can be corrected with some backtracking. Nothing stands out. The real question is, How much do I trust the original compilers of the data?	See above.	Minor	time loss	other	35
R_1jvKqTl2Ij19jke	Very Low	inversion of condition labels during processing	lack of attention	Very Low	Minor	time loss	NA	NA	NA	NA	experimental and cognitive psychology	25
R_3JgdVz92UzIXsDf	Low	"Programming errors - I can't think of any other mistake that's ever been made (except or for students doing God knows what when working with their data, but that is always something I double check and correct as a matter of course. Letting students make those data working mistakes, to show them how careful you actually need to be is more a life-lesson for them, than a mistake by the ""research team""."	Being time poor is the primary cause. I do all my own programming and the primary reason why errors sometimes occur is that I have insufficient time to take due care when checking and double-checking both the program and the data files to ensure that everything is programmed correctly and recording correctly.  These don't happen that often, but often enough that if I had more time, I would spend more time in the double-triple checking phase before opening the study up to participants.	Low	Minor	time loss and frustration	I programmed a series of images to display randomly to participants on the screen (three images representing three different conditions, placed in a random configuration on the screen, participants had to choose one of these on each trial). I recorded where on the screen participants clicked, but somehow managed to not record which image was where on which trial, so I couldn't actually triangulate back to the image chosen on each trial.	In this instance I used a programming technique to randomise the images that I hadn't used in this context before and, due to a lack of available time, it was the student who double-checked the output rather than me and failed to recognise that these data were not recorded (although even had I checked it, I may not have immediately noticed, since I've never before come across a way of coding in that program that doesn't result in every event of a trial being recorded.	Moderate	time loss and frustration	experimental and cognitive psychology	10
R_Ajw5jmJ8M7DobyF	Low	Earlier version of questionnaire used with a small number of respondents before error identified. Discarded participants from study.	Inaccurate labeling of updated questionnaire file.	Very Low	Minor	Loss of sample participants	Ambiguous wording of questionnaire item that precluded interpretation of data relative to the hypotheses.	Wording problems not identified in development stage.  The implications of wording not realized until analysis stage.	Major	frustration	clinical psychology	30
R_2zHk3lrt2viQjzY	Very Low	Variables were recoded into same variables (without timing note of the recoding)	Several people working on the same dataset	Very Low	Minor	time loss	Loss of data	Variables were deleted without a backup of original dataset	Minor	time loss	personality psychology	11
R_1i2NaZKfSEk0NAo	Very Low	No data mistakes at this time	NA	Very Low	Insignificant	NA	NA	NA	Insignificant	NA	developmental and educational psychology	33
R_2VQJaAMQ7x7b0Vc	Very Low	Failure to exclude error or otherwise invalid trials from statistical analysis.	Inexperienced researcher (typically an early-stage graduate student) ran statistical analysis on full data set without considering trial validity.	Low	Minor	time loss	Error in data recording on a small-N patient-based study, so losing data from even 1 participant was somewhat significant.	One was our first participant -- we were unfamiliar with the output data format and our experiment code did not record enough information for analysis. The microphone malfunctioned for two other participants and we were unable to code the accuracy of verbal responses, which made it impossible to analyze the data.	Moderate	time loss	experimental and cognitive psychology	18
R_3pgaQNfj5tISZ0r	Low	Entering data wrongly by mistake	keying error	Low	Minor	time loss	Lost some data stored in written form without entering in electronic form	Don't know	Major	frustration	other	15
R_1Kx6uWGscVutS3f	Low	Multiple versions of a data file were kept and it took hours to later identify the final copy with all information.	Unclear labeling and before osf	Low	Moderate	Time loss and frustration	NA	NA	NA	NA	social psychology	8
R_vSpnniXC9QK5jj3	Very Low	None happened in the last five years thanks to a great stat person.	See above.	Very Low	Insignificant	None	None	See above	Insignificant	None	other	50
R_22EynRiZfQKWOM7	Very Low	Lack of recording relevant details (by student interviewers).	Didn't realize what information was relevant until too late - the data only became relevant when analysis was under way.	Very Low	Insignificant	loss of data that would have been a useful variable for analysis	NA	NA	NA	NA	other	20
R_2cu4Vcaq8fXrGGw	Low	We were incorrect in what the dummy codes were referring to (more vs less of variable X)	Unclear documentation in the parent dataset and also just assumptions on our behalf that higher numbers would equal more	Low	Minor	time loss	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	Carelessness, lack of experience in the student, plus assumptions that it would be in the hypothesized direction	Moderate	erroneous conclusion	social psychology	15
R_OvXfiWtDSp3WRdD	High	Created a definition of variable incorrectly	Insufficient testing	Low	Moderate	time loss	Used the wrong version of a questionnaire for part of the data collection	Mix up over the translations	Moderate	cannot really use the affceted data	methodology and statistics	15
R_vCDw2trrlQggWnD	Moderate	(1) Similar data collections, but variables assigned different names (2) Students doing data manipulations (e.g., forming scales from several items) in a spreadsheet, rather than in reproducible, documented code.	Probably the underlying cause is our failure to train students in these issues.	Moderate	Moderate	time loss	Different variable names in study 1 versus the similar study 2 for the same questionnaire items.	Inadequate training of graduate students.	Moderate	time loss	social psychology	43
R_1FnQHiAFu95KLEA	Low	questions were dropped by a standard questionnaire	somehow all the researchers and grad students simply missed that some items were left off the Qualtrics survey	Low	Minor	erroneous conclusion	Data were not coded properly for a study variable, which led to 3 minor retractions	experimenter error --did not recode items correctly---despite having a data checker	Moderate	We corrected the errors in 3 manuscripts.	developmental and educational psychology	31
R_2ay4ISLXNFlfXiA	Very Low	Making an error when entering data.	Carelessness, I suppose.	Very Low	Insignificant	None, I caught the error and fixed it before analyzing the data.	Can't think of anything serious.  My data is pretty simple.	NA	NA	NA	developmental and educational psychology	32
R_exlSjtrcVMPpPkl	Very Low	FAILURE TO ENTER DATA CORRECTLY	DOUBLE-CHECK, CONDUCT ON-SITE AND CENTRAL MONITORING, PRE-DETERMINE THE DATA MANAGEMENT PLAN	Low	Minor	erroneous conclusion	NO SERIOUS MISTAKE ACKNOWLEDGED SO FAR	N/A	Insignificant	NA	clinical psychology	10
R_3lFbOeEkr2aGW1f	Moderate	Errors in code for creating derived variables	Students writing code who are new to programming or complex variables that require multiple steps to create- multiple opportunities for error	Low	Minor	& frustration	Time spent analyzing a data set that had been corrupted.	Unknown	Minor	& frustration	clinical psychology	32
R_2tM3kyffGsiC0lA	Very Low	Not aware of any	NA	Very Low	Insignificant	NA	Not sure what this question is asking - wording is unclear	NA	NA	NA	developmental and educational psychology	50
R_24jZ54FYuSFoono	Low	NA	NA	Low	Minor	time loss	NA	NA	Minor	time loss	clinical psychology	10
R_2YKRrPH6SwOg1i9	Low	Not documenting data cleaning and processing steps so you can’t recall how to get from the raw data file to the input used for analysis	Kept saying “yeah, yeah, i gotta go that” but there were more pressing matters.	Moderate	Minor	time loss	Copy/paste error misaligned rows of data and incorrectly changed the identity of the subjects associated with each dataset	Human error (Repetitive task)	Moderate	erroneous conclusion	experimental and cognitive psychology	4
R_2aKnSakmSAQuXYg	Very High	Access issues and duplicate work issues	Lack of communication within a multi-person team	Very High	Minor	time loss	An undergraduate research assistant fabricated data.	Pressure to complete the required workload and perceived limited supervision of duties. (Her work was checked afterward, which she wasn't anticipating would happen.)	Moderate	time loss	methodology and statistics	13
R_6gLIVQF1l9WfwFH	Very Low	Experimental condition incorrectly assigned, but the mistake was detected as part of protocol for data review.	Human error.	Very Low	Insignificant	time loss	Programming error.	Human error.	Moderate	time loss	developmental and educational psychology	40
R_2WVyCoeuAAHCNin	Very Low	Omitting an important scale from a survey	Graduate student mistake	Very Low	Moderate	frustration	Omission of scale in survey	Grad student mistake	Moderate	frustration	developmental and educational psychology	23
R_AFdMpLX9YukUDqV	Low	Poorly organized syntax files with occasional mistakes	Too busy and not enough oversight	Low	Minor	time loss	Coding mistake that resulted in wrong conclusions in a paper	Too busy and not enough oversight	Minor	erroneous conclusion	clinical psychology	15
R_3Pq7FOazfc0hLft	Very Low	The coding system for categorical variables was mistakenly interpreted.	Data analyzers did not communicate with the PIs precisely.	Low	Insignificant	time loss	NA	NA	NA	NA	methodology and statistics	31
R_302hgWPu7XX10Ur	Moderate	Programming mistakes in the statistical software	Insufficient knowledgde and lack of routine	Moderate	Minor	time loss	Ha ha, I wouldn’t know :) Which is in itself a bad thing because we don’t learn from each other’s mistakes.	Low transparency	Moderate	time loss	other	7
R_3fAw2UE7epkUpRF	Low	Human error with data entry	Not double checking	Low	Minor	frustration	There was an error with the software that generated unique ids and it created duplicate unique ids causing us to lose data for 130 respondents and dropping our sample from 200 to 70!!!!	Software programming error	Moderate	time loss	other	15
R_3jeZvxEXWjMiPoU	Very Low	Scheduling twl participants in the same slot. Making some errors in programming the experiment (which are usually fixed after 2-3 pilot participants)	Distraction	Very Low	Minor	time loss	Making some errors in programming experiment.	Distraction	Minor	time loss	experimental and cognitive psychology	8
R_2awtub9gT0lm0Nq	Low	Wrong data encoding/labelling	Unsufficient training of the encoder (Master's student)	Low	Minor	time loss	Reverse encoding of questionnaire items	Wrong programming of the correction file	Major	erroneous conclusion	experimental and cognitive psychology	14
R_3s5IM3bGbNtc4XU	Very Low	Main problem has been insufficient data archiving of ended projects. Sometimes data is needed later as well.	No working routines of data archiving. We work on that.	Low	Moderate	time loss	No real mistakes, just difficult to find and understand old data.	None for the project.	Minor	time loss	other	25
R_73C5WonwTfcN8Wt	Moderate	Data loss due to equipment failure during data collection, misplacing data files from individual participants, errors when collating data from different sources for analyses (questionnaires, experimental tasks etc.).	mostly human error. sometimes programming errors (which are ultimately also human errors...)	Moderate	Minor	time loss and frustration	misalignment of data files	unclear variable names, human error in recoding and collating data	Moderate	time loss	experimental and cognitive psychology	12
R_29tEljEKBrsztMe	Low	Probably issues related to coding of questionnaires items.	there are many versions of questionnaires and one often builds on existing syntax scripts that do not fit exactly.	Low	Minor	Usually we trace the problem in reanalyses.	In moving a questionnaire between different qualtrics surveys the coded order of the items had changed and the SPSS syntax thus did not fit. Realized that only after writing a draft of the paper... which had to be substantially changed based on the new analyses.	Well, we trusted the machine to be consistent.  On this particular questionnaire, the coding was extremely complicated, and that too caused us to overlook the problem (and of course that the reliability was just fine)	Major	erroneous conclusion	social psychology	10
R_1C8fB8CBFHe5SbN	Very Low	Program unexpectedly deleted cases automatically, but this was detected and corrected.	Statistical package	Very Low	Minor	time loss	We are not aware of any serious mistake that was not found and corrected. Note: we usually use designs that do not require sophisticated data treatments.	NA	NA	NA	experimental and cognitive psychology	50
R_3fHPNDhuPCvBI5t	Very Low	labelling of variables sometimes difficult to understand after a given time or when project members have left the lab	just because every one selects his/her own abbreviations, and when discussing them together, no problem occurrs, problems occur just when the person left the lab	Very Low	Minor	time loss	no real mistake because we control every calculation more than once sometimes by different persons (four eyes detect more than two)	just the person who left the lab and left us with the mistakable labelling. Sometimes, former PhD students do not more respond to e-mails and are uninterested in finishing the publications.	Minor	time loss	developmental and educational psychology	18
R_vq2t8wRHyyhk10J	Very Low	NA	NA	Very Low	Minor	none	NA	NA	Insignificant	none	other	10
R_SH3w71pRCZDwotH	Low	Probably has to do with making long data forms from wide data forms. If not done properly, something is easily excluded or duplicated by mistake. But I think we also do these types of things very carefully now.	Unintuitive SPSS way to wrangle with the datasets. Easier now with R and tidyverse packages.	Low	Minor	frustration	Someone had filled a SPSS data sheet in a way that two values were in single cell. Like 4 and 2 should be next to each other but there was 42 and an empty cell. Easily detected and removed.	No idea.	Insignificant	NA	personality psychology	5
R_3fW2vvpojJLV3ZS	Low	Working on the wrong version of the data.	Overworking and tiredness, working on too many projects at the same time, personal inefficiency.	Low	Minor	time loss	Incorrect labelling of a variable.	Team member's mistake.	Moderate	frustration	other	20
R_1NCbBfTdX4Jcm6q	Low	Transposition errors from copy and paste between sources.	Software or databases which require copy and paste.	Low	Minor	frustration	A PhD student working as a research associate faked some data which would be included in their project.	Complex: ambitious student, time pressure in project, high expectations.	Moderate	frustration	developmental and educational psychology	22
R_1g6hYU8eXreCTSC	Low	Confusion on details of measurement when different experimenters conducted the experiment	Research meeting in which the experiment was discussed	Low	Moderate	time loss	Inappropriate labelling of participants leading to confusion when aggregating data from different sources	Inappropriate communication in the research team. Insufficient pre-experiment communication.	Major	frustration	clinical psychology	25
R_ysSpq9fCGv43WI9	Moderate	Problems with the labels of variables	disorganization	High	Minor	time loss	Problems with the labels of variables	disorganization	Minor	time loss	social psychology	7
R_vTAtDgS8N64qWDn	Moderate	Confusing values with formulas in excel leading to wrong numbers when pasted in a different spreadshet	Big datasets and need to use different analyses softwares	Low	Moderate	time loss	Some columns of data got mixed when moving data from one software to another	We don't know	Moderate	time loss	experimental and cognitive psychology	10
R_3M0uW4vbFXE4kvx	Low	1) Uninformative names, lack of documentation, takes time to re-create analyses.  2) Problems accessing data from SQL server, insufficient documentation of variables there	1)Eager to get the results, too time-optimistic about being able to resume 2) Lack of research expertise in technical staff (who may have left the project), lack of technical knowledge among researchers	Low	Minor	time loss	NA	NA	NA	NA	clinical psychology	14
R_d9XxjKNfZKBlcv7	Moderate	Our analysis code has errors in it, invalidating all or part of the analysis.	There was not a systematic process in place to check and validate code.	Low	Moderate	erroneous conclusion	An entire dataset was collected without a thorough check of the stimulus presentation code. This meant that key pieces of the data were not collected. The dataset had to be recollected.	Failure to run the full data analysis after the first subject.	Moderate	financial loss	neurophysiology and physiological psychology	10
R_3fAULoP2522oOyB	Very Low	Data corruption due to import / export data to / from different format (Excel, csv, sas) especially for variables related times, date, long integer.	Lack of expertise of the researchers, flaws especially in Windows and Excel based processes that are messing up things in national distributions other than English	Very Low	Minor	time loss	Same as above	Same as above	Minor	time loss	other	15
R_1gpx3ioVAlVTipo	Low	I see the biggest risk in the first phase when you (often alone, would be better to be two so that one or the other might notice mistakes more easily) prepare the data for analysis; e.g. preparations/calculations of variables with large data sets. I find this a difficult and time consuming task, with potential for human errors. We try to document the steps and use syntaxes, but still, I find it difficult to document in such a way that it would be easy enough to retrace all steps in complex cases. Also, the work load and stress increase the risk for mistakes.	Human errors, mistakes. We often double check and thus might find the errors, however, if such errors sometimes occur, it leads me to fear whether a mistake might have happened that we have not noticed.	Low	Minor	time loss	A research assistant collecting the data used by mistake cut-copy instead of copy-paste from the data file to her USB stick, which she then succeeded to put in the washing machine together with her jeans, resulting in significant loss of data. As a result, we haven't published data from that project.	Human error	Major	project failure	other	10
R_3NDG6QfrooWuJHa	Very Low	hardware failure that leads to program crash during the experiment	often unclear	Low	Minor	frustration	I remember a programming error that led to the loss of a few data sets (becoming useless because of the error) and we have to test new participants In another case, a variable (a time interval) was coded incorrectly, so that we had to average across this variable instead of taking it as independent variable (we reported this explicitly in the paper)	technical error and human error	Moderate	time loss	experimental and cognitive psychology	19
R_0i9ZGQEYBdbMe1r	Very Low	the data in o'tree come up in a spread sheet that is neither a long format neither a wide format, therefore to do the analyses I have to restructure the data, however, standard restructure procedure in R and spss are not useful because they go from wide to  long formats or from long to wide formats, therefore I did it by hand, and this created some mistakes in statistical analyses which was immediately diagnosed and corrected but took some extra time.	see above	Very Low	Major	time loss	see above	see above	Major	time loss	experimental and cognitive psychology	20
R_2f97NKM11tYyR5P	Very Low	None that I know of	NA	NA	NA	NA	None that I know of	NA	NA	NA	experimental and cognitive psychology	20
R_vktbxXQAdWGQUmJ	Moderate	'-Copy and paste error in excel -selecting the wrong variables in data analysis, specially when the names are similar (i.e. WM1 vs. WM2.... etc) -Involving modification of previous script to perform new analysis (i.e. forgot to change variable names)	Careless in 99% of the case, human error	Low	Major	time loss	'-selecting the wrong variables in data analysis, specially when the names are similar (i.e. WM1 vs. WM2.... etc)	Careless, did not check the data carefully enough.	Major	time loss	neurophysiology and physiological psychology	10
R_3jfk9WUBB1C9rE0	Moderate	Missing observations when transfering data between different formats	SPSS	Moderate	Moderate	erroneous conclusion	Bad documentation of data preparation	Bad routines and the idea thar data should look perfeect	Moderate	time loss	other	27
R_u7y4awKmx0P9uMx	Low	When we moved data between spreadsheet we only partially selected the data which led to data loss.	Haste, I guess?	Low	Minor	time loss	A missed experiment recording.	Battery problems.	Minor	time loss	other	17
R_1ImjMmhDv5BB0tL	Low	Programming errors in code (we use MATLAB) for analyzing data.	Overlooking errors.	Low	Minor	frustration	NA	NA	NA	NA	experimental and cognitive psychology	27
R_1rwuSrjs7gQ6lcy	Moderate	Insufficient data description / labeling	Inexperience of junior researchers	Moderate	Minor	time loss	mix-up of data sets	copy/paste error	Minor	time loss	experimental and cognitive psychology	20
R_ZJlgxWYq9ryKVJ7	Low	unsuitable variable names that made it difficult to re-analize the data after some time lapsed; errors in recoding variables that lead to loss of information of the raw data	Laziness, distraction	Low	Minor	time loss	Analyzing  data where  missing vaklues were not identified as such, leading to the wrong conclusions	The line of code to define the missing values was not run	Moderate	time loss	personality psychology	20
R_1OCdfz7knYYZ9MF	High	Use of wrong datasets happened last year.	It was due to a relatively long break between the analyses (due to teaching load) causing us to forget what we had already done. The cause should thus probably be described as a documentation issue.	Moderate	Minor	time loss	A wrong pre-processing of the data.	Not enough knowledge of the data and the analyses techniques (which were new to most of us).	Moderate	erroneous conclusion	other	10
R_3Gs4GQj61sS2krY	Low	Transferring data from one format to another is always tricky.	Ignorance about the right procedure.	Low	Minor	time loss	Wrong hand-coding of data	Evolving coding book and disagreement about what the codes represent	Moderate	erroneous conclusion	social psychology	20
R_10H7jaE3hqPEC59	Low	Sorry, cannot remember any	NA	NA	NA	NA	None. But I have experience of errors earlier. Once a doctoral student made a transformation of data wrong which resulted in presenting wrong results at a minor conference	NA	Minor	erroneous conclusion	applied psychology	50
R_UW9udpehJoHvjeV	Low	program related	computer participant interactions	Low	Moderate	time loss	overwriting data leading to data loss in a pre- posttest	little programming experience	Major	frustration	experimental and cognitive psychology	10
R_W2NaMKUGZou4QDv	Very Low	nothing really systematic and only minor, e.g., missing outlier removal or keeping track of concerned conditions, SD vs SE in figure vs. caption, formula error in excel,	inattention, student not double-checking or not anticipating reuse	Low	Minor	time loss	crash of disk and back-up disk, leading to re-run all analyses (with fortunately mostly saved prgrams elsewhere)	mistake in back-up programming by engineer	Minor	time loss	experimental and cognitive psychology	20
R_3R4baXz3l9QdAPM	Moderate	Coding error in syntax	Sloppiness, limited double checking by co-authors	Moderate	Major	erroneous conclusion	Coding mistake	Conclusions altered	Major	erroneous conclusion	other	12
R_2Ve7LLcoPdCtYvA	Moderate	Using an outdated version of experiment code.	Too many old versions of code, and researchers (often, masters students) not knowing or being familiar enough with the experiment to realize the mistake.	Moderate	Moderate	time loss	Mistakes in online analysis code, discovered during the review process. We had to run a new experiment to verify the results. Fortunately, we replicated the initial finding despite the error.	Honest programming mistake.	Major	time loss	neurophysiology and physiological psychology	15
R_3DjBdzkuQENmiq9	Low	mix up in participant ID code	lapse of concentration while setting up	Moderate	Insignificant	frustration	failure to save part of the data	lapse of concentration while running study	Moderate	time loss	neurophysiology and physiological psychology	16
R_Y6sggRDaiYKcxP3	Moderate	Overwriting old files. Import old files. Wrong named variables in data analysis scripts.	Human errors	Moderate	Minor	frustration	Importing wrong data files, running analysis but them realizing the error and having to redo it again.	Inconsistent file naming in importing and exporting files.	Minor	frustration	experimental and cognitive psychology	3
R_3HnSEV00T3RGWzi	Low	Working on a wrong version of a dataset/manuscript.	Different versions saved by multiple project members from different locations OR computer-related problem (typically, a program stops working at a crucial point and last changes are not saved).	High	Minor	time loss	Nothing really serious has happened during this time.	NA	Minor	time loss	other	8
R_bCncU5uFNDBQAdr	High	It´s difficult to say, but I think that a very common mistake is when the range of response of a questionnaire is not coorect (e.g., 0 to 4, instead of 1 to 5)	The cause is an error when setting the range of response in the script of the questionnaires in Matlab or E-prime.	High	Minor	time loss	The data of an entire experiment had to be discarded due to mistakes in the coding of the participants. It was impossible to identify the condition and the questionnaires from all each participant.	The cause was that the master student who was running the experiment did not record correctly the information. However, I also think that the main cause was the lack of good supervision from the PhD student who was in charge of the study. We realized about the error before doing the statistical analyses.	Major	financial loss	neurophysiology and physiological psychology	7
R_XLNMXHwqdiwAG7D	Moderate	Poor data labelling and documentation	Sloppy lab record keeping	Moderate	Moderate	time loss	Lost data	failure to back up	Moderate	time loss	neurophysiology and physiological psychology	35
R_2OGsptCGC66lVpU	Low	Difficult to identify older data files due to uninformative file naming conventions.	File naming conventions and co-existence of several versions of the same type of data file	Low	Minor	frustration	Failure to record behavioral responses	Experimental software error	Moderate	time loss	experimental and cognitive psychology	6
R_2yfNEamm9FvTD4O	Very Low	building data frame wrongly the first time	inexperience	Low	Insignificant	time loss	all minor	inexperience	Insignificant	time loss	other	20
R_1myhPq5ghONho9x	Low	wrong coding of variables	being inattentive because of the complexity of data analyses	Low	Moderate	erroneous conclusion	misclassification of  two countries in crossnational comparison of large N countries dataset	inattentiveness and misinformation in a publication of colleagues	Moderate	erroneous conclusion	other	30
R_3KK0Lq3IYGIcJXW	Low	I have had in the past that I did not label a variable properly. It computed two variables but I could not remember what was the correct one.	Thinking I will remember without writing it down or specifying it.	Moderate	Minor	time loss	For a qualitative study the recording equipment failed, so a interview was lost.	Wrong settings were chosen on the equipment.	Moderate	frustration	developmental and educational psychology	9
R_1f1ptLmJabcd2gt	Moderate	incorrect input data, mismatch between subjects and his data because of wrong copy and paste. numbers added as text	too many people working on the same database. inattention	Moderate	Moderate	time loss	error in merging two dataset	low attention and care	Major	time loss	neurophysiology and physiological psychology	15
R_ByOF9nbo28ZJhG9	Moderate	erroneous coding of variables in qualtrics surveys	carelessness	Low	Minor	time loss	No serious mistakes in this period.	n/a	Minor	time loss	social psychology	25
R_1Lez5WNMDX1hRUJ	Very Low	Mistakes in some codes of a dataset	Different people working in a dataset	Very Low	Minor	time loss	NA	NA	NA	NA	developmental and educational psychology	10
R_DCZvMltMaiLK0zD	High	data loss, data wrongly inserted, data not completely inserted, data not correctly saved, variable names errors	human errors	High	Minor	time loss	data lost completely due to crash of a laptop with inappropriate backup	technical failure in combination with PhD not following the backup procedure properly	Moderate	We did the analyses with less data - it impairs our power	developmental and educational psychology	10
