response_id	cause	cause_no	cause_sep	maximum_response_one_cause	type	group_cause	code_cause
R_2OGsptCGC66lVpU	File naming conventions and co-existence of several versions of the same type of data file	1	File naming conventions and co-existence of several versions of the same type of data file	yes	recurring	bad or lack of standards	error in version control
R_2OGsptCGC66lVpU	Experimental software error	1	Experimental software error	yes	serious	technical issue	software failure
R_2ONZImZtC8mhCrA	no centralized read-only database; copying and pasting errors	2	copying and pasting errors	no	recurring	inattention	copy paste error
R_2OTKjDgl6AvVwvh	Different versions of the dataset were saved in different folders	1	Different versions of the dataset were saved in different folders	yes	recurring	bad or lack of standards	error in version control
R_2pLz7xMojRnoxaR	Different people running different parts of the project with little communication between them.	1	Different people running different parts of the project with little communication between them.	yes	recurring	miscommunication	miscommunication
R_2PnFe0m2znDlqh0	Laziness, not keeping adequate notes, being too busy or distracted.	1	Laziness	no	recurring	carelessness	laziness
R_2PnFe0m2znDlqh0	Technology failure	1	Technology failure	yes	serious	technical issue	technology failure
R_2PnFe0m2znDlqh0	Laziness, not keeping adequate notes, being too busy or distracted.	3	being too busy or distracted.	no	recurring	time management issue	workload
R_2q9Ql7h5CKuPKN0	lack of consistent file naming/location by people	1	lack of consistent file naming/location by people	yes	recurring	bad or lack of standards	inconsistent file naming
R_2QJpoM0DXM2EnBw	Human error, insufficient protocol in place.	2	insufficient protocol in place.	no	serious	bad or lack of standards	insufficient protocol
R_2QopNHjyyr0Mqmt	Failure to conduct a full analysis of pilot data, plus lack of technical skill in individuals (often students) who are responsible for study.	1	Failure to conduct a full analysis of pilot data, plus lack of technical skill in individuals (often students) who are responsible for study.	yes	recurring	lack of knowledge/experience	inexperience
R_2QopNHjyyr0Mqmt	(a) miscommunication between experiemnter and person writng experimental software. (b) failure to analyse pilot data (c) leaving responsiblity for checking experiment up to student.	1	(a) miscommunication between experiemnter and person writng experimental software.	no	serious	miscommunication	miscommunication
R_2QopNHjyyr0Mqmt	(a) miscommunication between experiemnter and person writng experimental software. (b) failure to analyse pilot data (c) leaving responsiblity for checking experiment up to student.	2	(b) failure to analyse pilot data	no	serious	carelessness	failure to execute a task
R_2QopNHjyyr0Mqmt	(a) miscommunication between experiemnter and person writng experimental software. (b) failure to analyse pilot data (c) leaving responsiblity for checking experiment up to student.	3	(c) leaving responsiblity for checking experiment up to student.	no	serious	carelessness	irresponsibility
R_2QVQCBFhAeeJNZP	Inexperienced researchers.	1	Inexperienced researchers.	yes	recurring	lack of knowledge/experience	inexperience
R_2QXVuTKkK53THL2	Human error - in attention, tiredness, etc...	2	inattention,	no	recurring	inattention	inattention
R_2QXVuTKkK53THL2	Human error - in attention, tiredness, etc...	3	tiredness, etc...	no	recurring	physical and mental constraints	tiredness
R_2Qy5UUJfVHXoWZV	lack of proper attention and difficulties in management of numerous SPSS data files	1	lack of proper attention	no	recurring	inattention	inattention
R_2Qy5UUJfVHXoWZV	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	1	The lack of proper consideration	no	serious	bad or lack of planning	insufficient planning
R_2Qy5UUJfVHXoWZV	lack of proper attention and difficulties in management of numerous SPSS data files	2	difficulties in management of numerous SPSS data files	no	recurring	too high complexity	difficulty in file management
R_2Qy5UUJfVHXoWZV	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	2	reluctance to manage large datasets	no	serious	carelessness	reluctance
R_2Qy5UUJfVHXoWZV	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	3	some difficulty with combining SPSS files	no	serious	too high complexity	difficult task
R_2rBzqM7U57tGlVk	I guess each co-author trusted to much the others to have carefully re-read the instructions.	1	I guess each co-author trusted to much the others to have carefully re-read the instructions.	yes	serious	overconfidence	overreliance
R_2RQVxhHSV8Q7y24	Haste - trying to get papers written up and submitted quickly	1	Haste - trying to get papers written up and submitted quickly	yes	recurring	time management issue	haste
R_2RQVxhHSV8Q7y24	Messy data, trying to combine data from incomplete files (e.g. participants who completed one task but not the other). This is a task that has to be done manually, which leads to mistakes.	1	Messy data, trying to combine data from incomplete files (e.g. participants who completed one task but not the other). This is a task that has to be done manually, which leads to mistakes.	yes	serious	risking human error	manually doing a task
R_2RVBEeR4DZhBco5	One time it was due to carelessness, and another time, it was due to the scale using an anchor that goes from positive value to negative value, which is not what I am used to	1	One time it was due to carelessness	no	recurring	carelessness	carelessness
R_2RVBEeR4DZhBco5	Carelessness	1	Carelessness	yes	serious	carelessness	carelessness
R_2RVBEeR4DZhBco5	One time it was due to carelessness, and another time, it was due to the scale using an anchor that goes from positive value to negative value, which is not what I am used to	2	it was due to the scale using an anchor that goes from positive value to negative value, which is not what I am used to	no	recurring	technical issue	wrong experimental program setting
R_2S2MjnRg4NsWUiX	technical-programming requirements	1	technical-programming requirements	yes	recurring	bad skill management	lack of training
R_2S2MjnRg4NsWUiX	insufficient programming knowledge, insufficient understand of data nature	1	insufficient programming knowledge,	no	serious	lack of knowledge/experience	inexperience
R_2S2MjnRg4NsWUiX	insufficient programming knowledge, insufficient understand of data nature	2	insufficient understand of data nature	no	serious	lack of knowledge/experience	insufficient experience
R_2SBjtXj9EjzI7Sn	"They never really ""got"" the coding manual, and we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3."	1	"They never really ""got"" the coding manual, and"	no	serious	lack of knowledge/experience	inexperience
R_2SBjtXj9EjzI7Sn	"They never really ""got"" the coding manual, and we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3."	2	we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3.	no	serious	bad skill management	insufficient training
R_2SeF9B5dnR5QZ1N	Students not realizing that there are automated ways to transfer data between applications	1	Students not realizing that there are automated ways to transfer data between applications	yes	recurring	lack of knowledge/experience	inexperience
R_2SeF9B5dnR5QZ1N	Not enough coordination among experimenters	1	Not enough coordination among experimenters	yes	serious	project management issue	not enough coordination
R_2thgLa4jntEMBiq	low organizational skills, lack of foresight, inadequate data management training, distractions during work	1	low organizational skills	no	recurring	lack of knowledge/experience	inexperience
R_2thgLa4jntEMBiq	low organizational skills, lack of foresight, inadequate data management training, distractions during work	2	lack of foresight	no	recurring	project management issue	lack of foresight
R_2thgLa4jntEMBiq	low organizational skills, lack of foresight, inadequate data management training, distractions during work	3	inadequate data management training	no	recurring	bad skill management	inadequate training
R_2thgLa4jntEMBiq	low organizational skills, lack of foresight, inadequate data management training, distractions during work	4	distractions during work	no	recurring	inattention	being distracted
R_2tiiMYZYEfHjyYN	Either research assistant inattentiveness/laziness or miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	1	research assistant inattentiveness	no	recurring	inattention	inattention
R_2tiiMYZYEfHjyYN	Personal forgetfulness/inattentiveness.	1	Personal forgetfulness/.	no	serious	physical and mental constraints	forgetfulness
R_2tiiMYZYEfHjyYN	Either research assistant inattentiveness/laziness or miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	2	laziness	no	recurring	carelessness	laziness
R_2tiiMYZYEfHjyYN	Personal forgetfulness/inattentiveness.	2	inattentiveness	no	serious	inattention	inattentiveness
R_2tiiMYZYEfHjyYN	Either research assistant inattentiveness/laziness or miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	3	miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	no	recurring	miscommunication	miscommunication
R_2tLFnGE5wJ0UxSs	Not sufficiently clear procedures for dataset cleanup and management.	1	Not sufficiently clear procedures for dataset cleanup and management.	yes	recurring	bad or lack of standards	lack of standard procedures
R_2TRUjQ7kYqmtIno	bad organization! no standard workflow or procedure! we are working on changing that now.	1	bad organization! no standard workflow or procedure! we are working on changing that now.	yes	recurring	bad or lack of standards	not standard workflow
R_2TRUjQ7kYqmtIno	lack of standard protocols for scale scoring	1	lack of standard protocols for scale scoring	yes	serious	bad or lack of standards	lack of standard procedures
R_2TzanZPigM2xVuV	New to PhD students, I gave too much discretion to a student. Once I figured out what happened, I threw away the data away and started over. Lesson learned.	1	New to PhD students, I gave too much discretion to a student. Once I figured out what happened, I threw away the data away and started over. Lesson learned.	yes	recurring	project management issue	insufficient oversight
R_2U4pgn1GCmJuGaU	Lack of my attention to the details of my students' research	1	Lack of my attention to the details of my students' research	yes	recurring	project management issue	lack of supervision
R_2U4pgn1GCmJuGaU	insufficient attention by myself	1	insufficient attention by myself	yes	serious	inattention	inattention
R_2U5GjHtbKZYkmMX	Lack of time / attention	1	Lack of time	no	recurring	time management issue	time pressure
R_2U5GjHtbKZYkmMX	Data from one set was not ordered in the same way as in the other data set	1	Data from one set was not ordered in the same way as in the other data set	yes	serious	bad or lack of standards	lack of standard procedures
R_2U5GjHtbKZYkmMX	Lack of time / attention	2	Lack of attention	no	recurring	inattention	lack of attention
R_2U9jvXCLvYdgF4v	Multiple people in different locations working on files at the same time.	1	Multiple people in different locations working on files at the same time.	yes	recurring	project management issue	too many team members working on one task
R_2uHSLuGwWn8PInP	Failure in software/technical equipment.	1	Failure in software.	no	recurring	technical issue	software error
R_2uHSLuGwWn8PInP	Failure in software/technical equipment.	2	Failure in technical equipment.	no	recurring	technical issue	technical failure
R_2uQIn0onTQYseK1	Intellectual lasiness	1	Intellectual lasiness	yes	recurring	carelessness	laziness
R_2uQIn0onTQYseK1	Intellectual laziness	1	Intellectual laziness	yes	serious	carelessness	laziness
R_2v92FujMnTNUKtU	When recoding from raw responses to a categorical dependent variable, missing values were given a value of zero because I neglected to write an if condition in the syntax.	1	When recoding from raw responses to a categorical dependent variable, missing values were given a value of zero because I neglected to write an if condition in the syntax.	yes	serious	carelessness	neglect
R_2VmXtXlfGpTVyxw	Overly automatic thinking.	1	Overly automatic thinking.	yes	recurring	lack of control	automatic thinking
R_2VmXtXlfGpTVyxw	Overly automatic thinking.	1	Overly automatic thinking.	yes	serious	lack of control	automatic thinking
R_2VpQNBQ0y3Xk4v1	Technical problem and inefficient backup procedures that we had back then	1	Technical problem that we had back then	no	serious	technical issue	technical problem
R_2VpQNBQ0y3Xk4v1	Technical problem and inefficient backup procedures that we had back then	2	inefficient backup procedures that we had back then	no	serious	bad or lack of standards	insufficient procedures
R_2VQJaAMQ7x7b0Vc	Inexperienced researcher (typically an early-stage graduate student) ran statistical analysis on full data set without considering trial validity.	1	Inexperienced researcher (typically an early-stage graduate student) ran statistical analysis on full data set without considering trial validity.	yes	recurring	lack of knowledge/experience	inexperience
R_2VQJaAMQ7x7b0Vc	One was our first participant -- we were unfamiliar with the output data format and our experiment code did not record enough information for analysis. The microphone malfunctioned for two other participants and we were unable to code the accuracy of verbal responses, which made it impossible to analyze the data.	1	One was our first participant -- we were unfamiliar with the output data format and our experiment code did not record enough information for analysis. The microphone malfunctioned for two other participants and we were unable to code the accuracy of verbal responses, which made it impossible to analyze the data.	yes	serious	lack of knowledge/experience	inexperience
R_2vZVaf4kmem95MD	Poor training/supervision after training (aka quality control)	1	Poor training/supervision after training (aka quality control)	yes	recurring	bad skill management	insufficient training
R_2wBKpgElsyjBV0b	carelessness	1	carelessness	yes	recurring	carelessness	carelessness
R_2wBKpgElsyjBV0b	careless data manager	1	careless data manager	yes	serious	carelessness	carelessness
R_2WCr8uf7CKPkEXG	Mplus code is VERY fiddly	1	Mplus code is VERY fiddly	yes	recurring	too high complexity	too complex task
R_2WCr8uf7CKPkEXG	Mplus is very fiddly	1	Mplus is very fiddly	yes	serious	too high complexity	too complex
R_2wMmMiikRn9F6qX	we work with hardware IDs, software IDs, and paper-pencil IDs and they are not automatically the same (plus different people are working on different aspects of data).	1	we work with hardware IDs, software IDs, and paper-pencil IDs and they are not automatically the same	no	serious	risking human error	lack of automatization
R_2wMmMiikRn9F6qX	we work with hardware IDs, software IDs, and paper-pencil IDs and they are not automatically the same (plus different people are working on different aspects of data).	2	(plus different people are working on different aspects of data).	no	serious	project management issue	too many team member working on the same task
R_2wMmMiikRn9F6qX	human error in combination with sharing codes and using packages with bugs	3	using packages with bugs	no	recurring	technical issue	technical problem
R_2Wxs9NL5pTh2Ko0	Inexperienced new project member at the supplier	1	Inexperienced new project member at the supplier	yes	serious	lack of knowledge/experience	inexperience
R_2XhPhn1YeASQHAr	too many stakeholders	1	too many stakeholders	yes	recurring	project management issue	too many team members working on one task
R_2XhZupfT3JtBBeo	Insufficient training	1	Insufficient training	yes	recurring	lack of knowledge/experience	inexperience
R_2xKa98jPFbLuzjs	Problem with external disk where the data were saved	1	Problem with external disk where the data were saved	yes	recurring	technical issue	technical failure
R_2xWedLepVORUb2s	Software failure (company tanked - no support)	1	Software failure (company tanked - no support)	yes	serious	technical issue	software failure
R_2xYjxG2sdLotM8Q	Not careful enough	1	Not careful enough	yes	recurring	carelessness	carelessness
R_2YeLYCNeAEarPbX	Poor quantitative skills Poor understanding of basic database algorithms Poor data management Low to no awareness of the problem	1	Poor quantitative skills	no	recurring	lack of knowledge/experience	inexperience
R_2YeLYCNeAEarPbX	Poor conscientiousness	1	Poor conscientiousness	yes	serious	inattention	inattention
R_2YeLYCNeAEarPbX	Poor quantitative skills Poor understanding of basic database algorithms Poor data management Low to no awareness of the problem	2	Poor understanding of basic database algorithms	no	recurring	lack of knowledge/experience	poor understanding
R_2YeLYCNeAEarPbX	Poor quantitative skills Poor understanding of basic database algorithms Poor data management Low to no awareness of the problem	4	Low to no awareness of the problem	no	recurring	inattention	lack of awaraness
R_2yfG7EjmzWsyWxx	Lack of concentration, fatigue, not having a clear algorithm for handling the data	1	Lack of concentration	no	recurring	inattention	lack of concentration
R_2yfG7EjmzWsyWxx	Lack of concentration, fatigue, not having a clear algorithm for handling the data	2	fatigue	no	recurring	physical and mental constraints	fatigue
R_2yfG7EjmzWsyWxx	Lack of concentration, fatigue, not having a clear algorithm for handling the data	3	not having a clear algorithm for handling the data	no	recurring	bad or lack of standards	lack of standard procedure
R_2yfNEamm9FvTD4O	inexperience	1	inexperience	yes	recurring	lack of knowledge/experience	inexperience
R_2yfNEamm9FvTD4O	inexperience	1	inexperience	yes	serious	lack of knowledge/experience	inexperience
R_2yg8jYMAU5WqMfg	Hard to say. Maybe a lack of supervision from more experienced researchers.	1	Hard to say. Maybe a lack of supervision from more experienced researchers.	yes	recurring	project management issue	lack of supervision
R_2yg8jYMAU5WqMfg	Sloppiness and lack of supervision.	1	Sloppiness and	no	serious	carelessness	sloppiness
R_2yg8jYMAU5WqMfg	Sloppiness and lack of supervision.	2	lack of supervision.	no	serious	project management issue	lack of supervision
R_2YKRrPH6SwOg1i9	Kept saying “yeah, yeah, i gotta go that” but there were more pressing matters.	1	Kept saying “yeah, yeah, i gotta go that” but there were more pressing matters.	yes	recurring	time management issue	time pressure
R_2YQViBTzxB4Z58d	Human error, not enough beta testing due to schedule challenges.	2	not enough beta testing due to schedule challenges.	no	recurring	time management issue	time pressure
R_2YrWWMvbQaoXT8U	Inexperience of junior researchers	1	Inexperience of junior researchers	yes	recurring	lack of knowledge/experience	inexperience
R_2YSaYiPeTrGttp8	Improperly training RA	1	Improperly training RA	yes	serious	bad skill management	improper training of RA
R_2zHk3lrt2viQjzY	Several people working on the same dataset	1	Several people working on the same dataset	yes	recurring	project management issue	too many team members working on one task
R_2zjVTdbw0kClOqk	Lack of protocol, discipline, and experience.	1	Lack of protocol	no	recurring	bad or lack of standards	lack of protocol
R_2zjVTdbw0kClOqk	Lack of protocol, discipline, and experience.	2	Lack of discipline	no	recurring	lack of control	lack of discipline
R_2zjVTdbw0kClOqk	Lack of protocol, discipline, and experience.	3	Lack of experience.	no	recurring	lack of knowledge/experience	lack of experience
R_2ZKX9MFhEoJ5EsP	Change of research staff, time pressure leading to superficial work when producing scoring sheets, insufficient supervision and training of student assistants	1	Change of research staff,	no	recurring	project management issue	change of team members
R_2ZKX9MFhEoJ5EsP	Change of research staff, time pressure leading to superficial work when producing scoring sheets, insufficient supervision and training of student assistants	2	time pressure leading to superficial work when producing scoring sheets,	no	recurring	time management issue	time pressure
R_2ZKX9MFhEoJ5EsP	Change of research staff, time pressure leading to superficial work when producing scoring sheets, insufficient supervision and training of student assistants	3	insufficient supervision and training of student assistants	no	recurring	bad skill management	insufficient training
R_302hgWPu7XX10Ur	Insufficient knowledgde and lack of routine	1	Insufficient knowledgde	no	recurring	lack of knowledge/experience	inexperience
R_302hgWPu7XX10Ur	Insufficient knowledgde and lack of routine	2	lack of routine	no	recurring	lack of knowledge/experience	lack of routine
R_30oeLXyDGAJEwhS	Proofing/carelessness	1	Proofing/carelessness	yes	recurring	carelessness	carelessness
R_30oeLXyDGAJEwhS	Carelessness	1	Carelessness	yes	serious	carelessness	carelessness
R_31N0JcnckZmHXuH	Student performing the filtering did not understand how the software worked, and no senior staff checked their work.	1	Student performing the filtering did not understand how the software worked, and	no	serious	lack of knowledge/experience	inexperience
R_31N0JcnckZmHXuH	Student performing the filtering did not understand how the software worked, and no senior staff checked their work.	2	"no senior staff checked their work.
"	no	serious	project management issue	lack of supervision
R_31oXJfKSNMz4pNg	Carelessness and forgetfulness	1	Carelessness	no	recurring	carelessness	carelessness
R_31oXJfKSNMz4pNg	Forgetting to turn off the “select data” filter in SPSS	1	Forgetting to turn off the “select data” filter in SPSS	yes	serious	inattention	inattention
R_31oXJfKSNMz4pNg	Carelessness and forgetfulness	2	forgetfulness	no	recurring	physical and mental constraints	forgetfulness
R_339JiVn0BrXV8jw	Not a native English speaker	1	Not a native English speaker	yes	serious	lack of knowledge/experience	being not a native English speaker
R_33lN4aBOD0tfqwg	Not anticipating the need for differentiating between types of data loss	1	The complexity of the project data	no	recurring	too high complexity	too complex task
R_33lN4aBOD0tfqwg	Not anticipating the need for differentiating between types of data loss	3	our failure as researchers to have an a-priori systematic plan for data	no	recurring	bad or lack of standards	lack of data management plan
R_33qjViTvNv9H48m	Poor training of staff that produced the digital form. Lack of oversight from lab director (me).	1	Poor training of staff that produced the digital form.	no	serious	bad skill management	insufficient training of coders
R_33qjViTvNv9H48m	Poor training of staff that produced the digital form. Lack of oversight from lab director (me).	2	Lack of oversight from lab director (me).	no	serious	project management issue	lack of oversight
R_3CWadSWEbwUhhrs	I think that pilot study would help in both cases; thus we could say that the cause was time restriction related to the research	1	I think that pilot study would help in both cases; thus we could say that the cause was time restriction related to the research	yes	serious	time management issue	time pressure
R_3D85dU8d9bWZJPh	Failure in programming, Failures in guidance of research assitance	2	Failures in guidance of research assitance	no	recurring	project management issue	Failures in guidance of research assistance
R_3dGuyqX1cMJFz7i	Lack of knowledge and/or programming mistake.	1	Lack of knowledge	no	recurring	lack of knowledge/experience	inexperience
R_3DjBdzkuQENmiq9	lapse of concentration while setting up	1	lapse of concentration while setting up	yes	recurring	inattention	inattention
R_3DjBdzkuQENmiq9	lapse of concentration while running study	1	lapse of concentration while running study	yes	serious	inattention	lapse of concentration
R_3dMrKvR94hccB6c	Problems with training the experimenter.	1	Problems with training the experimenter.	yes	recurring	lack of knowledge/experience	inexperience
R_3dMrKvR94hccB6c	Experimenter was too confident...	1	Experimenter was too confident...	yes	serious	overconfidence	being too confident
R_3ej0du4jNp47nCF	In almost all cases this happens when projects are handled by Master students or first year PhD students. A much more specified protocol, and in written form, of how to prepare an experimental paradigm, the different aspect to double check before running and while running the subjects would avoid these errors.	1	In almost all cases this happens when projects are handled by Master students or first year PhD students. A much more specified protocol, and in written form, of how to prepare an experimental paradigm, the different aspect to double check before running and while running the subjects would avoid these errors.	yes	recurring	lack of knowledge/experience	inexperience
R_3ej0du4jNp47nCF	The post-doc was expert in the main technique used but not on the topic and on the other imaging technique used. He was trained on the new technique for a few subjects but more supervision would have been necessary through the whole process due to these reasons.	1	The post-doc was expert in the main technique used but not on the topic and on the other imaging technique used. He was trained on the new technique for a few subjects	no	serious	bad skill management	lack of training
R_3ej0du4jNp47nCF	The post-doc was expert in the main technique used but not on the topic and on the other imaging technique used. He was trained on the new technique for a few subjects but more supervision would have been necessary through the whole process due to these reasons.	2	but more supervision would have been necessary through the whole process due to these reasons.	no	serious	project management issue	insufficient supervision
R_3EJQO3OBaZ6CZKY	Problems with the PC	1	Problems with the PC	yes	recurring	technical issue	technical failure
R_3EK0TrKycm0yB5b	Insufficient information sharing between me (or researchers who will stay) and those who left the lab.	1	Insufficient information sharing between me (or researchers who will stay) and those who left the lab.	yes	recurring	miscommunication	miscommunication
R_3EKM0va9ntRVGxm	Insufficient foresight.	1	Insufficient foresight.	yes	recurring	bad or lack of planning	error in planning
R_3EKM0va9ntRVGxm	Carelessness.	1	Carelessness.	yes	serious	carelessness	carelessness
R_3Eo3YsFvO2vplXR	multiple users sharing files of notes, and not refiling notes properly after use	1	multiple users sharing files of notes, and not refiling notes properly after use	yes	recurring	bad or lack of standards	error in version control
R_3Eo3YsFvO2vplXR	multiple users sharing extensive data files, and not properly refiling data after use	1	multiple users sharing extensive data files, and not properly refiling data after use	yes	serious	project management issue	too many team members working on the same task
R_3EupOPAfblnLBPk	Misinformation provided by the agency that supplied the data	1	Misinformation provided by the agency that supplied the data	yes	recurring	miscommunication	misinformed by third party
R_3EupOPAfblnLBPk	Agency personnel did not fully communicate the definitions of specific fields and codes.	1	Agency personnel did not fully communicate the definitions of specific fields and codes.	yes	serious	miscommunication	miscommunication
R_3fAULoP2522oOyB	Lack of expertise of the researchers, flaws especially in Windows and Excel based processes that are messing up things in national distributions other than English	1	Lack of expertise of the researchers, flaws especially in Windows and Excel based processes that are messing up things in national distributions other than English	yes	recurring	lack of knowledge/experience	inexperience
R_3fHPNDhuPCvBI5t	just because every one selects his/her own abbreviations, and when discussing them together, no problem occurrs, problems occur just when the person left the lab	1	just because every one selects his/her own abbreviations, and when discussing them together, no problem occurrs, problems occur just when the person left the lab	yes	recurring	bad or lack of standards	using non-standard abbreviations
R_3fHPNDhuPCvBI5t	just the person who left the lab and left us with the mistakable labelling. Sometimes, former PhD students do not more respond to e-mails and are uninterested in finishing the publications.	1	just the person who left the lab and left us with the mistakable labelling.	no	serious	project management issue	team member left
R_3fHPNDhuPCvBI5t	just the person who left the lab and left us with the mistakable labelling. Sometimes, former PhD students do not more respond to e-mails and are uninterested in finishing the publications.	2	Sometimes, former PhD students do not more respond to e-mails and are uninterested in finishing the publications.	no	serious	miscommunication	miscommunication
R_3foClSs4q55ssEp	A unique but not uncommon combination of laziness and disrespect for data integrity.	1	A unique but not uncommon combination of laziness.	no	recurring	carelessness	laziness
R_3foClSs4q55ssEp	A unique but not uncommon combination of laziness and disrespect for data integrity.	2	disrespect for data integrity.	no	recurring	carelessness	disrespect for data integrity.
R_3fPi4q2MtOopLwb	Sloppiness.	1	Sloppiness.	yes	recurring	carelessness	sloppiness
R_3fPi4q2MtOopLwb	Sloppiness and rushed data collection.	1	Sloppiness and	no	serious	carelessness	sloppiness
R_3fPi4q2MtOopLwb	Sloppiness and rushed data collection.	2	rushed data collection.	no	serious	time management issue	rushing
R_3fuztQ0HcuQmyVK	Get payed irrespective of results. Difficalt to adjust skils to 21th century technology	1	Get payed irrespective of results.	no	recurring	carelessness	lack of motivation
R_3fuztQ0HcuQmyVK	Get payed irrespective of results. Difficalt to adjust skils to 21th century technology	2	Difficalt to adjust skils to 21th century technology	no	recurring	lack of knowledge/experience	lack of knowledge
R_3fW2vvpojJLV3ZS	Overworking and tiredness, working on too many projects at the same time, personal inefficiency.	1	Overworking and tiredness, working on too many projects at the same time,	no	recurring	time management issue	overworking
R_3G7c4213rSP4bPF	stupidity/negligence, I guess, not planning ahead enough	2	negligence	no	serious	carelessness	negligence
R_3G7c4213rSP4bPF	stupidity/negligence, I guess, not planning ahead enough	3	I guess, not planning ahead enough	no	serious	bad or lack of planning	error in planning
R_3Gs4GQj61sS2krY	Ignorance about the right procedure.	1	Ignorance about the right procedure.	yes	recurring	carelessness	carelessness
R_3Gs4GQj61sS2krY	Evolving coding book and disagreement about what the codes represent	1	Evolving coding book and disagreement about what the codes represent	yes	serious	miscommunication	miscommunication
R_3gTq4TA8Trl2ZHf	Loss of atention	1	Loss of atention	yes	recurring	inattention	inattention
R_3gYOmNFTOaQXpvg	Inept staff	1	Inept staff	yes	recurring	bad skill management	lack of training
R_3gYOmNFTOaQXpvg	Inept staff and quality assurance failure to check that staff persons's work	1	Inept staff and	no	serious	lack of knowledge/experience	inexperience
R_3gYOmNFTOaQXpvg	Inept staff and quality assurance failure to check that staff persons's work	2	quality assurance failure to check that staff persons's work	no	serious	project management issue	lack of supervision
R_3gYp4TFBsLfhLvH	lack of forethought.	1	lack of forethought.	yes	recurring	bad or lack of planning	error in planning
R_3hgej8gmajD0d9j	The person merging the data did not know correct method and did not check	1	The person merging the data did not know correct method	no	recurring	lack of knowledge/experience	inexperience
R_3hngidIEckW7lKF	Carelessness; complicated syntax (e.g. multi-stage process of data management	1	Carelessness	no	recurring	carelessness	carelessness
R_3hngidIEckW7lKF	Carelessness coupled with complex/messy data management (multiple data files, that my team had inherited from others; lots of different syntax files merging and cleaning; etc)	1	Carelessness coupled with  (multiple data files, that my team had inherited from others; lots of different syntax files merging and cleaning; etc)	no	serious	carelessness	carelessness
R_3hngidIEckW7lKF	Carelessness; complicated syntax (e.g. multi-stage process of data management	2	complicated syntax (e.g. multi-stage process of data management	no	recurring	too high complexity	complex task
R_3hngidIEckW7lKF	Carelessness coupled with complex/messy data management (multiple data files, that my team had inherited from others; lots of different syntax files merging and cleaning; etc)	2	complex/messy data management	no	serious	too high complexity	complex task
R_3HnSEV00T3RGWzi	Different versions saved by multiple project members from different locations OR computer-related problem (typically, a program stops working at a crucial point and last changes are not saved).	1	Different versions saved by multiple project members from different locations	no	recurring	bad or lack of standards	error in version control
R_3HnSEV00T3RGWzi	Different versions saved by multiple project members from different locations OR computer-related problem (typically, a program stops working at a crucial point and last changes are not saved).	2	computer-related problem (typically, a program stops working at a crucial point and last changes are not saved).	no	recurring	technical issue	technical failure
R_3HOJBmqA8Qj5Vik	Less than optimal procedure	1	Less than optimal procedure	yes	recurring	bad or lack of standards	not optimal procedure
R_3HtqACEHt1G9A41	Carelessness.	1	Carelessness.	yes	recurring	carelessness	carelessness
R_3HtqACEHt1G9A41	Simple human error in failing to follow proper protocol.	1	Simple human error in failing to follow proper protocol.	yes	serious	carelessness	failure to follow protocol
R_3hyCgqMpettYA1x	Qualtrics stopped supporting the question type, and since we use the same individual difference measure survey over and over, we didn't realize that it wasn't collecting the data in the way we needed...until we had collected 1000 responses that ended up being unusable.	1	Qualtrics stopped supporting the question type, and since we use the same individual difference measure survey over and over, we didn't realize that it wasn't collecting the data in the way we needed...until we had collected 1000 responses that ended up being unusable.	yes	serious	technical issue	technical problem
R_3iIFj59dgB5EXPO	when the computer rebooted it cleared all the saved files	1	when the computer rebooted it cleared all the saved files	yes	serious	technical issue	technical failure
R_3iqkqyCtuHBhFsN	working under tight deadlines, multiple users of the dataset	1	working under tight deadlines	no	recurring	time management issue	time pressure
R_3iqkqyCtuHBhFsN	working under tight deadlines, multiple users of the dataset	2	multiple users of the dataset	no	recurring	project management issue	multiple team members working on the same task
R_3iqkqyCtuHBhFsN	multiple users and copy/paste errors	2	copy/paste errors	no	serious	inattention	copy paste error
R_3IT6ZXx2MztRRGc	Software error (a self devised program)	1	Software error (a self devised program)	yes	recurring	technical issue	software error
R_3IT6ZXx2MztRRGc	Erroneous reasoning	1	Erroneous reasoning	yes	serious	physical and mental constraints	erroneous reasoning
R_3j27GQZJCc95DpV	Not much time	1	Not much time	yes	recurring	time management issue	time pressure
R_3jeZvxEXWjMiPoU	Distraction	1	Distraction	yes	recurring	physical and mental constraints	distraction
R_3jeZvxEXWjMiPoU	Distraction	1	Distraction	yes	serious	physical and mental constraints	distraction
R_3jfk9WUBB1C9rE0	Bad routines and the idea thar data should look perfeect	1	Bad routines and	no	serious	bad or lack of standards	bad rutines
