response_id	cause_type	cause	cause_no	cause_sep	code	n	group
R_2B8trxy4O95LIjg	serious	Lack of coordination	1	Lack of coordination	lack of coordination	3	project management issue
R_2BbuTGCx18uGQHF	recurring	Miscommunication among multiple researchers	1	Miscommunication among multiple researchers	miscommunication	33	miscommunication
R_2BbuTGCx18uGQHF	serious	NA	1	missing	missing	183	missing
R_2BgSfuqikIO1v0a	recurring	Fatigue and a poor processing pipeline.	1	Fatigue	fatigue	5	physical and mental constraints
R_2BgSfuqikIO1v0a	serious	Several people moving data files between servers manually.	1	Several people moving data files between servers manually.	too many team members doing one task	1	project management issue
R_2BgSfuqikIO1v0a	recurring	Fatigue and a poor processing pipeline.	2	poor processing pipeline.	insufficient standard procedure	2	bad or lack of standards
R_2bN2CmBCvy0RUPJ	recurring	'- wrong code/syntax	1	'- wrong code/syntax	error in program code	4	"NA"
R_2bN2CmBCvy0RUPJ	serious	'- wrong code/syntax	1	'- wrong code/syntax	error in syntax	1	"NA"
R_2bOijjUlRMWYs2t	recurring	Not paying attention	1	Not paying attention	inattention	31	inattention
R_2bOijjUlRMWYs2t	serious	Mistakes by data supplier in anonymization process	1	Mistakes by data supplier in anonymization process	insufficient information	59	insufficient information
R_2bQpSx7HPHcLyoX	recurring	'- non-native speaker who wants to increase consistency in text	1	'- non-native speaker who wants to increase consistency in text	lack of knowledge	4	lack of knowledge/experience
R_2bQpSx7HPHcLyoX	serious	"different versions of the paper where we experimented with different labels (e.g., ""higher sensitivity"" vs. ""lower threshold"")"	1	"different versions of the paper where we experimented with different labels (e.g., ""higher sensitivity"" vs. ""lower threshold"")"	different versions	1	bad or lack of standards
R_2coTxGpiZoEAjV9	recurring	The big amount of parameters to handle, in recurring simulations	1	The big amount of parameters to handle, in recurring simulations	too complex task	7	too high complexity
R_2coTxGpiZoEAjV9	serious	The controller had wrong parameters set up.	1	The controller had wrong parameters set up.	wrong parameter setup	1	"NA"
R_2cth4XQgNMWuwGv	recurring	Human error.	1	Human error.	human error	54	"NA"
R_2cth4XQgNMWuwGv	serious	Unclear.	1	Unclear.	do not know	4	"NA"
R_2cu4Vcaq8fXrGGw	recurring	Unclear documentation in the parent dataset and also just assumptions on our behalf that higher numbers would equal more	1	Unclear documentation in the parent dataset and also just assumptions on our behalf that higher numbers would equal more	insufficient documentation	18	"NA"
R_2cu4Vcaq8fXrGGw	serious	Carelessness, lack of experience in the student, plus assumptions that it would be in the hypothesized direction	1	Carelessness,	carelessness	41	carelessness
R_2cu4Vcaq8fXrGGw	serious	Carelessness, lack of experience in the student, plus assumptions that it would be in the hypothesized direction	2	lack of experience in the student,	inexperience	68	lack of knowledge/experience
R_2cu4Vcaq8fXrGGw	serious	Carelessness, lack of experience in the student, plus assumptions that it would be in the hypothesized direction	3	plus assumptions that it would be in the hypothesized direction	lack of foresight	4	project management issue
R_2czHmrjciqTkBt0	recurring	NA	1	missing	missing	183	missing
R_2czHmrjciqTkBt0	serious	Images were not properly stored	1	Images were not properly stored	error in storing	1	technical issue
R_2dlHcPXBYfhftFW	recurring	Relying on different individuals to do as the find fit. The solution would be that one brain supervises all activities.	1	Relying on different individuals to do as the find fit. The solution would be that one brain supervises all activities.	lack of supervision	11	project management issue
R_2dlHcPXBYfhftFW	serious	Disobedience/stupidity?	1	Disobedience/	disobedience	1	project management issue
R_2dlHcPXBYfhftFW	serious	Disobedience/stupidity?	2	stupidity?	stupidity	3	"NA"
R_2dLSHG3yGKzKecQ	recurring	Lack of communication and attention to detail.	1	Lack of communication	lack of communication	2	miscommunication
R_2dLSHG3yGKzKecQ	serious	NA	1	missing	missing	183	missing
R_2dLSHG3yGKzKecQ	recurring	Lack of communication and attention to detail.	2	Lack of attention to detail.	lack of attention	3	inattention
R_2doLrFMsPU9gioB	recurring	Indexing data objects.	1	Indexing data objects.	insufficient information	59	insufficient information
R_2doLrFMsPU9gioB	serious	LaTeX	1	LaTeX	insufficient information	59	insufficient information
R_2dSg2D5VTNB7RVY	recurring	No standard present across fields	1	No standard present across fields	lack of field wise standard	1	bad or lack of standards
R_2dSg2D5VTNB7RVY	serious	Poor documentation	1	Poor documentation	insufficient documentation	18	"NA"
R_2dT8e8Ru3SR801H	recurring	Rely on one person without double checking When we do not check descriptives before moving on	1	Rely on one person without double checking	lack of double checking	5	"NA"
R_2dT8e8Ru3SR801H	serious	NA	1	missing	missing	183	missing
R_2dT8e8Ru3SR801H	recurring	Rely on one person without double checking When we do not check descriptives before moving on	2	When we do not check descriptives before moving on	lack of checking	3	"NA"
R_2duJO8zk4AgeXgg	recurring	sometimes lack of knowledge, sometimes we are inattentive or tired	1	sometimes lack of knowledge	inexperience	68	lack of knowledge/experience
R_2duJO8zk4AgeXgg	serious	inattentiveness	1	inattentiveness	inattentiveness	2	inattention
R_2duJO8zk4AgeXgg	recurring	sometimes lack of knowledge, sometimes we are inattentive or tired	2	sometimes we are inattentive	inattention	31	inattention
R_2duJO8zk4AgeXgg	recurring	sometimes lack of knowledge, sometimes we are inattentive or tired	3	sometimes we are tired	tiredness	7	physical and mental constraints
R_2dvcIJA7IFmsu14	recurring	Separating out stats from the paper. However, I have tried to use e.g. swerve to write papers mixing R and latex and just ground to a halt in an unresolvable tangle of latex and R errors.	1	Separating out stats from the paper. However, I have tried to use e.g. swerve to write papers mixing R and latex and just ground to a halt in an unresolvable tangle of latex and R errors.	insufficient information	59	insufficient information
R_2dvcIJA7IFmsu14	serious	Complexity of the experimental set-up and insufficient checks prior to running.	1	Complexity of the experimental set-up and	inexperience	68	lack of knowledge/experience
R_2dvcIJA7IFmsu14	serious	Complexity of the experimental set-up and insufficient checks prior to running.	2	insufficient checks prior to running.	insufficient testing	6	"NA"
R_2e295rrs3RwuezQ	recurring	NA	1	missing	missing	183	missing
R_2e295rrs3RwuezQ	serious	human error	1	human error	human error	54	"NA"
R_2E3SqExkJaw5KMM	recurring	file name	1	file name	insufficient information	59	insufficient information
R_2E3SqExkJaw5KMM	serious	NA	1	missing	missing	183	missing
R_2E6UbxqHIZGHdcc	recurring	Malfunctions	1	Malfunctions	malfunction	1	technical issue
R_2E6UbxqHIZGHdcc	serious	Technical causes	1	Technical causes	technical problem	6	technical issue
R_2EBoQ5pteGRidTo	recurring	In the data download, only 6 points of a 7-point Likert Skale were recorded.	1	In the data download, only 6 points of a 7-point Likert Skale were recorded.	insufficient information	59	insufficient information
R_2EBoQ5pteGRidTo	serious	Not sure if I'm supposed to report about another mistake here than the one described above.	1	Not sure if I'm supposed to report about another mistake here than the one described above.	irrelevant content	38	irrelevant content
R_2EEnIEQa9QlsXtt	recurring	Well, call it exploration	1	Well, call it exploration	insufficient information	59	insufficient information
R_2EEnIEQa9QlsXtt	serious	---	1	---	irrelevant content	38	irrelevant content
R_2EggCQnejEtHW3a	recurring	Graduate researchers not realizing the impact of these uninformative names when initially programming studies.	1	Graduate researchers not realizing the impact of these uninformative names when initially programming studies.	inexperience	68	lack of knowledge/experience
R_2EggCQnejEtHW3a	serious	Insufficient mentoring on my part.	1	Insufficient mentoring on my part.	insufficient training	6	bad skill management
R_2EGYmDTj3LV7rUU	recurring	Complexity of experimental designs, with e.g. variable timings and/or spatial locations depending on the experimental conditions.	1	Complexity of experimental designs, with e.g. variable timings and/or spatial locations depending on the experimental conditions.	too complex task	7	too high complexity
R_2EGYmDTj3LV7rUU	serious	See above	1	See above	see above	37	see above
R_2Ejl6F6HzHMaous	recurring	Simply not paying attention to details and being in a rush.	1	Simply not paying attention to details	inattention	31	inattention
R_2Ejl6F6HzHMaous	recurring	Simply not paying attention to details and being in a rush.	2	being in a rush.	being in a rush	1	time management issue
R_2Ejl6F6HzHMaous	serious	Simple clerical mistakes that we found and corrected because we double-check every entered number for our data.	1	Simple clerical mistakes that we found and corrected because we double-check every entered number for our data.	insufficient information	59	insufficient information
R_2eOxrEvCxEutKdg	recurring	human error	1	human error	human error	54	"NA"
R_2eOxrEvCxEutKdg	serious	human error	1	human error	human error	54	"NA"
R_2eQCIvKgmCxnQis	recurring	The need to frequent update of the datasets	1	The need to frequent update of the datasets	insufficient information	59	insufficient information
R_2eQCIvKgmCxnQis	serious	Human error and carelessness	1	Human error and	human error	54	"NA"
R_2eQCIvKgmCxnQis	serious	Human error and carelessness	2	carelessness	carelessness	41	carelessness
R_2EzS06GIwQj0lQn	recurring	Not anticipating needs for data analysis	1	Not anticipating needs for data analysis	error in planning	6	bad or lack of planning
R_2EzS06GIwQj0lQn	serious	see above	1	see above	see above	37	see above
R_2f97NKM11tYyR5P	recurring	NA	1	missing	missing	183	missing
R_2f97NKM11tYyR5P	serious	NA	1	missing	missing	183	missing
R_2f9fC66h2IIZs1w	recurring	This could be attributed to a miscommunication or lack of communication between the student and promoter: the promoter did not emphasize enough the importance or failed to provide a sufficient test of this program before data collection, and/or the student failed to implement this and was unaware of his/her fault or did not warn about it in time	1	This could be attributed to a miscommunication or lack of communication between the student and promoter: the promoter did not emphasize enough the importance or failed to provide a sufficient test of this program before data collection,	miscommunication	33	miscommunication
R_2f9fC66h2IIZs1w	serious	\	1	\	irrelevant content	38	irrelevant content
R_2f9fC66h2IIZs1w	recurring	This could be attributed to a miscommunication or lack of communication between the student and promoter: the promoter did not emphasize enough the importance or failed to provide a sufficient test of this program before data collection, and/or the student failed to implement this and was unaware of his/her fault or did not warn about it in time	2	the student failed to implement this and was unaware of his/her fault or did not warn about it in time	insufficient information	59	insufficient information
R_2fg0p9dQFeyFqr6	recurring	Human error	1	Human error	human error	54	"NA"
R_2fg0p9dQFeyFqr6	serious	Carelessness on the part of graduathe student	1	Carelessness on the part of graduathe student	carelessness	41	carelessness
R_2fiypF20DbX0IU0	recurring	Lack of communication between data managers and me (PI) in that I failed to make clear that we need to be able to go back into the data in 1 or 5 years and still be able know what's what in the dataset.	1	Lack of communication between data managers and me (PI) in that I failed to make clear that we need to be able to go back into the data in 1 or 5 years and still be able know what's what in the dataset.	miscommunication	33	miscommunication
R_2fiypF20DbX0IU0	serious	Not having been thorough enough in the variable specifications.	1	Not having been thorough enough in the variable specifications.	not being thorough enough	1	carelessness
R_2OGsptCGC66lVpU	recurring	File naming conventions and co-existence of several versions of the same type of data file	1	File naming conventions and co-existence of several versions of the same type of data file	error in version control	9	bad or lack of standards
R_2OGsptCGC66lVpU	serious	Experimental software error	1	Experimental software error	software failure	2	technical issue
R_2ONZImZtC8mhCrA	recurring	no centralized read-only database; copying and pasting errors	1	no centralized read-only database	insufficient information	59	insufficient information
R_2ONZImZtC8mhCrA	recurring	no centralized read-only database; copying and pasting errors	2	copying and pasting errors	copy paste error	5	inattention
R_2ONZImZtC8mhCrA	serious	NA	1	missing	missing	183	missing
R_2OTKjDgl6AvVwvh	recurring	Different versions of the dataset were saved in different folders	1	Different versions of the dataset were saved in different folders	error in version control	9	bad or lack of standards
R_2OTKjDgl6AvVwvh	serious	See above	1	See above	see above	37	see above
R_2PchCq8UnKbYzmr	recurring	NA	1	missing	missing	183	missing
R_2PchCq8UnKbYzmr	serious	NA	1	missing	missing	183	missing
R_2pLz7xMojRnoxaR	recurring	Different people running different parts of the project with little communication between them.	1	Different people running different parts of the project with little communication between them.	miscommunication	33	miscommunication
R_2pLz7xMojRnoxaR	serious	We never isolated the cause. The solution was to run hourly backups of the database, then rewrite the codebase from scratch rather than using third-party libraries for the API.	1	We never isolated the cause. The solution was to run hourly backups of the database, then rewrite the codebase from scratch rather than using third-party libraries for the API.	irrelevant content	38	irrelevant content
R_2PnFe0m2znDlqh0	recurring	Laziness, not keeping adequate notes, being too busy or distracted.	1	Laziness	laziness	14	carelessness
R_2PnFe0m2znDlqh0	serious	Technology failure	1	Technology failure	technology failure	1	technical issue
R_2PnFe0m2znDlqh0	recurring	Laziness, not keeping adequate notes, being too busy or distracted.	2	not keeping adequate notes	insufficient note keeping	1	"NA"
R_2PnFe0m2znDlqh0	recurring	Laziness, not keeping adequate notes, being too busy or distracted.	3	being too busy or distracted.	workload	2	time management issue
R_2pXHxkLf2ltxzDW	recurring	Data entry error, followed by incomplete checking.	1	Data entry error,	data entry error	3	"NA"
R_2pXHxkLf2ltxzDW	serious	As above	1	As above	see above	37	see above
R_2pXHxkLf2ltxzDW	recurring	Data entry error, followed by incomplete checking.	2	incomplete checking.	insufficient checking	7	"NA"
R_2q9Ql7h5CKuPKN0	recurring	lack of consistent file naming/location by people	1	lack of consistent file naming/location by people	inconsistent file naming	2	bad or lack of standards
R_2q9Ql7h5CKuPKN0	serious	NA	1	missing	missing	183	missing
R_2QJpoM0DXM2EnBw	recurring	human error	1	human error	human error	54	"NA"
R_2QJpoM0DXM2EnBw	serious	Human error, insufficient protocol in place.	1	Human error,	human error	54	"NA"
R_2QJpoM0DXM2EnBw	serious	Human error, insufficient protocol in place.	2	insufficient protocol in place.	insufficient protocol	1	bad or lack of standards
R_2QopNHjyyr0Mqmt	recurring	Failure to conduct a full analysis of pilot data, plus lack of technical skill in individuals (often students) who are responsible for study.	1	Failure to conduct a full analysis of pilot data, plus lack of technical skill in individuals (often students) who are responsible for study.	inexperience	68	lack of knowledge/experience
R_2QopNHjyyr0Mqmt	serious	(a) miscommunication between experiemnter and person writng experimental software. (b) failure to analyse pilot data (c) leaving responsiblity for checking experiment up to student.	1	(a) miscommunication between experiemnter and person writng experimental software.	miscommunication	33	miscommunication
R_2QopNHjyyr0Mqmt	serious	(a) miscommunication between experiemnter and person writng experimental software. (b) failure to analyse pilot data (c) leaving responsiblity for checking experiment up to student.	2	(b) failure to analyse pilot data	failure to execute a task	1	carelessness
R_2QopNHjyyr0Mqmt	serious	(a) miscommunication between experiemnter and person writng experimental software. (b) failure to analyse pilot data (c) leaving responsiblity for checking experiment up to student.	3	(c) leaving responsiblity for checking experiment up to student.	irresponsibility	1	carelessness
R_2QVQCBFhAeeJNZP	recurring	Inexperienced researchers.	1	Inexperienced researchers.	inexperience	68	lack of knowledge/experience
R_2QVQCBFhAeeJNZP	serious	Incomplete archiving of data files.	1	Incomplete archiving of data files.	incomplete archiving of data files	1	"NA"
R_2QXVuTKkK53THL2	recurring	Human error - in attention, tiredness, etc...	1	Human error -	human error	54	"NA"
R_2QXVuTKkK53THL2	serious	NA	1	missing	missing	183	missing
R_2QXVuTKkK53THL2	recurring	Human error - in attention, tiredness, etc...	2	inattention,	inattention	31	inattention
R_2QXVuTKkK53THL2	recurring	Human error - in attention, tiredness, etc...	3	tiredness, etc...	tiredness	7	physical and mental constraints
R_2Qy5UUJfVHXoWZV	recurring	lack of proper attention and difficulties in management of numerous SPSS data files	1	lack of proper attention	inattention	31	inattention
R_2Qy5UUJfVHXoWZV	serious	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	1	The lack of proper consideration	insufficient planning	6	bad or lack of planning
R_2Qy5UUJfVHXoWZV	recurring	lack of proper attention and difficulties in management of numerous SPSS data files	2	difficulties in management of numerous SPSS data files	difficulty in file management	1	too high complexity
R_2Qy5UUJfVHXoWZV	serious	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	2	reluctance to manage large datasets	reluctance	1	carelessness
R_2Qy5UUJfVHXoWZV	serious	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	3	some difficulty with combining SPSS files	difficult task	1	too high complexity
R_2rBzqM7U57tGlVk	recurring	Poor choice of names of variables	1	Poor choice of names of variables	error in variable naming	1	"NA"
R_2rBzqM7U57tGlVk	serious	I guess each co-author trusted to much the others to have carefully re-read the instructions.	1	I guess each co-author trusted to much the others to have carefully re-read the instructions.	overreliance	1	overconfidence
R_2roxxflIoGavKkS	recurring	N/A	1	N/A	irrelevant content	38	irrelevant content
R_2roxxflIoGavKkS	serious	Don't know	1	Don't know	do not know	4	"NA"
R_2RQVxhHSV8Q7y24	recurring	Haste - trying to get papers written up and submitted quickly	1	Haste - trying to get papers written up and submitted quickly	haste	2	time management issue
R_2RQVxhHSV8Q7y24	serious	Messy data, trying to combine data from incomplete files (e.g. participants who completed one task but not the other). This is a task that has to be done manually, which leads to mistakes.	1	Messy data, trying to combine data from incomplete files (e.g. participants who completed one task but not the other). This is a task that has to be done manually, which leads to mistakes.	manually doing a task	1	risking human error
R_2RVBEeR4DZhBco5	recurring	One time it was due to carelessness, and another time, it was due to the scale using an anchor that goes from positive value to negative value, which is not what I am used to	1	One time it was due to carelessness	carelessness	41	carelessness
R_2RVBEeR4DZhBco5	serious	Carelessness	1	Carelessness	carelessness	41	carelessness
R_2RVBEeR4DZhBco5	recurring	One time it was due to carelessness, and another time, it was due to the scale using an anchor that goes from positive value to negative value, which is not what I am used to	2	it was due to the scale using an anchor that goes from positive value to negative value, which is not what I am used to	wrong experimental program setting	1	technical issue
R_2rwGx3tHGSfKZmT	recurring	Human error and insufficient verification of dataset	1	Human error	human error	54	"NA"
R_2rwGx3tHGSfKZmT	serious	See above	1	See above	see above	37	see above
R_2rwGx3tHGSfKZmT	recurring	Human error and insufficient verification of dataset	2	insufficient verification of dataset	insufficient verification	1	"NA"
R_2rZ2DTpbcWFIEhG	recurring	postponing the arrangements and documentation	1	postponing the arrangements and documentation	postponing documentation	1	"NA"
R_2rZ2DTpbcWFIEhG	serious	NA	1	missing	missing	183	missing
R_2s1ktoIv8TbR7va	recurring	I wish I knew... Most likely computer migration	1	I wish I knew... Most likely computer migration	migrating data between computers	1	"NA"
R_2s1ktoIv8TbR7va	serious	Same	1	Same	see above	37	see above
R_2S2MjnRg4NsWUiX	recurring	technical-programming requirements	1	technical-programming requirements	lack of training	7	bad skill management
R_2S2MjnRg4NsWUiX	serious	insufficient programming knowledge, insufficient understand of data nature	1	insufficient programming knowledge,	inexperience	68	lack of knowledge/experience
R_2S2MjnRg4NsWUiX	serious	insufficient programming knowledge, insufficient understand of data nature	2	insufficient understand of data nature	insufficient experience	1	lack of knowledge/experience
R_2SBjtXj9EjzI7Sn	recurring	As a young man, I didn't document data files very well (variable names and values in SPSS) and relied on my memory of what things meant.  That worked well for a year but is useless after 10 years.  There are now also some data format obstacles since some old data's format isn't always recognized in up to date software.	1	As a young man, I didn't document data files very well (variable names and values in SPSS) and relied on my memory of what things meant.  That worked well for a year but is useless after 10 years.  There are now also some data format obstacles since some old data's format isn't always recognized in up to date software.	insufficient documentation	18	"NA"
R_2SBjtXj9EjzI7Sn	serious	"They never really ""got"" the coding manual, and we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3."	1	"They never really ""got"" the coding manual, and"	inexperience	68	lack of knowledge/experience
R_2SBjtXj9EjzI7Sn	serious	"They never really ""got"" the coding manual, and we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3."	2	we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3.	insufficient training	6	bad skill management
R_2SeF9B5dnR5QZ1N	recurring	Students not realizing that there are automated ways to transfer data between applications	1	Students not realizing that there are automated ways to transfer data between applications	inexperience	68	lack of knowledge/experience
R_2SeF9B5dnR5QZ1N	serious	Not enough coordination among experimenters	1	Not enough coordination among experimenters	not enough coordination	1	project management issue
R_2thgLa4jntEMBiq	recurring	low organizational skills, lack of foresight, inadequate data management training, distractions during work	1	low organizational skills	inexperience	68	lack of knowledge/experience
R_2thgLa4jntEMBiq	serious	specified above.	1	specified above.	see above	37	see above
R_2thgLa4jntEMBiq	recurring	low organizational skills, lack of foresight, inadequate data management training, distractions during work	2	lack of foresight	lack of foresight	4	project management issue
R_2thgLa4jntEMBiq	recurring	low organizational skills, lack of foresight, inadequate data management training, distractions during work	3	inadequate data management training	inadequate training	2	bad skill management
R_2thgLa4jntEMBiq	recurring	low organizational skills, lack of foresight, inadequate data management training, distractions during work	4	distractions during work	being distracted	1	inattention
R_2tiiMYZYEfHjyYN	recurring	Either research assistant inattentiveness/laziness or miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	1	research assistant inattentiveness	inattention	31	inattention
R_2tiiMYZYEfHjyYN	serious	Personal forgetfulness/inattentiveness.	1	Personal forgetfulness/.	forgetfulness	7	physical and mental constraints
R_2tiiMYZYEfHjyYN	recurring	Either research assistant inattentiveness/laziness or miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	2	laziness	laziness	14	carelessness
R_2tiiMYZYEfHjyYN	serious	Personal forgetfulness/inattentiveness.	2	inattentiveness	inattentiveness	2	inattention
R_2tiiMYZYEfHjyYN	recurring	Either research assistant inattentiveness/laziness or miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	3	miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	miscommunication	33	miscommunication
R_2tLFnGE5wJ0UxSs	recurring	Not sufficiently clear procedures for dataset cleanup and management.	1	Not sufficiently clear procedures for dataset cleanup and management.	lack of standard procedures	7	bad or lack of standards
R_2tLFnGE5wJ0UxSs	serious	same as above	1	same as above	see above	37	see above
R_2tM3kyffGsiC0lA	recurring	NA	1	missing	missing	183	missing
R_2tM3kyffGsiC0lA	serious	NA	1	missing	missing	183	missing
R_2TRUjQ7kYqmtIno	recurring	bad organization! no standard workflow or procedure! we are working on changing that now.	1	bad organization! no standard workflow or procedure! we are working on changing that now.	not standard workflow	1	bad or lack of standards
R_2TRUjQ7kYqmtIno	serious	lack of standard protocols for scale scoring	1	lack of standard protocols for scale scoring	lack of standard procedures	7	bad or lack of standards
R_2TzanZPigM2xVuV	recurring	New to PhD students, I gave too much discretion to a student. Once I figured out what happened, I threw away the data away and started over. Lesson learned.	1	New to PhD students, I gave too much discretion to a student. Once I figured out what happened, I threw away the data away and started over. Lesson learned.	insufficient oversight	6	project management issue
R_2TzanZPigM2xVuV	serious	NA	1	missing	missing	183	missing
R_2U0jyqZlTh8B9Kk	recurring	Trying different versions of filtering, measurement windows, etc. and not naming them in a sufficiently informative manner or using some version tracker/logging.	1	Trying different versions of filtering, measurement windows, etc. and not naming them in a sufficiently informative manner or using some version tracker/logging.	insufficient documentation	18	"NA"
R_2U0jyqZlTh8B9Kk	serious	We thought that we should do our own script and omitted an important step fro the calculation.	1	We thought that we should do our own script and omitted an important step fro the calculation.	error in programming code	7	"NA"
R_2U4pgn1GCmJuGaU	recurring	Lack of my attention to the details of my students' research	1	Lack of my attention to the details of my students' research	lack of supervision	11	project management issue
R_2U4pgn1GCmJuGaU	serious	insufficient attention by myself	1	insufficient attention by myself	inattention	31	inattention
R_2U5GjHtbKZYkmMX	recurring	Lack of time / attention	1	Lack of time	time pressure	20	time management issue
R_2U5GjHtbKZYkmMX	serious	Data from one set was not ordered in the same way as in the other data set	1	Data from one set was not ordered in the same way as in the other data set	lack of standard procedures	7	bad or lack of standards
R_2U5GjHtbKZYkmMX	recurring	Lack of time / attention	2	Lack of attention	lack of attention	3	inattention
R_2U9jvXCLvYdgF4v	recurring	Multiple people in different locations working on files at the same time.	1	Multiple people in different locations working on files at the same time.	too many team members working on one task	7	project management issue
R_2U9jvXCLvYdgF4v	serious	Grad student did merge and I didn't check it enough to see that it was not quite completely correct.	1	Grad student did merge and	insufficient information	59	insufficient information
R_2U9jvXCLvYdgF4v	serious	Grad student did merge and I didn't check it enough to see that it was not quite completely correct.	2	I didn't check it enough to see that it was not quite completely correct.	insufficient checking	7	"NA"
R_2uCVsIhbczMricX	recurring	Different causes such as human error	1	Different causes such as human error	human error	54	"NA"
R_2uCVsIhbczMricX	serious	NA	1	missing	missing	183	missing
R_2uHSLuGwWn8PInP	recurring	Failure in software/technical equipment.	1	Failure in software.	software error	3	technical issue
R_2uHSLuGwWn8PInP	serious	NA	1	missing	missing	183	missing
R_2uHSLuGwWn8PInP	recurring	Failure in software/technical equipment.	2	Failure in technical equipment.	technical failure	14	technical issue
R_2uQIn0onTQYseK1	recurring	Intellectual lasiness	1	Intellectual lasiness	laziness	14	carelessness
R_2uQIn0onTQYseK1	serious	Intellectual laziness	1	Intellectual laziness	laziness	14	carelessness
R_2us0vBwhzkTkLir	recurring	NA	1	missing	missing	183	missing
R_2us0vBwhzkTkLir	serious	NA	1	missing	missing	183	missing
R_2V85hhvhCukcKS9	recurring	Bad organizing of the back-up files.	1	Bad organizing of the back-up files.	error in file organization	1	"NA"
R_2V85hhvhCukcKS9	serious	NA	1	missing	missing	183	missing
R_2v92FujMnTNUKtU	recurring	The variable names feel meaningfully discriminating at the time of data analysis but are much more ambiguous when I come back to work with the data later.	1	The variable names feel meaningfully discriminating at the time of data analysis but are much more ambiguous when I come back to work with the data later.	insufficient documentation	18	"NA"
R_2v92FujMnTNUKtU	serious	When recoding from raw responses to a categorical dependent variable, missing values were given a value of zero because I neglected to write an if condition in the syntax.	1	When recoding from raw responses to a categorical dependent variable, missing values were given a value of zero because I neglected to write an if condition in the syntax.	neglect	2	carelessness
R_2Ve7LLcoPdCtYvA	recurring	Too many old versions of code, and researchers (often, masters students) not knowing or being familiar enough with the experiment to realize the mistake.	1	Too many old versions of code, and researchers (often, masters students) not knowing or being familiar enough with the experiment to realize the mistake.	too many old versions of a file	1	"NA"
R_2Ve7LLcoPdCtYvA	serious	Honest programming mistake.	1	Honest programming mistake.	error in programming code	7	"NA"
R_2VEKMPKkOYROq4e	recurring	NA	1	missing	missing	183	missing
R_2VEKMPKkOYROq4e	serious	NA	1	missing	missing	183	missing
R_2VmBlknbIlY3gij	recurring	Issues with file naming and/or lack of communication around filing of data sets.	1	Issues with file naming	error in file naming	2	"NA"
R_2VmBlknbIlY3gij	serious	Copying a previous survey and not stripping requirements. A lack of pretesting with the target audience (all our pretesters were 18 or older).	1	Copying a previous survey and not stripping requirements. A lack of pretesting with the target audience (all our pretesters were 18 or older).	lack of testing	4	"NA"
R_2VmBlknbIlY3gij	recurring	Issues with file naming and/or lack of communication around filing of data sets.	2	lack of communication around filing of data sets.	miscommunication	33	miscommunication
R_2VmXtXlfGpTVyxw	recurring	Overly automatic thinking.	1	Overly automatic thinking.	automatic thinking	2	lack of control
R_2VmXtXlfGpTVyxw	serious	Overly automatic thinking.	1	Overly automatic thinking.	automatic thinking	2	lack of control
R_2VpQNBQ0y3Xk4v1	recurring	Human error that was perpetuated in future projects and which is herefore rechecked before we start analysis	1	Human error that was perpetuated in future projects and which is herefore rechecked before we start analysis	human error	54	"NA"
R_2VpQNBQ0y3Xk4v1	serious	Technical problem and inefficient backup procedures that we had back then	1	Technical problem that we had back then	technical problem	6	technical issue
R_2VpQNBQ0y3Xk4v1	serious	Technical problem and inefficient backup procedures that we had back then	2	inefficient backup procedures that we had back then	insufficient procedures	1	bad or lack of standards
R_2VQJaAMQ7x7b0Vc	recurring	Inexperienced researcher (typically an early-stage graduate student) ran statistical analysis on full data set without considering trial validity.	1	Inexperienced researcher (typically an early-stage graduate student) ran statistical analysis on full data set without considering trial validity.	inexperience	68	lack of knowledge/experience
R_2VQJaAMQ7x7b0Vc	serious	One was our first participant -- we were unfamiliar with the output data format and our experiment code did not record enough information for analysis. The microphone malfunctioned for two other participants and we were unable to code the accuracy of verbal responses, which made it impossible to analyze the data.	1	One was our first participant -- we were unfamiliar with the output data format and our experiment code did not record enough information for analysis. The microphone malfunctioned for two other participants and we were unable to code the accuracy of verbal responses, which made it impossible to analyze the data.	inexperience	68	lack of knowledge/experience
R_2VqpVBYSI1pLkvH	recurring	NA	1	missing	missing	183	missing
R_2VqpVBYSI1pLkvH	serious	NA	1	missing	missing	183	missing
R_2vZVaf4kmem95MD	recurring	Poor training/supervision after training (aka quality control)	1	Poor training/supervision after training (aka quality control)	insufficient training	6	bad skill management
R_2vZVaf4kmem95MD	serious	NA	1	missing	missing	183	missing
R_2wBKpgElsyjBV0b	recurring	carelessness	1	carelessness	carelessness	41	carelessness
R_2wBKpgElsyjBV0b	serious	careless data manager	1	careless data manager	carelessness	41	carelessness
R_2WCr8uf7CKPkEXG	recurring	Mplus code is VERY fiddly	1	Mplus code is VERY fiddly	too complex task	7	too high complexity
