response_id	mistake_type	mistake	mistake_no	mistake_sep	code	n	group
R_25RcV6aMECnyYyF	serious	I can't think of a serious one.	1	I can't think of a serious one.	irrelevant content	84	irrelevant content
R_26mVWrTn2jxXvOy	recurring	Copy-pasting from programs without getting all needed columns/participants	1	Copy-pasting from programs without getting all needed columns/participants	copy paste error	26	data transfer error
R_26mVWrTn2jxXvOy	serious	Error in trial counts on a study, ran ~8 participants before error was found	1	Error in trial counts on a study, ran ~8 participants before error was found	program coding error	41	programming error
R_27BdmSNc3E6ZlFf	recurring	Entry error when moving data from paper format to digital format. We are not 100% digital with entry logs with back-checks. Moreover, no data are intermediately saved. All analyses are done on raw data that are never changed.	1	Entry error when moving data from paper format to digital format. We are not 100% digital with entry logs with back-checks. Moreover, no data are intermediately saved. All analyses are done on raw data that are never changed.	transcription error	9	data transfer error
R_27BdmSNc3E6ZlFf	serious	All data was shifted in the column assigning condition meaning that all results (zero effects) where wrong. Our assigned Devils advocate noticed it the day before submission. The PhD student had to go back to the drawing table.	1	All data was shifted in the column assigning condition meaning that all results (zero effects) where wrong. Our assigned Devils advocate noticed it the day before submission. The PhD student had to go back to the drawing table.	values shifted in a variable	1	wrong data processing/analysis
R_27s7Eu21Kt5yIT0	recurring	Data were not properly labeled, which makes them hard to interpret in the future.	1	Data were not properly labeled, which makes them hard to interpret in the future.	ambiguous variable naming	40	ambiguous naming/defining of data
R_27s7Eu21Kt5yIT0	serious	I used the randomizer in Qualtrics in the wrong way. I set it to 'show one out of three', where it should have been 'show all three in a random order'. We had to re-do the whole data collection.	1	I used the randomizer in Qualtrics in the wrong way. I set it to 'show one out of three', where it should have been 'show all three in a random order'. We had to re-do the whole data collection.	wrong software settings	12	wrong software or hardware settings
R_28FWEYSvglYwL9F	recurring	version control of dataset leading to doing the same work twice	1	version control of dataset leading to doing the same work twice	using the wrong version of data	48	version control error
R_28FWEYSvglYwL9F	serious	NA	1	missing	missing	125	missing
R_28GI4y8PGiLchXU	recurring	"Having PhD students ""code"" a dataset and then leave without proper instructions on how variables were calculated, what certain variable names mean and what filters (e.g., only completes) they used for their final analyses"	1	"Having PhD students ""code"" a dataset and then leave without proper instructions on how variables were calculated, what certain variable names mean and what filters (e.g., only completes) they used for their final analyses"	lack or poor documentation	23	bad or poor documentation
R_28GI4y8PGiLchXU	serious	"Conjoint analysis where the ""cards"" were wrongly drafted, didn't correspond to the orthoplan"	1	"Conjoint analysis where the ""cards"" were wrongly drafted, didn't correspond to the orthoplan"	using wrong measurement	1	oversight in study design or measurement
R_28ZpvpJ7r1GU67H	recurring	not realizing that we had been working on the wrong version of a data	1	not realizing that we had been working on the wrong version of a data	using the wrong version of data	48	version control error
R_28ZpvpJ7r1GU67H	serious	Erros in coding the variables and setting cut-points for an instrument	1	Erros in coding the variables and setting cut-points for an instrument	value coding error	35	data coding error
R_29tEljEKBrsztMe	recurring	Probably issues related to coding of questionnaires items.	1	Probably issues related to coding of questionnaires items.	value coding error	35	data coding error
R_29tEljEKBrsztMe	serious	In moving a questionnaire between different qualtrics surveys the coded order of the items had changed and the SPSS syntax thus did not fit. Realized that only after writing a draft of the paper... which had to be substantially changed based on the new analyses.	1	In moving a questionnaire between different qualtrics surveys the coded order of the items had changed and the SPSS syntax thus did not fit. Realized that only after writing a draft of the paper... which had to be substantially changed based on the new analyses.	wrong order of the items	1	oversight in study design or measurement
R_2AF6qvxadkDoTSW	recurring	NA	1	missing	missing	125	missing
R_2AF6qvxadkDoTSW	serious	NA	1	missing	missing	125	missing
R_2afAwJhFERuWpcR	recurring	Rare, but mismatching participants from two different data collection sessions or two different surveys (e.g., a pre-survey and one during an experimental session).	1	Rare, but mismatching participants from two different data collection sessions or two different surveys (e.g., a pre-survey and one during an experimental session).	mixing up participants	3	participant allocation error
R_2afAwJhFERuWpcR	serious	We had multiple participant teams with the same tracking number from the same day and had to go back to the raw experimental materials to figure out which was which.  No big deal, except we had already started analyses and had to redo everything.	1	We had multiple participant teams with the same tracking number from the same day and had to go back to the raw experimental materials to figure out which was which.  No big deal, except we had already started analyses and had to redo everything.	ambiguous participant identifier	8	ambiguous naming/defining of data
R_2agYT2RkPZaarIL	recurring	Occasional mis-transcriptions (of language data), but we double-check on these when we check reliability	1	Occasional mis-transcriptions (of language data), but we double-check on these when we check reliability	transcription error	9	data transfer error
R_2agYT2RkPZaarIL	serious	mis-coding of data that required re-coding and re-analysis	1	mis-coding of data that required re-coding and re-analysis	value coding error	35	data coding error
R_2aKnSakmSAQuXYg	recurring	Access issues and duplicate work issues	1	Access issues and duplicate work issues	insufficient information	30	insufficient information
R_2aKnSakmSAQuXYg	serious	An undergraduate research assistant fabricated data.	1	An undergraduate research assistant fabricated data.	data fabrication	1	"NA"
R_2aQPnJKQNgJw2Ob	recurring	Corruption of datasets due to errors in transcription, merging, etc.	1	Corruption of datasets due to errors in merging	wrong data merging	13	data selection/merging error
R_2aQPnJKQNgJw2Ob	serious	Failure to properly map census areas to postal codes led to a false conclusion that was included in a grant submission and almost published, before we caught the error.	1	Failure to properly map census areas to postal codes led to a false conclusion that was included in a grant submission and almost published, before we caught the error.	insufficient information	30	insufficient information
R_2aQPnJKQNgJw2Ob	recurring	Corruption of datasets due to errors in transcription, merging, etc.	2	Corruption of datasets due to errors in transcription	transcription error	9	data transfer error
R_2ARO4v2Lk45N6OG	recurring	poorly named variables that are unhelpful when research assistants change multiple versions of data files, without proper names to indicate which is the most uptodate working file	1	poorly named variables that are unhelpful when research assistants change multiple versions of data files, without proper names to indicate which is the most uptodate working file	ambiguous variable naming	40	ambiguous naming/defining of data
R_2ARO4v2Lk45N6OG	serious	my post doc didn't put a limit on participants for an online survey and it went viral overnight.  Couldn't use the data because we couldn't be sure who was a legitimate subject or not; REB insisted we pay everyone who responded.  Lost several thousand dollars and a lot of time.  The project is a write-off unless I get more funding.  No article ever published, obviously.	1	my post doc didn't put a limit on participants for an online survey and it went viral overnight.  Couldn't use the data because we couldn't be sure who was a legitimate subject or not; REB insisted we pay everyone who responded.  Lost several thousand dollars and a lot of time.  The project is a write-off unless I get more funding.  No article ever published, obviously.	wrong software settings	12	wrong software or hardware settings
R_2at1V67diUQvkc1	recurring	Poor variable naming. Mistakes in converting wide to long data formats due to using copy and paste.	1	Poor variable naming.	ambiguous variable naming	40	ambiguous naming/defining of data
R_2at1V67diUQvkc1	serious	Longitudinal data collected with no way of linking repeated measures to individual participants.	1	Longitudinal data collected with no way of linking repeated measures to individual participants.	cannot connect data to participant	4	bad connection of data points
R_2at1V67diUQvkc1	recurring	Poor variable naming. Mistakes in converting wide to long data formats due to using copy and paste.	2	Mistakes in converting wide to long data formats due to using copy and paste.	copy paste error	26	data transfer error
R_2awtub9gT0lm0Nq	recurring	Wrong data encoding/labelling	1	Wrong data encoding/labelling	value coding error	35	data coding error
R_2awtub9gT0lm0Nq	serious	Reverse encoding of questionnaire items	1	Reverse encoding of questionnaire items	value coding error	35	data coding error
R_2ay4ISLXNFlfXiA	recurring	Making an error when entering data.	1	Making an error when entering data.	data entry error	26	data input error
R_2ay4ISLXNFlfXiA	serious	Can't think of anything serious.  My data is pretty simple.	1	Can't think of anything serious.  My data is pretty simple.	irrelevant content	84	irrelevant content
R_2b2hwMGWs1zscoE	recurring	Misnaming data Misnaming files	1	Misnaming data Misnaming files	incorrect naming of variables	1	ambiguous naming/defining of data
R_2b2hwMGWs1zscoE	serious	Losing a recording from an interview in an office move	1	Losing a recording from an interview in an office move	data loss	27	loss of materials/documentation/data
R_2B8trxy4O95LIjg	recurring	Using the wrong version of the code	1	Using the wrong version of the code	using the wrong version of code	2	version control error
R_2B8trxy4O95LIjg	serious	Using the wrong version of the code	1	Using the wrong version of the code	using the wrong version of code	2	version control error
R_2BbuTGCx18uGQHF	recurring	Working on wrong version of dataset	1	Working on wrong version of dataset	using the wrong version of data	48	version control error
R_2BbuTGCx18uGQHF	serious	NA	1	missing	missing	125	missing
R_2BgSfuqikIO1v0a	recurring	Transposition errors in pasting data from different spreadsheets	1	Transposition errors in pasting data from different spreadsheets	copy paste error	26	data transfer error
R_2BgSfuqikIO1v0a	serious	We overwrote new data with old data.	1	We overwrote new data with old data.	overwriting data	15	version control error
R_2bN2CmBCvy0RUPJ	recurring	'- wrong merging/connecting of data from different parts of the study (e.g., studies with several waves)	1	'- wrong merging/connecting of data from different parts of the study (e.g., studies with several waves)	wrong data merging	13	data selection/merging error
R_2bN2CmBCvy0RUPJ	serious	'- wrong merging/connecting of data from different parts of the study (e.g., studies with several waves)	1	'- wrong merging/connecting of data from different parts of the study (e.g., studies with several waves)	wrong data merging	13	data selection/merging error
R_2bOijjUlRMWYs2t	recurring	Original file overwritten.	1	Original file overwritten.	overwriting files	2	version control error
R_2bOijjUlRMWYs2t	serious	After anonymization, a file still mentioned names of patients	1	After anonymization, a file still mentioned names of patients	failure to anonymize participants	1	violation in ethics
R_2bQpSx7HPHcLyoX	recurring	'- copy and paste material in the article text to keep structure and then forgot to change some ino - saved an excerpt of data/text without relabelling the file and thereby lost valuable data/text	1	'- copy and paste material in the article text to keep structure and then forgot to change some ino - saved an excerpt of data/text without relabelling the file and thereby lost valuable data/text	copy paste error	26	data transfer error
R_2bQpSx7HPHcLyoX	serious	"in a publication, for the central finding, we wrote ""higher"" instead of ""lower"""	1	"in a publication, for the central finding, we wrote ""higher"" instead of ""lower"""	mixing up words in publication	1	wrong reporting
R_2coTxGpiZoEAjV9	recurring	Errors in the configuration of parameters in simulations where different parameter values are evaluated.	1	Errors in the configuration of parameters in simulations where different parameter values are evaluated.	error in parameter configuration in simulation	2	wrong data processing/analysis
R_2coTxGpiZoEAjV9	serious	We were running a batch of many simulations, using a specified controller, just to discover that some strange outcomes were due to error in parameter configurations.	1	We were running a batch of many simulations, using a specified controller, just to discover that some strange outcomes were due to error in parameter configurations.	error in parameter configuration in simulation	2	wrong data processing/analysis
R_2cth4XQgNMWuwGv	recurring	Incorrect transcription of data from EMR to spreadsheet.	1	Incorrect transcription of data from EMR to spreadsheet.	transcription error	9	data transfer error
R_2cth4XQgNMWuwGv	serious	Transmigration of data from one spreadsheet to another producing offset of data so data points were not associated with correct patients. This was identified and corrected.	1	Transmigration of data from one spreadsheet to another producing offset of data so data points were not associated with correct patients. This was identified and corrected.	copy paste error	26	data transfer error
R_2cu4Vcaq8fXrGGw	recurring	We were incorrect in what the dummy codes were referring to (more vs less of variable X)	1	We were incorrect in what the dummy codes were referring to (more vs less of variable X)	mixing up value labels	1	ambiguous naming/defining of data
R_2cu4Vcaq8fXrGGw	serious	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	1	Someone neglected to notice a negative symbol; ie the results were the opposite of what we thought	not noticing negative sign	1	wrong data processing/analysis
R_2czHmrjciqTkBt0	recurring	Loss of participants' responses, overwritten across experiments/sessions	1	Loss of participants' responses	data loss	27	loss of materials/documentation/data
R_2czHmrjciqTkBt0	serious	Loss of raw MRI images	1	Loss of raw MRI images	data loss	27	loss of materials/documentation/data
R_2czHmrjciqTkBt0	recurring	Loss of participants' responses, overwritten across experiments/sessions	2	overwritten across experiments/sessions	overwriting data	15	version control error
R_2dlHcPXBYfhftFW	recurring	Poor variable names, poor metadata management, differences in test administration between experimenters	1	Poor variable names, poor metadata management, differences in test administration between experimenters	ambiguous variable naming	40	ambiguous naming/defining of data
R_2dlHcPXBYfhftFW	serious	One experimenter failed to measure a variable twice, as was his instructions.	1	One experimenter failed to measure a variable twice, as was his instructions.	not following data collection protocol	2	deviation from the protocol
R_2dLSHG3yGKzKecQ	recurring	When video-taping team interactions, a video camera malfunctioned and only a subset of the sample was recored.	1	When video-taping team interactions, a video camera malfunctioned and only a subset of the sample was recored.	technical failure	21	technical/infrastructural problem
R_2dLSHG3yGKzKecQ	serious	I am not aware of any.	1	I am not aware of any.	irrelevant content	84	irrelevant content
R_2doLrFMsPU9gioB	recurring	Over-write one form of the data over another. Have never lost the original (thirty years did, so had to re-type from paper copies).	1	Over-write one form of the data over another. Have never lost the original (thirty years did, so had to re-type from paper copies).	overwriting data	15	version control error
R_2doLrFMsPU9gioB	serious	A couple where there is a day loss of coding. Re-writing the coding likely improves it.	1	A couple where there is a day loss of coding. Re-writing the coding likely improves it.	program coding error	41	programming error
R_2dSg2D5VTNB7RVY	recurring	poor identifier management	1	poor identifier management	lack or poor documentation	23	bad or poor documentation
R_2dSg2D5VTNB7RVY	serious	Miscoded categorical variables	1	Miscoded categorical variables	value coding error	35	data coding error
R_2dT8e8Ru3SR801H	recurring	NA	1	missing	missing	125	missing
R_2dT8e8Ru3SR801H	serious	NA	1	missing	missing	125	missing
R_2duJO8zk4AgeXgg	recurring	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	1	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	wrong analysis	13	wrong data processing/analysis
R_2duJO8zk4AgeXgg	serious	There was a mediation analysis in which we had an error, it did not influence the main message of the paper, just the model we set up was not ok. The other was the omega, that I mentioned earlier. In this case as we used multiple measures of reliability, it was not that bad.	1	There was a mediation analysis in which we had an error, it did not influence the main message of the paper, just the model we set up was not ok.	wrong analysis	13	wrong data processing/analysis
R_2duJO8zk4AgeXgg	serious	There was a mediation analysis in which we had an error, it did not influence the main message of the paper, just the model we set up was not ok. The other was the omega, that I mentioned earlier. In this case as we used multiple measures of reliability, it was not that bad.	2	The other was the omega, that I mentioned earlier. In this case as we used multiple measures of reliability, it was not that bad.	wrong analysis	13	wrong data processing/analysis
R_2dvcIJA7IFmsu14	recurring	Copy-and-paste errors where statistics are copied across incorrectly from R into whatever the paper is being written in.	1	Copy-and-paste errors where statistics are copied across incorrectly from R into whatever the paper is being written in.	copy paste error	26	data transfer error
R_2dvcIJA7IFmsu14	serious	I don't know if it counts as a data-related mistake, but we've had to re-run entire studies due to errors in experimental randomisation, e.g. not randomising something we thought we were randomising, or making a mistake in a complex randomisation.	1	I don't know if it counts as a data-related mistake, but we've had to re-run entire studies due to errors in experimental randomisation, e.g. not randomising something we thought we were randomising, or making a mistake in a complex randomisation.	experimental randomization error	1	participant allocation error
R_2e295rrs3RwuezQ	recurring	Maybe data merging mistake, but I have no concrete examples as we always double check immediately afterwards, so this mistake does not last longer than a minute.	1	Maybe data merging mistake, but I have no concrete examples as we always double check immediately afterwards, so this mistake does not last longer than a minute.	wrong data merging	13	data selection/merging error
R_2e295rrs3RwuezQ	serious	1 participant out of 300 was MRI-scanned under a different number, and therefore not correctly linked to questionnaires (it was 2 instead of 1 subject). This kept recurring in multiple analyses as nobody was allowed to change the raw MRI data files.	1	1 participant out of 300 was MRI-scanned under a different number, and therefore not correctly linked to questionnaires (it was 2 instead of 1 subject). This kept recurring in multiple analyses as nobody was allowed to change the raw MRI data files.	cannot connect data to participant	4	bad connection of data points
R_2E3SqExkJaw5KMM	recurring	Mistaken excel files	1	Mistaken excel files	insufficient information	30	insufficient information
R_2E3SqExkJaw5KMM	serious	No serious mistake	1	No serious mistake	irrelevant content	84	irrelevant content
R_2E6UbxqHIZGHdcc	recurring	Software error	1	Software error	software error	1	technical/infrastructural problem
R_2E6UbxqHIZGHdcc	serious	Computer malfunctions	1	Computer malfunctions	technical failure	21	technical/infrastructural problem
R_2EBoQ5pteGRidTo	recurring	It was an incomplete download of responses which led to an error in calculating derived variable scores. But the mistake was discovered through running descriptive statistics and could be corrected.	1	It was an incomplete download of responses which led to an error in calculating derived variable scores. But the mistake was discovered through running descriptive statistics and could be corrected.	not all data downloaded	1	data transfer error
R_2EBoQ5pteGRidTo	serious	"I'm not sure I understand the question: ""Could you write down the most serious data-related mistake that happened years in your team in the last 5 years?"""	1	"I'm not sure I understand the question: ""Could you write down the most serious data-related mistake that happened years in your team in the last 5 years?"""	irrelevant content	84	irrelevant content
R_2EEnIEQa9QlsXtt	recurring	out of these mentioned above I believe that the most typical is data mislabelling or several recodes that - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	1	out of these mentioned above I believe that the most typical is data mislabelling  - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	ambiguous variable naming	40	ambiguous naming/defining of data
R_2EEnIEQa9QlsXtt	serious	Fortunately none	1	Fortunately none	irrelevant content	84	irrelevant content
R_2EEnIEQa9QlsXtt	recurring	out of these mentioned above I believe that the most typical is data mislabelling or several recodes that - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	2	out of these mentioned above I believe that the most typical is several recodes that - after some time - make the proper replication of analyses difficult. Of course R scripts or jasp / jamovi help, but with spss - even using syntax, this is a serious problem.	value coding error	35	data coding error
R_2EggCQnejEtHW3a	recurring	Uninformative variable names making it difficult to re-acclimate with the data after significant passage of time.	1	Uninformative variable names making it difficult to re-acclimate with the data after significant passage of time.	ambiguous variable naming	40	ambiguous naming/defining of data
R_2EggCQnejEtHW3a	serious	My graduate student and I wrote a paper based on his analysis of a data set.  I wanted to do a more sensitive analysis but when I went back to the data, I could not replicate what he had done.  We met and I realized he used the pre-coded version of an important variable.  This negated the ability to submit the paper for publication consideration.  It was my fault as I should have double checked all analyses before beginning work on a manuscript that we wouldn't be able to publish anyway.	1	My graduate student and I wrote a paper based on his analysis of a data set.  I wanted to do a more sensitive analysis but when I went back to the data, I could not replicate what he had done.  We met and I realized he used the pre-coded version of an important variable.  This negated the ability to submit the paper for publication consideration.  It was my fault as I should have double checked all analyses before beginning work on a manuscript that we wouldn't be able to publish anyway.	value coding error	35	data coding error
R_2EGYmDTj3LV7rUU	recurring	Some mistake in stimulus presentation through specialized software (e.g., Psychtoolbox) leads us to discard data from several participants before we realize the mistake	1	Some mistake in stimulus presentation through specialized software (e.g., Psychtoolbox) leads us to discard data from several participants before we realize the mistake	program coding error	41	programming error
R_2EGYmDTj3LV7rUU	serious	The one mentioned above	1	The one mentioned above	see above	40	see above
R_2Ejl6F6HzHMaous	recurring	We forgot to include several important questions and had to start the project over!	1	We forgot to include several important questions and had to start the project over!	not including items in survey	1	oversight in study design or measurement
R_2Ejl6F6HzHMaous	serious	Data coding errors.	1	Data coding errors.	value coding error	35	data coding error
R_2eOxrEvCxEutKdg	recurring	The corection of the questionnaires (syntaxis) shows errors.	1	The corection of the questionnaires (syntaxis) shows errors.	program coding error	41	programming error
R_2eOxrEvCxEutKdg	serious	we lose all the data of a project for an informatical error	1	we lose all the data of a project for an informatical error	informatical error	1	technical/infrastructural problem
R_2eQCIvKgmCxnQis	recurring	Conducted data analysis on an outdated dataset	1	Conducted data analysis on an outdated dataset	using the wrong version of data	48	version control error
R_2eQCIvKgmCxnQis	serious	Erroneously omit a page of questionnaire in data collection	1	Erroneously omit a page of questionnaire in data collection	omitting part of a questionnaire at collection	1	oversight in study design or measurement
R_2EzS06GIwQj0lQn	recurring	not including a code to allow for tracking of data from one data point to the next	1	not including a code to allow for tracking of data from one data point to the next	not including a code to allow for tracking data	1	bad connection of data points
R_2EzS06GIwQj0lQn	serious	see above	1	see above	see above	40	see above
R_2f97NKM11tYyR5P	recurring	None that I know of	1	None that I know of	irrelevant content	84	irrelevant content
R_2f97NKM11tYyR5P	serious	None that I know of	1	None that I know of	irrelevant content	84	irrelevant content
R_2f9fC66h2IIZs1w	recurring	The most common mistake would be programming errors resulting in a faulty randomization or incomplete data registration	1	The most common mistake would be programming errors resulting in a faulty randomization or incomplete data registration	program coding error	41	programming error
R_2f9fC66h2IIZs1w	serious	I do not completely understand this question, and how it differs from the previous question? The same problem that recurred for years? I am not aware of a problem that continued over multiple studies.	1	I do not completely understand this question, and how it differs from the previous question? The same problem that recurred for years? I am not aware of a problem that continued over multiple studies.	irrelevant content	84	irrelevant content
R_2fg0p9dQFeyFqr6	recurring	Database partly overwritten	1	Database partly overwritten	overwriting data	15	version control error
R_2fg0p9dQFeyFqr6	serious	Privacy breach	1	Privacy breach	privacy breach	1	violation in ethics
R_2fiypF20DbX0IU0	recurring	Variable names not being descriptive enough and failing to include value labels for all variables.	1	Variable names not being descriptive enough and failing to include value labels for all variables.	ambiguous variable naming	40	ambiguous naming/defining of data
R_2fiypF20DbX0IU0	serious	Not accounting for missing data values. That messed things up quite a bit and it took some sleuthing to figure out the wonky patterns.	1	Not accounting for missing data values. That messed things up quite a bit and it took some sleuthing to figure out the wonky patterns.	Not accounting for missing data values.	1	wrong data processing/analysis
R_2OGsptCGC66lVpU	recurring	Difficult to identify older data files due to uninformative file naming conventions.	1	Difficult to identify older data files due to uninformative file naming conventions.	uninformative file naming	1	ambiguous naming/defining of data
R_2OGsptCGC66lVpU	serious	Failure to record behavioral responses	1	Failure to record behavioral responses	Failure to record responses	2	data input error
R_2ONZImZtC8mhCrA	recurring	data being incorrectly copied from one database to another	1	data being incorrectly copied from one database to another	data being incorrectly copied	1	data transfer error
R_2ONZImZtC8mhCrA	serious	NA	1	missing	missing	125	missing
R_2OTKjDgl6AvVwvh	recurring	Run analyses on old version of a dataset, but corrected it for the paper	1	Run analyses on old version of a dataset, but corrected it for the paper	using the wrong version of data	48	version control error
R_2OTKjDgl6AvVwvh	serious	See above	1	See above	see above	40	see above
R_2PchCq8UnKbYzmr	recurring	NA	1	missing	missing	125	missing
R_2PchCq8UnKbYzmr	serious	NA	1	missing	missing	125	missing
R_2pLz7xMojRnoxaR	recurring	"Every project is extremely unique and has it's own problems. I can't tell you what the ""most frequent"" was. How about: using inconsistent identifiers when create data for different aspects of a large project."	1	"Every project is extremely unique and has it's own problems. I can't tell you what the ""most frequent"" was. How about: using inconsistent identifiers when create data for different aspects of a large project."	inconsistent identifier	1	ambiguous naming/defining of data
R_2pLz7xMojRnoxaR	serious	I wrote software to collect data, and an error in the database software wiped the entire database halfway through the project.	1	I wrote software to collect data, and an error in the database software wiped the entire database halfway through the project.	program coding error	41	programming error
R_2PnFe0m2znDlqh0	recurring	Variable names or labels are too vague requiring the researcher to reconstruct then from the raw data.	1	Variable names or labels are too vague requiring the researcher to reconstruct then from the raw data.	ambiguous variable naming	40	ambiguous naming/defining of data
R_2PnFe0m2znDlqh0	serious	Raw data (audio records) were corrupted before entry and the data were lost.	1	Raw data (audio records) were corrupted before entry and the data were lost.	data loss	27	loss of materials/documentation/data
R_2pXHxkLf2ltxzDW	recurring	The wrong scoring key was shown to participants for one questionnaire, so although the data are internally consistent, it makes comparison with previous studies difficult.	1	The wrong scoring key was shown to participants for one questionnaire, so although the data are internally consistent, it makes comparison with previous studies difficult.	using wrong scoring key	1	data coding error
R_2pXHxkLf2ltxzDW	serious	As above	1	As above	see above	40	see above
R_2q9Ql7h5CKuPKN0	recurring	creation of multiple versions of dataset, and one person updates version 1 while another person updates something else in version 2.	1	creation of multiple versions of dataset, and one person updates version 1 while another person updates something else in version 2.	using the wrong version of data	48	version control error
R_2q9Ql7h5CKuPKN0	serious	NA	1	missing	missing	125	missing
R_2QJpoM0DXM2EnBw	recurring	Data was incorrectly entered; cases were duplicated and had to be manually removed.	1	Data was incorrectly entered.	data entry error	26	data input error
R_2QJpoM0DXM2EnBw	serious	Data did not get recorded that should have been recorded.	1	Data did not get recorded that should have been recorded.	Failure to record responses	2	data input error
R_2QJpoM0DXM2EnBw	recurring	Data was incorrectly entered; cases were duplicated and had to be manually removed.	2	cases were duplicated and had to be manually removed.	duplication of values	2	data input error
R_2QopNHjyyr0Mqmt	recurring	When running computer controlled experiments, there are errors in stimulus timing, the stimulus sequences, or the data stored.	1	When running computer controlled experiments, there are errors in stimulus timing, the stimulus sequences, or the data stored.	program coding error	41	programming error
R_2QopNHjyyr0Mqmt	serious	Experimental software did not store all experimental condition labels when exporting results.	1	Experimental software did not store all experimental condition labels when exporting results.	failure of data collection software	1	technical/infrastructural problem
R_2QVQCBFhAeeJNZP	recurring	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted - failure to match stimulus list to data output files.	1	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted.	failure to calibrate data collector equipment	1	wrong software or hardware settings
R_2QVQCBFhAeeJNZP	serious	Loss of demographic information for participants.	1	Loss of demographic information for participants.	data loss	27	loss of materials/documentation/data
R_2QVQCBFhAeeJNZP	recurring	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted - failure to match stimulus list to data output files.	2	Mistakes at the recording stage - failure to match stimulus list to data output files.	failure to connect stimulus to data	1	bad connection of data points
R_2QXVuTKkK53THL2	recurring	Sorry, but all the data management mistakes that come to mind occurred over 5 years ago. I cannot think of a recent data management mistake I have made.  The most common mistakes  I used to make were mistyping when inputting data from into the computer by hand.  With MTUrk, this is no longer a problem - subjects put their data into the computer directly. I will answer the questions about this old mistake.	1	Sorry, but all the data management mistakes that come to mind occurred over 5 years ago. I cannot think of a recent data management mistake I have made.  The most common mistakes  I used to make were mistyping when inputting data from into the computer by hand.  With MTUrk, this is no longer a problem - subjects put their data into the computer directly. I will answer the questions about this old mistake.	out of timeframe	15	out of timeframe
R_2QXVuTKkK53THL2	serious	I cannot think of one.  If I made one in the last five years, it has gone undetected.	1	I cannot think of one.  If I made one in the last five years, it has gone undetected.	irrelevant content	84	irrelevant content
R_2Qy5UUJfVHXoWZV	recurring	We have used the old dataset or have deleted important data from the database	1	We have used the old dataset.	using the wrong version of data	48	version control error
R_2Qy5UUJfVHXoWZV	serious	We have combined a large dataset but erroneously deleted a number of  important variables	1	We have combined a large dataset but erroneously deleted a number of  important variables	using the wrong version of data	48	version control error
R_2Qy5UUJfVHXoWZV	recurring	We have used the old dataset or have deleted important data from the database	2	We have deleted important data from the database.	deleting data	3	loss of materials/documentation/data
R_2rBzqM7U57tGlVk	recurring	Non-informative names of variables	1	Non-informative names of variables	ambiguous variable naming	40	ambiguous naming/defining of data
R_2rBzqM7U57tGlVk	serious	Forgot to mention something really important in the experimental instructions	1	Forgot to mention something really important in the experimental instructions	incomplete experimental instructions	1	oversight in study design or measurement
R_2roxxflIoGavKkS	recurring	Not really as I'm not the person doing the data management and often am not even the person talking to the data managers.	1	Not really as I'm not the person doing the data management and often am not even the person talking to the data managers.	irrelevant content	84	irrelevant content
R_2roxxflIoGavKkS	serious	No, I couldn't.	1	No, I couldn't.	irrelevant content	84	irrelevant content
R_2RQVxhHSV8Q7y24	recurring	Copy-and-paste errors where the values should have been replaced but weren't.	1	Copy-and-paste errors where the values should have been replaced but weren't.	copy paste error	26	data transfer error
R_2RQVxhHSV8Q7y24	serious	Skipped a line when copying data from two files into one new one, so data from two experimental tasks was mismatched (i.e. assigned data from participant A to participant B by mistake)	1	Skipped a line when copying data from two files into one new one, so data from two experimental tasks was mismatched (i.e. assigned data from participant A to participant B by mistake)	copy paste error	26	data transfer error
R_2RVBEeR4DZhBco5	recurring	I recoded the items wrong	1	I recoded the items wrong	value coding error	35	data coding error
R_2RVBEeR4DZhBco5	serious	I recoded the items for my variable wrong, leading to the opposite direction of the relationship	1	I recoded the items for my variable wrong, leading to the opposite direction of the relationship	value coding error	35	data coding error
R_2rwGx3tHGSfKZmT	recurring	Incorrectly entered questionnaire data into spreadsheets or Misaligned rows in spreadsheets;	1	Incorrectly entered questionnaire data into spreadsheets	data entry error	26	data input error
R_2rwGx3tHGSfKZmT	serious	See above	1	See above	see above	40	see above
R_2rwGx3tHGSfKZmT	recurring	Incorrectly entered questionnaire data into spreadsheets or Misaligned rows in spreadsheets;	2	Misaligned rows in spreadsheets	misaligned rows in data	1	data or file organisation error
