StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	inform	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	recurring_outcome_6_TEXT	serious_story	serious_cause	serious_serious	serious_outcome	serious_outcome_6_TEXT	field	years	comment
2018-12-10 21:46:33	2018-12-10 21:54:46	IP Address	100	492	True	2018-12-10 21:54:46	R_usJmD25Zml44ef7	email	EN	Yes	"High
Occurs in most of the projects"	Use of wrong data set	Many versions of the same data set, with slight modifications, may be retained on a computer's hard drive.	"Moderate
Occurs in half of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	N/A	N/A	NA	NA	NA	other	31	There is a typo on one of your questions above: Could you write down the most serious data-related mistake that happened years in your team in the last 5 years?
2018-12-10 21:29:33	2018-12-10 21:54:57	IP Address	100	1524	True	2018-12-10 21:54:58	R_3qR5qywuGiliJsm	email	EN	Yes	"Low
Occurs in some of the projects"	Not labeling things well. Go back to the project years later and can't figure out what the different variables were.	Not taking good notes.  Now we keep better documentation, but it's a work in progress.  This is especially a problem for projects led by (undergraduate) students.  They're not as used to thinking of data files as something we might want to look at years later.	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Not sure if this counts, but survey was programmed incorrectly, which meant a big portion of the sample didn't take an important pre-test and had to be excluded.	Not enough oversight (by myself) of student work.	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	financial loss	NA	social psychology	15	NA
2018-12-10 21:53:12	2018-12-10 21:58:31	IP Address	100	319	True	2018-12-10 21:58:32	R_3j27GQZJCc95DpV	email	EN	Yes	"Moderate
Occurs in half of the projects"	No back up	Not much time	"Moderate
Occurs in half of the projects"	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	time loss	NA	Different databases	We had no data base which could be used by anyone	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	other	35	NA
2018-12-10 21:55:52	2018-12-10 21:58:35	IP Address	100	163	True	2018-12-10 21:58:36	R_1GEpvVXQjiA6JFC	email	EN	Yes	"Very Low
Occurs never or rarely"	"Unclear labels and ""wrong"" or unclear reference category in econometric analysis"	Unclear documentation or simple coding misstakes	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	frustration	NA	Cannot recall any serious thing	NA	NA	NA	NA	other	15	NA
2018-12-10 21:50:11	2018-12-10 21:58:53	IP Address	100	522	True	2018-12-10 21:58:53	R_1ZdEcLWKTBdeOgV	email	EN	Yes	"Low
Occurs in some of the projects"	Administering the wrong survey to participants (i.e., participants received baseline survey at follow-up or participants in one condition received survey meant for participants in another condition).	Inexperience in data collection combined with lack of resources devoted to data collection/oversight. Over-reliance on junior team member for data collection.	"Moderate
Occurs in half of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	We collected two different versions of a survey and mistakenly reported data that was missing version one responses.	Careless/lazy management of data.	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	erroneous conclusion	NA	social psychology	6	NA
2018-12-10 21:53:47	2018-12-10 21:59:15	IP Address	100	328	True	2018-12-10 21:59:15	R_24AdUWCIaQLvyCw	email	EN	Yes	"Very Low
Occurs never or rarely"	mis classification of some microscopy photos	Unappropriate labelling of the photograph	"Very Low
Occurs never or rarely"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	NA	NA	NA	NA	NA	other	30	NA
2018-12-10 21:51:24	2018-12-10 21:59:24	IP Address	100	479	True	2018-12-10 21:59:24	R_2EggCQnejEtHW3a	email	EN	Yes	"Low
Occurs in some of the projects"	Uninformative variable names making it difficult to re-acclimate with the data after significant passage of time.	Graduate researchers not realizing the impact of these uninformative names when initially programming studies.	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	My graduate student and I wrote a paper based on his analysis of a data set.  I wanted to do a more sensitive analysis but when I went back to the data, I could not replicate what he had done.  We met and I realized he used the pre-coded version of an important variable.  This negated the ability to submit the paper for publication consideration.  It was my fault as I should have double checked all analyses before beginning work on a manuscript that we wouldn't be able to publish anyway.	Insufficient mentoring on my part.	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	social psychology	13	None
2018-12-10 21:58:41	2018-12-10 22:05:41	IP Address	100	420	True	2018-12-10 22:05:42	R_1kY9lz7ULI6kPb3	email	EN	Yes	"Very High
Occurs in (almost) all of the projects"	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.  I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	Failure to appreciate the importance of backing up your data.	"Moderate
Occurs in half of the projects"	"Extreme
Project failure. Serious time and/or money loss. Strongly affecting the central conclusion of the article. Damaged professional reputation.
Example: Article withdrawal."	time loss	NA	I thought I did?	Samething	"Extreme
Project failure. Serious time and/or money loss. Strongly affecting the central conclusion of the article. Damaged professional reputation.
Example: Article withdrawal."	time loss	NA	experimental and cognitive psychology	15	NA
2018-12-10 22:00:47	2018-12-10 22:06:47	IP Address	100	360	True	2018-12-10 22:06:48	R_cCsCmJ2M9PGyP8R	email	EN	Yes	"Low
Occurs in some of the projects"	software errors, could be corrected	mistake in programming	"Low
Occurs in some of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	other	erroneous conclusion that was corrected	what is this: data management mistake caused by mistake and that mistake is caused by another mistake? is this a joke?	NA	NA	NA	NA	experimental and cognitive psychology	50	weird!
2018-12-10 22:02:37	2018-12-10 22:06:58	IP Address	100	260	True	2018-12-10 22:06:58	R_2BgSfuqikIO1v0a	email	EN	Yes	"Moderate
Occurs in half of the projects"	Transposition errors in pasting data from different spreadsheets	Fatigue and a poor processing pipeline.	"Moderate
Occurs in half of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	We overwrote new data with old data.	Several people moving data files between servers manually.	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	experimental and cognitive psychology	14	This is a great idea. Thank you for including me. If there is some mechanism to keep us updated I would be most appreciative
2018-12-10 22:06:30	2018-12-10 22:08:51	IP Address	100	141	True	2018-12-10 22:08:51	R_3MrPmrUA0iU0QKQ	email	EN	Yes	"Very Low
Occurs never or rarely"	NA	NA	"Very Low
Occurs never or rarely"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	NA	NA	NA	NA	NA	NA	NA	developmental and educational psychology	10	NA
2018-12-10 22:06:15	2018-12-10 22:10:17	IP Address	100	241	True	2018-12-10 22:10:19	R_6hDIMFdjLBO9MOd	email	EN	Yes	"Low
Occurs in some of the projects"	Different participant ID numbers across phases of a project made it very difficult and time consuming to put them back together again.	Using a new survey company with different procedures.	"Low
Occurs in some of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	NA	NA	NA	NA	NA	social psychology	10	NA
2018-12-10 22:09:36	2018-12-10 22:11:57	IP Address	100	141	True	2018-12-10 22:12:00	R_2us0vBwhzkTkLir	email	EN	Yes	"Low
Occurs in some of the projects"	NA	NA	"Low
Occurs in some of the projects"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	time loss	NA	NA	NA	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	experimental and cognitive psychology	15	NA
2018-12-10 22:06:54	2018-12-10 22:12:24	IP Address	100	330	True	2018-12-10 22:12:24	R_2QVQCBFhAeeJNZP	email	EN	Yes	"Low
Occurs in some of the projects"	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted - failure to match stimulus list to data output files.	Inexperienced researchers.	"Low
Occurs in some of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	frustration	NA	Loss of demographic information for participants.	Incomplete archiving of data files.	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	experimental and cognitive psychology	20	NA
2018-12-10 22:01:34	2018-12-10 22:18:03	IP Address	100	989	True	2018-12-10 22:18:04	R_3kjMa6nu9SI2Zxt	email	EN	Yes	"High
Occurs in most of the projects"	An investigator gives me (the statistician) a large, usually observational, dataset with poorly documented variable coding schemes or undocumented exclusion criteria. In analyzing the data, I initially make assumptions about the variable definitions that turn out to be incorrect when I discuss my uncertainties with the investigators.	The fact that investigators rarely create thorough codebooks and to programmatically exclude subjects in a clear, well-documented manner.	"Moderate
Occurs in half of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Happily, I have not had a serious data-related mistake that persisted to the finally submitted article. Probably the most serious was when I led a multisite replication project, and one lab collected their large sample prematurely using the wrong questionnaire materials, meaning they had to re-run on new subjects.	As the lead author, I should have been crystal-clear that labs needed to await my approval before collecting data.	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	methodology and statistics	10	I couldn't select multiple options for the field of research, but I have dual interests in statistics and experimental/cognitive.
2018-12-10 22:07:24	2018-12-10 22:18:08	IP Address	100	643	True	2018-12-10 22:18:08	R_3rJuaVQjfJOizzO	email	EN	Yes	"Moderate
Occurs in half of the projects"	Uninformative variables that do not help in reassessing the code (or codes with no comments).	Attempt to finish faster - which led to slower reassessment.	"Moderate
Occurs in half of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Broken equipment leading to data loss.	Lack of inspection of the equipment status before data collection.	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	financial loss	NA	experimental and cognitive psychology	7	NA
2018-12-10 22:09:20	2018-12-10 22:18:28	IP Address	100	547	True	2018-12-10 22:18:28	R_RDng1vjQz0Eut2x	email	EN	Yes	"Very Low
Occurs never or rarely"	Miscoding a variable with a wrong value that is not detected in quality control processes we set up like double entry. But then is found later when examining for outliers or trying to explain analytical results.	Human error in data entry.	"High
Occurs in most of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	Wrong values entered for outcomes of a patricularvassrssment	Misunderstanding by data entry person.	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	clinical psychology	40	NA
2018-12-10 22:16:45	2018-12-10 22:20:32	IP Address	100	226	True	2018-12-10 22:20:32	R_1dMSnCIjM6WCRyg	email	EN	Yes	"Low
Occurs in some of the projects"	NA	NA	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	NA	NA	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	applied psychology	20	NA
2018-12-10 22:15:58	2018-12-10 22:21:26	IP Address	100	328	True	2018-12-10 22:21:27	R_1fkEC9uIzUqHPXF	email	EN	Yes	"Very Low
Occurs never or rarely"	Incorrect randomization of participants to conditions.	Counterbalancing scheme was based on participant numbers, but the external system added a zero to the numbers, screwing everything up.	"Low
Occurs in some of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	PhD student leaves the field, deletes dropbox account with all data and code. Some of it was backed up, some wasn't.	PhD student being overly drastic	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	frustration	NA	methodology and statistics	22	NA
2018-12-10 22:16:12	2018-12-10 22:22:46	IP Address	100	393	True	2018-12-10 22:22:46	R_Ugcj0Hs9IX1A3WV	email	EN	Yes	"Very High
Occurs in (almost) all of the projects"	Not labeling variables or response values in data file	Laziness	"Very High
Occurs in (almost) all of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Failed to appropriately document analysis syntax	Laziness	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	time loss	NA	social psychology	10	NA
2018-12-10 22:18:01	2018-12-10 22:23:01	IP Address	100	299	True	2018-12-10 22:23:01	R_3jZ1VC6ejnLzmYa	email	EN	Yes	"Low
Occurs in some of the projects"	A participant's second response to a question would overwrite their response to the first question.	Programming error.	"Very Low
Occurs never or rarely"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	other	Data loss - had to discard the sample	A researcher coded categorical data as interval data	Researcher didn't understand the data analysis process and rules	"Extreme
Project failure. Serious time and/or money loss. Strongly affecting the central conclusion of the article. Damaged professional reputation.
Example: Article withdrawal."	erroneous conclusion	NA	applied psychology	12	NA
2018-12-10 21:56:28	2018-12-10 22:24:57	IP Address	100	1709	True	2018-12-10 22:24:58	R_yDdfJsIfeCY3yRr	email	EN	Yes	"High
Occurs in most of the projects"	Mistakes relating to Excel formulas (used to clean, re-code, analyze data) - either having a type/error in the formula and not immediately realizing it, or not pasting it correctly throughout file.  Usually realize it right away when writing the formulas, I'd consider it a mistake if it persists beyond one session.	User error (me) in excel.  I often forget to check that a formula pastes all the way down (since it stops if there's a blank line rather than going to the end of all data).	"High
Occurs in most of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	other	Frustration and minor time loss, have to fix the mistake	One time a formula error (not pasting all the way down) made the results look WAY bigger/more impactful than they actually were.  Wrote the manuscript for a special issue, and the day before it was due discovered the error.  The conclusions were in the same direction but much smaller.  Had to re-write a lot of the paper very quickly (since the language needed to change with the more moderate results) and redo all analyses and graphs.  Fortunately have never (yet, knowingly) presented or submitted findings anywhere with such mistakes - I always re-check things and usually find and fix such errors early.	User error, excel	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	other	Time loss and lots of frustration, maybe erroneous conclusion except that it was BEFORE submitting so not sure if that counts	social psychology	6	"You should make the outcomes select all and not select one.  Not sure if ""erroneous conclusion"" includes if you catch the error before presenting anywhere; after all, I make lots of little mistakes while writing functions that are usually fixed right away.  Other errors have to do with Qualtrics codings or HTML issues like only showing last response if people take a survey again, but those are less common so they didn't come up in this survey."
2018-12-10 22:21:13	2018-12-10 22:25:57	IP Address	100	284	True	2018-12-10 22:25:58	R_3Pp3aZ3NKVDVBPb	email	EN	Yes	"Very Low
Occurs never or rarely"	Rearranging spreadsheet data, but realised immediately so only resulted in a loss of about 30 mins.	Carelesslessness and distraction (multitasking at the time)	"Very Low
Occurs never or rarely"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	time loss	NA	As above	NA	NA	NA	NA	methodology and statistics	30	I have always been aware that data quality and honesty is paramount. I always deal with my data myself (it is NEVER contracted out, either in collection, data entry, or analysis). I have witnessed many errors in colleagues work which could not be corrected.
2018-12-10 22:23:54	2018-12-10 22:27:19	IP Address	100	205	True	2018-12-10 22:27:20	R_2dSg2D5VTNB7RVY	email	EN	Yes	"Low
Occurs in some of the projects"	poor identifier management	No standard present across fields	"High
Occurs in most of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Miscoded categorical variables	Poor documentation	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	erroneous conclusion	NA	social psychology	8	NA
2018-12-10 22:16:45	2018-12-10 22:27:50	IP Address	100	664	True	2018-12-10 22:27:51	R_2QXVuTKkK53THL2	email	EN	Yes	"Low
Occurs in some of the projects"	Sorry, but all the data management mistakes that come to mind occurred over 5 years ago. I cannot think of a recent data management mistake I have made.  The most common mistakes  I used to make were mistyping when inputting data from into the computer by hand.  With MTUrk, this is no longer a problem - subjects put their data into the computer directly. I will answer the questions about this old mistake.	Human error - in attention, tiredness, etc...	"Moderate
Occurs in half of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	I cannot think of one.  If I made one in the last five years, it has gone undetected.	NA	NA	NA	NA	applied psychology	31	NA
2018-12-10 22:22:55	2018-12-10 22:28:38	IP Address	100	342	True	2018-12-10 22:28:38	R_xaBv50AriU5pPt7	email	EN	Yes	"Low
Occurs in some of the projects"	Incorrect coding/re-coding of categorical variables.	Slight changes in the way questions were asked that were not noticed until relatively late in the cleaning/analysis process.	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Incorrect coding/labeling of missing values which significantly skewed results.	Not checking how the missing value was imported into new software.	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	other	3	NA
2018-12-10 22:24:38	2018-12-10 22:29:40	IP Address	100	301	True	2018-12-10 22:29:41	R_2SBjtXj9EjzI7Sn	email	EN	Yes	"Very Low
Occurs never or rarely"	Longer than 5 years ago, but I have data I can no longer recover for use.	As a young man, I didn't document data files very well (variable names and values in SPSS) and relied on my memory of what things meant.  That worked well for a year but is useless after 10 years.  There are now also some data format obstacles since some old data's format isn't always recognized in up to date software.	"Low
Occurs in some of the projects"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	frustration	NA	Had to drop some coders' codings.	"They never really ""got"" the coding manual, and we were not successful in training them.  So we dropped from 4 or 5 coders to 2 or 3."	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	frustration	NA	other	40	NA
2018-12-10 22:22:01	2018-12-10 22:30:54	IP Address	100	532	True	2018-12-10 22:30:54	R_AmI4PaDaAItn0MF	email	EN	Yes	"Low
Occurs in some of the projects"	improper coding of a raw variable when transforming it into an analytic variable	the raw variable has a different format for each year in which it was collected. Failure to account for these different formats leads to the incorrect coding of the analytic variable for some years.	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	I mistakenly dropped 25% of observations from the analysis when, in fact, these 25% were quite informative for the research question.	"Incomplete data documentation on a dataset with which I was not familiar, and lack of a ""second pair of eyes"" on my data cleaning procedure."	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	other	declined to revise the manuscript after a successful R&R-- a reviewer comment, fortunately, prompted further investigation and discovery of this data cleaning error	methodology and statistics	15	NA
2018-12-10 22:21:19	2018-12-10 22:33:51	IP Address	100	752	True	2018-12-10 22:33:52	R_1EKvVZl7B5pr465	email	EN	Yes	"Very Low
Occurs never or rarely"	'=	'=	"Very Low
Occurs never or rarely"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Absence of a numerical data in a case of population sample	sampler error (sample from autopsy)	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	other	34	NA
2018-12-10 22:34:14	2018-12-10 22:35:54	IP Address	100	99	True	2018-12-10 22:35:54	R_28FWEYSvglYwL9F	email	EN	Yes	"Low
Occurs in some of the projects"	version control of dataset leading to doing the same work twice	poor coordination of graduate students and file naming protocols	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	NA	NA	NA	NA	NA	applied psychology	10	NA
2018-12-10 22:35:12	2018-12-10 22:40:22	IP Address	100	309	True	2018-12-10 22:40:22	R_2EzS06GIwQj0lQn	email	EN	Yes	"Very Low
Occurs never or rarely"	not including a code to allow for tracking of data from one data point to the next	Not anticipating needs for data analysis	"Very Low
Occurs never or rarely"	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	time loss	NA	see above	see above	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	time loss	NA	clinical psychology	13	NA
2018-12-10 22:24:15	2018-12-10 22:40:47	IP Address	100	992	True	2018-12-10 22:40:48	R_1FqSTPQf3FjsXjM	email	EN	Yes	"Very Low
Occurs never or rarely"	Data not re-coded	Inconsistent Rating Scales	"Very Low
Occurs never or rarely"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	time loss	NA	NA	NA	NA	NA	NA	developmental and educational psychology	20	NA
2018-12-10 22:39:00	2018-12-10 22:43:23	IP Address	100	262	True	2018-12-10 22:43:23	R_T1kUZzmLbVaqMQp	email	EN	Yes	"Very Low
Occurs never or rarely"	Recoding negative items	Using wrong spss syntax not updated	"Very Low
Occurs never or rarely"	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	erroneous conclusion	NA	The one described before	No significant effect. Lost time. Wrong interpretation	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	erroneous conclusion	NA	social psychology	20	NA
2018-12-10 22:34:28	2018-12-10 22:43:36	IP Address	100	548	True	2018-12-10 22:43:36	R_2s1ktoIv8TbR7va	email	EN	Yes	"Very Low
Occurs never or rarely"	No project with data in the last 5 years and more. Worst mistake was loss of some outputs of elaborations on data, no loss of data themselves.	I wish I knew... Most likely computer migration	"Very Low
Occurs never or rarely"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	The one above, more than five years ago	Same	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	experimental and cognitive psychology	3	I used to do some experiments in individual decision making, but I'm no longer doing research in economic psychology
2018-12-10 22:44:54	2018-12-10 22:49:52	IP Address	100	298	True	2018-12-10 22:49:52	R_AGrmutGJFICE93z	email	EN	Yes	"Very Low
Occurs never or rarely"	We have lost data due to computer errors but replaced those data with additional data collection (and didn't analyze the data until the additional data was collected	Programming error	"Very Low
Occurs never or rarely"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	See above	Programming error. Not checking the code sufficiently well.	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	experimental and cognitive psychology	26	NA
2018-12-10 22:50:47	2018-12-10 22:54:08	IP Address	100	201	True	2018-12-10 22:54:09	R_3szfXpJiLetcwwr	email	EN	Yes	"Low
Occurs in some of the projects"	Poor archiving and labeling of data.	Moving on to next task/study too quickly.	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Loss of dataset	Computer issue	"Major
Great project delay and/or money loss. Affecting some conclusions of the article. A considerable level of frustration.
Example: Have to redo the whole data collection."	frustration	NA	neurophysiology and physiological psychology	20	NA
2018-12-10 22:50:18	2018-12-10 22:54:35	IP Address	100	256	True	2018-12-10 22:54:35	R_WDKxkIWKqWPUbqV	email	EN	Yes	"Very Low
Occurs never or rarely"	transcription errors	sloppiness	"Very Low
Occurs never or rarely"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	time loss	NA	transcription error	slopiness	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	time loss	NA	social psychology	35	NA
2018-12-10 22:56:50	2018-12-10 23:02:11	IP Address	100	320	True	2018-12-10 23:02:11	R_1pRrkSmdJGmTwHk	email	EN	Yes	"Low
Occurs in some of the projects"	Data entry typos/human error in data entry.	Human error.	"Low
Occurs in some of the projects"	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	time loss	NA	Data from old projects lost because old SPSS files will not open. Data was not stored in another format.	Conversion errors/problems with statistical software.	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	other	data loss/unable to share with other researchers years later	developmental and educational psychology	12	Looking forward to hearing about the results!
2018-12-10 21:11:00	2018-12-10 23:05:20	IP Address	100	6859	True	2018-12-10 23:05:20	R_31N0JcnckZmHXuH	email	EN	Yes	"Very High
Occurs in (almost) all of the projects"	Not recording in the master database which subjects were used in which analysis.	Performing data analysis manually (in point-and-click menus, or by manually deleting/selecting observations) instead of with script, so that there was no record of filtering.	"Very High
Occurs in (almost) all of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	Erroneous results reported in a published abstract due to a filtering error.	Student performing the filtering did not understand how the software worked, and no senior staff checked their work.	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	erroneous conclusion	NA	clinical psychology	7	This is a serious issue to which not enough attention is paid. Data management is seen as someone else's job, rather than an integral part of the scientific life cycle. I'm looking forward to seeing the results of your work.
2018-12-10 22:55:06	2018-12-10 23:08:41	IP Address	100	815	True	2018-12-10 23:08:41	R_T5iKcDfWBpqUOaJ	email	EN	Yes	"High
Occurs in most of the projects"	Running analyses on a wrong version of the data set	"Too many data file versions, some stored on separate devices; several datasets open at the same time (forgot to switch); misremembering of the ""target"" file name."	"High
Occurs in most of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Lost the master file necessary for data alignment.	"Technical problem (Excel file completely ""disintegrated"" and could not be recovered)"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	frustration	NA	personality psychology	8	"Are the questions ""Which kind of negative outcome occurred?"" supposed to be answered by only checking one answer? Frustration and time loss occurred to a similar degree in both cases."
2018-12-10 23:05:42	2018-12-10 23:11:06	IP Address	100	323	True	2018-12-10 23:11:06	R_2U9jvXCLvYdgF4v	email	EN	Yes	"High
Occurs in most of the projects"	Not necessarily working on the most recent dataset.	Multiple people in different locations working on files at the same time.	"High
Occurs in most of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	Merged wrong dataset into the master version, but did not realize we were working on older/less correct dataset for two months.	Grad student did merge and I didn't check it enough to see that it was not quite completely correct.	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	time loss	NA	other	8	NA
